 ,Area,Mean,Min,Max
1,89,255,255,255
2,92,255,255,255
3,94,255,255,255
4,153,255,255,255
5,87,255,255,255
6,247,255,255,255
7,166,255,255,255
8,119,255,255,255
9,139,255,255,255
10,67,255,255,255
11,238,255,255,255
12,117,255,255,255
13,166,255,255,255
14,135,255,255,255
15,68,255,255,255
16,240,255,255,255
17,123,255,255,255
18,82,255,255,255
19,55,255,255,255
20,167,255,255,255
21,98,255,255,255
22,69,255,255,255
23,264,255,255,255
24,9,255,255,255
25,58,255,255,255
26,149,255,255,255
27,240,255,255,255
28,79,255,255,255
29,45,255,255,255
30,119,255,255,255
31,186,255,255,255
32,84,255,255,255
33,223,255,255,255
34,206,255,255,255
35,9,255,255,255
36,230,255,255,255
37,223,255,255,255
38,169,255,255,255
39,261,255,255,255
40,225,255,255,255
41,96,255,255,255
42,107,255,255,255
43,130,255,255,255
44,139,255,255,255
45,178,255,255,255
46,156,255,255,255
47,107,255,255,255
48,378,255,255,255
49,368,255,255,255
50,121,255,255,255
51,332,255,255,255
52,133,255,255,255
53,115,255,255,255
54,92,255,255,255
55,28,255,255,255
56,85,255,255,255
57,171,255,255,255
58,227,255,255,255
59,190,255,255,255
60,14,255,255,255
61,475,255,255,255
62,353,255,255,255
63,42,255,255,255
64,138,255,255,255
65,117,255,255,255
66,105,255,255,255
67,256,255,255,255
68,481,255,255,255
69,147,255,255,255
70,29,255,255,255
71,330,255,255,255
72,108,255,255,255
73,128,255,255,255
74,259,255,255,255
75,183,255,255,255
76,79,255,255,255
77,14,255,255,255
78,339,255,255,255
79,332,255,255,255
80,70,255,255,255
81,252,255,255,255
82,175,255,255,255
83,25,255,255,255
84,99,255,255,255
85,274,255,255,255
86,182,255,255,255
87,120,255,255,255
88,143,255,255,255
89,139,255,255,255
90,208,255,255,255
91,162,255,255,255
92,153,255,255,255
93,119,255,255,255
94,369,255,255,255
95,12,255,255,255
96,257,255,255,255
97,9,255,255,255
98,157,255,255,255
99,354,255,255,255
100,190,255,255,255
101,454,255,255,255
102,165,255,255,255
103,43,255,255,255
104,128,255,255,255
105,422,255,255,255
106,194,255,255,255
107,151,255,255,255
108,133,255,255,255
109,190,255,255,255
110,284,255,255,255
111,87,255,255,255
112,45,255,255,255
113,264,255,255,255
114,89,255,255,255
115,133,255,255,255
116,12,255,255,255
117,375,255,255,255
118,58,255,255,255
119,96,255,255,255
120,123,255,255,255
121,188,255,255,255
122,402,255,255,255
123,328,255,255,255
124,981,255,255,255
125,56,255,255,255
126,160,255,255,255
127,24,255,255,255
128,201,255,255,255
129,162,255,255,255
130,94,255,255,255
131,71,255,255,255
132,222,255,255,255
133,176,255,255,255
134,145,255,255,255
135,142,255,255,255
136,164,255,255,255
137,48,255,255,255
138,173,255,255,255
139,72,255,255,255
140,112,255,255,255
141,125,255,255,255
142,465,255,255,255
143,27,255,255,255
144,54,255,255,255
145,133,255,255,255
146,64,255,255,255
147,226,255,255,255
148,128,255,255,255
149,9,255,255,255
150,441,255,255,255
151,195,255,255,255
152,193,255,255,255
153,9,255,255,255
154,9,255,255,255
155,85,255,255,255
156,201,255,255,255
157,151,255,255,255
158,9,255,255,255
159,12,255,255,255
160,18,255,255,255
161,114,255,255,255
162,217,255,255,255
163,281,255,255,255
164,601,255,255,255
165,303,255,255,255
166,156,255,255,255
167,250,255,255,255
168,141,255,255,255
169,53,255,255,255
170,99,255,255,255
171,313,255,255,255
172,210,255,255,255
173,133,255,255,255
174,394,255,255,255
175,148,255,255,255
176,257,255,255,255
177,263,255,255,255
178,97,255,255,255
179,133,255,255,255
180,378,255,255,255
181,433,255,255,255
182,36,255,255,255
183,280,255,255,255
184,230,255,255,255
185,133,255,255,255
186,222,255,255,255
187,399,255,255,255
188,19,255,255,255
189,264,255,255,255
190,105,255,255,255
191,247,255,255,255
192,172,255,255,255
193,120,255,255,255
194,38,255,255,255
195,16,255,255,255
