time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8259680E+000	-2.5006020E-002	0
6.017319847989711E+001	9.1182841E-003	-1.1706173E+001	0
6.017379847988195E+001	9.0991966E-003	-1.1641285E+001	0
6.017439847986680E+001	9.0610208E-003	-1.1573217E+001	0
6.017499847985164E+001	9.1373716E-003	-1.1506421E+001	0
6.017559847983648E+001	9.0610208E-003	-1.1438989E+001	0
6.017619847982132E+001	9.0610208E-003	-1.1363923E+001	0
6.017679847980617E+001	9.1182841E-003	-1.1304124E+001	0
6.017739847979101E+001	9.0991966E-003	-1.1239873E+001	0
6.017799847977585E+001	9.1564599E-003	-1.1178802E+001	0
6.017859847976069E+001	9.1182841E-003	-1.1109461E+001	0
6.017919847974554E+001	9.0801083E-003	-1.1048390E+001	0
6.017979847973038E+001	9.0419333E-003	-1.0987956E+001	0
6.018039847971522E+001	9.0610208E-003	-1.0919251E+001	0
6.018099847970007E+001	9.0228450E-003	-1.0855636E+001	0
6.018159847968491E+001	9.0801083E-003	-1.0801562E+001	0
6.018219847966975E+001	9.0991966E-003	-1.0739856E+001	0
6.018279847965459E+001	9.1182841E-003	-1.0678785E+001	0
6.018339847963944E+001	9.0991966E-003	-1.0618987E+001	0
6.018399847962428E+001	8.9083184E-003	-1.0556007E+001	0
6.018459847960912E+001	9.0801083E-003	-1.0503842E+001	0
6.018519847959396E+001	9.1182841E-003	-1.0438955E+001	0
6.018579847957881E+001	9.0610208E-003	-1.0379157E+001	0
6.018639847956365E+001	9.0991966E-003	-1.0321267E+001	0
6.018699847954849E+001	9.1564599E-003	-1.0260832E+001	0
6.018759847953334E+001	9.0610208E-003	-1.0205486E+001	0
6.018839847951313E+001	9.0991966E-003	-1.0131693E+001	0
6.018919847949292E+001	9.0801083E-003	-1.0057263E+001	0
6.018979847947776E+001	9.0228450E-003	-9.9993725E+000	0
6.019059847945755E+001	9.1373716E-003	-9.9300318E+000	0
6.019139847943734E+001	9.0610208E-003	-9.8600550E+000	0
6.019199847942218E+001	9.0801083E-003	-9.8047094E+000	0
6.019279847940197E+001	9.1564599E-003	-9.7353687E+000	0
6.019339847938681E+001	9.1182841E-003	-9.6812963E+000	0
6.019419847936661E+001	9.0991966E-003	-9.6113195E+000	0
6.019499847934640E+001	9.0419333E-003	-9.5387983E+000	0
6.019579847932619E+001	9.0610208E-003	-9.4777269E+000	0
6.019639847931103E+001	9.0419333E-003	-9.4249258E+000	0
6.019719847929082E+001	9.0228450E-003	-9.3562212E+000	0
6.019779847927566E+001	9.0228450E-003	-9.3053293E+000	0
6.019859847925545E+001	9.0610208E-003	-9.2429867E+000	0
6.019919847924029E+001	9.1182841E-003	-9.1870041E+000	0
6.019999847922008E+001	9.2137232E-003	-9.1303873E+000	0
6.020059847920493E+001	9.0228450E-003	-9.0801315E+000	0
6.020139847918472E+001	9.1373716E-003	-9.0190601E+000	0
6.020219847916451E+001	8.9655817E-003	-8.9649868E+000	0
6.020279847914935E+001	9.0801083E-003	-8.9134588E+000	0
6.020359847912914E+001	9.0610208E-003	-8.8479347E+000	0
6.020439847910893E+001	9.1373716E-003	-8.7906809E+000	0
6.020499847909377E+001	9.0991966E-003	-8.7353363E+000	0
6.020599847906851E+001	9.0801083E-003	-8.6640863E+000	0
6.020679847904830E+001	9.1946358E-003	-8.6138296E+000	0
6.020739847903315E+001	9.0991966E-003	-8.5623016E+000	0
6.020819847901294E+001	9.0610208E-003	-8.5037756E+000	0
6.020899847899273E+001	9.0228450E-003	-8.4446135E+000	0
6.020979847897252E+001	9.0610208E-003	-8.3892679E+000	0
6.021059847895231E+001	9.1564599E-003	-8.3301058E+000	0
6.021139847893210E+001	9.0610208E-003	-8.2741241E+000	0
6.021219847891189E+001	9.1182841E-003	-8.2225952E+000	0
6.021299847889168E+001	9.0228450E-003	-8.1691589E+000	0
6.021379847887147E+001	9.1946358E-003	-8.1055431E+000	0
6.021479847884621E+001	9.0610208E-003	-8.0489254E+000	0
6.021559847882600E+001	9.0610208E-003	-7.9834023E+000	0
6.021659847880073E+001	8.9464942E-003	-7.9223318E+000	0
6.021739847878052E+001	9.1373716E-003	-7.8701663E+000	0
6.021839847875526E+001	9.0228450E-003	-7.8052793E+000	0
6.021939847873000E+001	9.0991966E-003	-7.7416635E+000	0
6.022039847870474E+001	9.0037575E-003	-7.6780481E+000	0
6.022139847867948E+001	9.0991966E-003	-7.6176138E+000	0
6.022239847865421E+001	9.0991966E-003	-7.5520902E+000	0
6.022339847862895E+001	9.0801083E-003	-7.4961085E+000	0
6.022419847860874E+001	9.0037575E-003	-7.4426723E+000	0
