time/s	Ewe/V	I/mA	error	
8.199239792868320E+001	-4.8578840E-002	-1.9450577E+000	0
8.199259792867815E+001	-7.5676784E-002	-1.9594371E+000	0
8.199279792867310E+001	-8.4745370E-002	-1.9595389E+000	0
8.199299792866805E+001	-8.9918159E-002	-1.9595197E+000	0
8.199319792866299E+001	-9.4270177E-002	-1.9595007E+000	0
8.199339792865794E+001	-9.8431312E-002	-1.9595962E+000	0
8.199359792865289E+001	-1.0226796E-001	-1.9596407E+000	0
8.199379792864784E+001	-1.0608552E-001	-1.9595580E+000	0
8.199399792864278E+001	-1.0954041E-001	-1.9595453E+000	0
8.199419792863773E+001	-1.1303347E-001	-1.9596598E+000	0
8.199439792863268E+001	-1.1637384E-001	-1.9595898E+000	0
8.199459792862763E+001	-1.1959968E-001	-1.9595708E+000	0
8.199479792862257E+001	-1.2267281E-001	-1.9595643E+000	0
8.199499792861752E+001	-1.2582229E-001	-1.9595643E+000	0
8.199519792861247E+001	-1.2887634E-001	-1.9595580E+000	0
8.199539792860742E+001	-1.3166316E-001	-1.9595898E+000	0
8.199559792860236E+001	-1.3452633E-001	-1.9595453E+000	0
8.199579792859731E+001	-1.3725588E-001	-1.9595708E+000	0
8.199599792859226E+001	-1.4009996E-001	-1.9596598E+000	0
8.199619792858721E+001	-1.4275315E-001	-1.9595197E+000	0
8.199639792858216E+001	-1.4533001E-001	-1.9595326E+000	0
8.199659792857710E+001	-1.4790687E-001	-1.9595071E+000	0
8.199679792857205E+001	-1.5038827E-001	-1.9595834E+000	0
8.199699792856700E+001	-1.5300331E-001	-1.9595834E+000	0
8.199719792856195E+001	-1.5550381E-001	-1.9595517E+000	0
8.199739792855689E+001	-1.5766072E-001	-1.9595580E+000	0
8.199759792855184E+001	-1.6008487E-001	-1.9595580E+000	0
8.199779792854679E+001	-1.6229905E-001	-1.9595898E+000	0
8.199799792854174E+001	-1.6468503E-001	-1.9595708E+000	0
8.199819792853668E+001	-1.6674651E-001	-1.9596217E+000	0
