time/s	Ewe/V	I/mA	error	
4.400687888829125E+002	-1.7558774E-002	-9.7381914E-001	0
4.400689888829074E+002	-3.0547589E-002	-9.7990972E-001	0
4.400691888829024E+002	-3.4969762E-002	-9.7994167E-001	0
4.400693888828973E+002	-3.7680149E-002	-9.7993523E-001	0
4.400695888828923E+002	-3.9875183E-002	-9.7992253E-001	0
4.400697888828872E+002	-4.2051125E-002	-9.7995430E-001	0
4.400699888828822E+002	-4.3883502E-002	-9.7987789E-001	0
4.400701888828771E+002	-4.5773137E-002	-9.7999889E-001	0
4.400703888828721E+002	-4.7529161E-002	-9.7992253E-001	0
4.400705888828670E+002	-4.9037054E-002	-9.7989064E-001	0
4.400707888828620E+002	-5.0602205E-002	-9.7986525E-001	0
4.400709888828569E+002	-5.2186448E-002	-9.7994798E-001	0
4.400711888828519E+002	-5.3694338E-002	-9.7992891E-001	0
4.400713888828468E+002	-5.5144969E-002	-9.7993523E-001	0
4.400715888828418E+002	-5.6671947E-002	-9.7993523E-001	0
4.400717888828367E+002	-5.8122575E-002	-9.7996706E-001	0
4.400719888828316E+002	-5.9382334E-002	-9.7995430E-001	0
4.400721888828266E+002	-6.0680266E-002	-9.7993523E-001	0
4.400723888828215E+002	-6.2073633E-002	-9.7993523E-001	0
4.400725888828165E+002	-6.3390650E-002	-9.7996706E-001	0
4.400727888828114E+002	-6.4612232E-002	-9.8000526E-001	0
4.400729888828064E+002	-6.5852903E-002	-9.7999251E-001	0
4.400731888828013E+002	-6.7112662E-002	-9.7994798E-001	0
4.400733888827963E+002	-6.8391509E-002	-9.7992253E-001	0
4.400735888827912E+002	-6.9708526E-002	-9.7990972E-001	0
4.400737888827862E+002	-7.0815586E-002	-9.7994167E-001	0
4.400739888827811E+002	-7.2018079E-002	-9.7995430E-001	0
4.400741888827761E+002	-7.3144227E-002	-9.7991616E-001	0
4.400743888827710E+002	-7.4461244E-002	-9.7990972E-001	0
4.400745888827660E+002	-7.5587392E-002	-9.7988433E-001	0
4.400747888827609E+002	-7.6732628E-002	-9.7993523E-001	0
4.400749888827559E+002	-7.7801511E-002	-9.7990340E-001	0
4.400751888827508E+002	-7.9004005E-002	-9.7993523E-001	0
4.400753888827458E+002	-8.0053806E-002	-9.7997338E-001	0
4.400755888827407E+002	-8.1218123E-002	-9.7998613E-001	0
4.400759888827306E+002	-8.3432242E-002	-9.7996706E-001	0
4.400763888827205E+002	-8.5455492E-002	-9.7997981E-001	0
4.400765888827154E+002	-8.6467117E-002	-9.7993523E-001	0
4.400767888827104E+002	-8.7612346E-002	-9.7996074E-001	0
4.400771888827003E+002	-8.9673772E-002	-9.7993523E-001	0
4.400773888826952E+002	-9.0742655E-002	-9.7994167E-001	0
4.400775888826902E+002	-9.1754280E-002	-9.7989696E-001	0
4.400779888826801E+002	-9.3796611E-002	-9.7992253E-001	0
4.400783888826700E+002	-9.5724426E-002	-9.7997338E-001	0
4.400787888826599E+002	-9.7480446E-002	-9.7997981E-001	0
4.400789888826548E+002	-9.8511159E-002	-9.7992253E-001	0
4.400791888826498E+002	-9.9580042E-002	-9.7992891E-001	0
4.400795888826397E+002	-1.0125972E-001	-9.7997338E-001	0
4.400797888826346E+002	-1.0236678E-001	-9.7997981E-001	0
4.400801888826245E+002	-1.0404646E-001	-9.7991616E-001	0
4.400803888826194E+002	-1.0507717E-001	-9.7989064E-001	0
4.400807888826093E+002	-1.0675684E-001	-9.7993523E-001	0
4.400811888825992E+002	-1.0862739E-001	-9.7995430E-001	0
4.400815888825891E+002	-1.1036433E-001	-9.7995430E-001	0
4.400819888825790E+002	-1.1210126E-001	-9.7996706E-001	0
4.400823888825689E+002	-1.1381912E-001	-9.7989064E-001	0
4.400827888825588E+002	-1.1540336E-001	-9.7993523E-001	0
4.400831888825487E+002	-1.1725482E-001	-9.7999251E-001	0
4.400835888825386E+002	-1.1881997E-001	-9.7996074E-001	0
4.400839888825285E+002	-1.2038513E-001	-9.7994798E-001	0
4.400843888825184E+002	-1.2214115E-001	-9.7990972E-001	0
4.400847888825083E+002	-1.2361087E-001	-9.7999251E-001	0
4.400851888824982E+002	-1.2513785E-001	-9.7990340E-001	0
4.400855888824881E+002	-1.2674117E-001	-9.7997981E-001	0
4.400859888824780E+002	-1.2822998E-001	-9.7994167E-001	0
4.400863888824679E+002	-1.2971878E-001	-9.7994167E-001	0
4.400867888824578E+002	-1.3116941E-001	-9.7999251E-001	0
4.400871888824477E+002	-1.3273457E-001	-9.8001802E-001	0
4.400875888824376E+002	-1.3399433E-001	-9.7996074E-001	0
4.400879888824275E+002	-1.3555947E-001	-9.7995430E-001	0
4.400883888824173E+002	-1.3693376E-001	-9.7992253E-001	0
4.400887888824072E+002	-1.3830803E-001	-9.7995430E-001	0
4.400891888823971E+002	-1.3966323E-001	-9.7994798E-001	0
4.400895888823870E+002	-1.4119020E-001	-9.7994167E-001	0
4.400899888823769E+002	-1.4248814E-001	-9.7990972E-001	0
4.400903888823668E+002	-1.4378607E-001	-9.7993523E-001	0
4.400907888823567E+002	-1.4516035E-001	-9.7992891E-001	0
4.400911888823466E+002	-1.4642011E-001	-9.7997338E-001	0
4.400915888823365E+002	-1.4773713E-001	-9.7993523E-001	0
4.400919888823264E+002	-1.4892054E-001	-9.7995430E-001	0
4.400923888823163E+002	-1.5033299E-001	-9.8001158E-001	0
4.400927888823062E+002	-1.5144005E-001	-9.7999251E-001	0
4.400931888822961E+002	-1.5275706E-001	-9.7990340E-001	0
4.400935888822860E+002	-1.5405500E-001	-9.8001158E-001	0
4.400939888822759E+002	-1.5514298E-001	-9.7997338E-001	0
4.400943888822658E+002	-1.5645999E-001	-9.7990340E-001	0
4.400947888822557E+002	-1.5752888E-001	-9.7995430E-001	0
4.400951888822456E+002	-1.5880772E-001	-9.7989696E-001	0
4.400957888822304E+002	-1.6043013E-001	-9.7988433E-001	0
4.400961888822203E+002	-1.6165172E-001	-9.7999251E-001	0
4.400965888822102E+002	-1.6266334E-001	-9.7997981E-001	0
4.400969888822001E+002	-1.6390401E-001	-9.7993523E-001	0
4.400973888821900E+002	-1.6491564E-001	-9.7999889E-001	0
4.400977888821799E+002	-1.6592726E-001	-9.7992253E-001	0
4.400981888821698E+002	-1.6701522E-001	-9.7990340E-001	0
4.400985888821597E+002	-1.6823682E-001	-9.7989696E-001	0
4.400991888821445E+002	-1.6976379E-001	-9.7994798E-001	0
4.400997888821294E+002	-1.7119534E-001	-9.7987789E-001	0
4.401001888821193E+002	-1.7239784E-001	-9.7999889E-001	0
4.401007888821041E+002	-1.7371485E-001	-9.7994798E-001	0
4.401011888820940E+002	-1.7480282E-001	-9.8000526E-001	0
4.401017888820788E+002	-1.7632981E-001	-9.7996074E-001	0
4.401023888820637E+002	-1.7778043E-001	-9.7994167E-001	0
4.401029888820485E+002	-1.7925015E-001	-9.7996074E-001	0
4.401035888820334E+002	-1.8064351E-001	-9.7997338E-001	0
4.401041888820182E+002	-1.8199871E-001	-9.7992891E-001	0
4.401047888820030E+002	-1.8329664E-001	-9.7993523E-001	0
4.401051888819929E+002	-1.8434644E-001	-9.7993523E-001	0
4.401057888819778E+002	-1.8570164E-001	-9.7995430E-001	0
4.401063888819626E+002	-1.8686596E-001	-9.7991616E-001	0
4.401069888819475E+002	-1.8812571E-001	-9.7991616E-001	0
4.401075888819323E+002	-1.8953817E-001	-9.7992253E-001	0
4.401081888819172E+002	-1.9074066E-001	-9.7999251E-001	0
4.401087888819020E+002	-1.9198133E-001	-9.7994798E-001	0
4.401093888818868E+002	-1.9316474E-001	-9.7992891E-001	0
4.401099888818717E+002	-1.9442450E-001	-9.7994798E-001	0
4.401105888818565E+002	-1.9556974E-001	-9.7993523E-001	0
4.401111888818414E+002	-1.9671497E-001	-9.7994167E-001	0
4.401117888818262E+002	-1.9789837E-001	-9.7995430E-001	0
4.401123888818111E+002	-1.9908178E-001	-9.7994798E-001	0
4.401129888817959E+002	-2.0020793E-001	-9.7995430E-001	0
4.401135888817807E+002	-2.0125772E-001	-9.7990340E-001	0
4.401141888817656E+002	-2.0232661E-001	-9.8001158E-001	0
4.401147888817504E+002	-2.0337641E-001	-9.7998613E-001	0
4.401153888817353E+002	-2.0438804E-001	-9.7988433E-001	0
4.401161888817151E+002	-2.0597227E-001	-9.8000526E-001	0
4.401169888816949E+002	-2.0717476E-001	-9.7994798E-001	0
4.401177888816746E+002	-2.0866357E-001	-9.7994798E-001	0
4.401185888816544E+002	-2.0986606E-001	-9.7992253E-001	0
4.401191888816393E+002	-2.1091586E-001	-9.7997981E-001	0
4.401199888816191E+002	-2.1213745E-001	-9.7991616E-001	0
4.401207888815989E+002	-2.1335903E-001	-9.7997338E-001	0
4.401215888815786E+002	-2.1446609E-001	-9.7992891E-001	0
