time/s	Ewe/V	I/mA	error	
1.806020572745899E+004	-4.6945079E-003	-1.9473043E-001	0
1.806020592745900E+004	-1.1429671E-002	-1.9597168E-001	0
1.806020612745895E+004	-1.5256875E-002	-1.9597867E-001	0
1.806020632745896E+004	-1.6688634E-002	-1.9597611E-001	0
1.806020672745898E+004	-1.8330384E-002	-1.9597867E-001	0
1.806020712745897E+004	-1.9704875E-002	-1.9597931E-001	0
1.806020752745896E+004	-2.0716650E-002	-1.9598185E-001	0
1.806020792745898E+004	-2.1747516E-002	-1.9598058E-001	0
1.806020852745895E+004	-2.2854745E-002	-1.9598313E-001	0
1.806020912745895E+004	-2.3961972E-002	-1.9597486E-001	0
1.806020972745895E+004	-2.5011929E-002	-1.9598439E-001	0
1.806021032745892E+004	-2.6042795E-002	-1.9597359E-001	0
1.806021112745891E+004	-2.7264563E-002	-1.9597039E-001	0
1.806021192745888E+004	-2.8486332E-002	-1.9597994E-001	0
1.806021272745890E+004	-2.9708100E-002	-1.9598375E-001	0
1.806021352745889E+004	-3.0758057E-002	-1.9598185E-001	0
1.806021452745888E+004	-3.1903464E-002	-1.9597740E-001	0
1.806021532745889E+004	-3.3067960E-002	-1.9598375E-001	0
1.806021632745885E+004	-3.4347001E-002	-1.9597359E-001	0
1.806021732745884E+004	-3.5549678E-002	-1.9598122E-001	0
1.806021832745883E+004	-3.6599636E-002	-1.9598185E-001	0
1.806021932745882E+004	-3.7706863E-002	-1.9598313E-001	0
1.806022032745881E+004	-3.8871359E-002	-1.9597994E-001	0
1.806022112745879E+004	-3.9902225E-002	-1.9597994E-001	0
1.806022212745878E+004	-4.0914003E-002	-1.9598503E-001	0
1.806022332745878E+004	-4.2078502E-002	-1.9597802E-001	0
1.806022432745877E+004	-4.3109369E-002	-1.9598313E-001	0
1.806022552745877E+004	-4.4312045E-002	-1.9598185E-001	0
1.806022672745872E+004	-4.5552906E-002	-1.9598375E-001	0
1.806022792745871E+004	-4.6717402E-002	-1.9597740E-001	0
1.806022912745870E+004	-4.7843721E-002	-1.9598313E-001	0
1.806023032745869E+004	-4.8855495E-002	-1.9597550E-001	0
1.806023152745864E+004	-5.0077263E-002	-1.9598058E-001	0
1.806023272745867E+004	-5.1108129E-002	-1.9597676E-001	0
1.806023392745864E+004	-5.2234448E-002	-1.9597931E-001	0
1.806023512745864E+004	-5.3341676E-002	-1.9598503E-001	0
1.806023632745861E+004	-5.4353453E-002	-1.9597931E-001	0
1.806023752745858E+004	-5.5441588E-002	-1.9597740E-001	0
1.806023892745859E+004	-5.6548815E-002	-1.9598630E-001	0
1.806024012745857E+004	-5.7732403E-002	-1.9598566E-001	0
1.806024152745854E+004	-5.8763273E-002	-1.9598185E-001	0
1.806024292745854E+004	-5.9965950E-002	-1.9597802E-001	0
1.806024432745851E+004	-6.0977727E-002	-1.9597994E-001	0
1.806024552745849E+004	-6.2065862E-002	-1.9597229E-001	0
1.806024692745850E+004	-6.3230358E-002	-1.9597802E-001	0
1.806024832745848E+004	-6.4242139E-002	-1.9598185E-001	0
1.806024972745846E+004	-6.5292090E-002	-1.9597295E-001	0
1.806025112745841E+004	-6.6418409E-002	-1.9597867E-001	0
1.806025252745842E+004	-6.7468368E-002	-1.9598439E-001	0
1.806025392745840E+004	-6.8537414E-002	-1.9597994E-001	0
1.806025532745838E+004	-6.9644645E-002	-1.9598058E-001	0
1.806025692745834E+004	-7.0732780E-002	-1.9598058E-001	0
1.806025832745834E+004	-7.1820915E-002	-1.9598313E-001	0
1.806025992745832E+004	-7.2947234E-002	-1.9598058E-001	0
1.806026152745831E+004	-7.4169002E-002	-1.9597994E-001	0
1.806026332745829E+004	-7.5409859E-002	-1.9598185E-001	0
1.806026492745825E+004	-7.6574355E-002	-1.9597931E-001	0
1.806026652745827E+004	-7.7586137E-002	-1.9597740E-001	0
1.806026812745823E+004	-7.8731544E-002	-1.9597676E-001	0
1.806026952745821E+004	-7.9762407E-002	-1.9597802E-001	0
1.806027132745819E+004	-8.0888726E-002	-1.9597931E-001	0
1.806027292745817E+004	-8.1957772E-002	-1.9598058E-001	0
1.806027452745812E+004	-8.3065003E-002	-1.9597486E-001	0
1.806027632745815E+004	-8.4153138E-002	-1.9598503E-001	0
1.806027772745810E+004	-8.5164912E-002	-1.9598058E-001	0
1.806027952745809E+004	-8.6195782E-002	-1.9598313E-001	0
1.806028112745807E+004	-8.7303005E-002	-1.9597931E-001	0
1.806028272745805E+004	-8.8352963E-002	-1.9597867E-001	0
1.806028432745801E+004	-8.9517467E-002	-1.9597802E-001	0
1.806028652745800E+004	-9.0739228E-002	-1.9598185E-001	0
1.806028832745797E+004	-9.1846459E-002	-1.9598375E-001	0
1.806029012745793E+004	-9.2915505E-002	-1.9598185E-001	0
1.806029192745796E+004	-9.4022736E-002	-1.9597867E-001	0
1.806029372745793E+004	-9.5091783E-002	-1.9597676E-001	0
1.806029552745790E+004	-9.6103556E-002	-1.9597931E-001	0
1.806029712745789E+004	-9.7134426E-002	-1.9598058E-001	0
1.806029912745787E+004	-9.8222561E-002	-1.9597867E-001	0
1.806030092745784E+004	-9.9234335E-002	-1.9597740E-001	0
1.806030252745781E+004	-1.0032248E-001	-1.9598439E-001	0
1.806030452745779E+004	-1.0142970E-001	-1.9598439E-001	0
1.806030652745777E+004	-1.0249875E-001	-1.9597740E-001	0
1.806030852745775E+004	-1.0356779E-001	-1.9597867E-001	0
1.806031052745771E+004	-1.0467502E-001	-1.9598630E-001	0
1.806031232745769E+004	-1.0576316E-001	-1.9598058E-001	0
1.806031452745767E+004	-1.0687039E-001	-1.9598439E-001	0
1.806031652745765E+004	-1.0793944E-001	-1.9597867E-001	0
1.806031832745761E+004	-1.0898940E-001	-1.9597676E-001	0
1.806032032745759E+004	-1.1000117E-001	-1.9598185E-001	0
1.806032252745758E+004	-1.1118475E-001	-1.9598439E-001	0
1.806032452745756E+004	-1.1219653E-001	-1.9597611E-001	0
1.806032692745753E+004	-1.1332285E-001	-1.9598058E-001	0
1.806032892745751E+004	-1.1446826E-001	-1.9597740E-001	0
1.806033112745744E+004	-1.1549912E-001	-1.9597740E-001	0
1.806033312745742E+004	-1.1652999E-001	-1.9598503E-001	0
1.806033532745740E+004	-1.1763722E-001	-1.9598566E-001	0
1.806033772745739E+004	-1.1870626E-001	-1.9598249E-001	0
1.806033972745737E+004	-1.1977531E-001	-1.9598313E-001	0
1.806034212745735E+004	-1.2088254E-001	-1.9597867E-001	0
1.806034432745731E+004	-1.2193250E-001	-1.9598122E-001	0
1.806034672745725E+004	-1.2294427E-001	-1.9597676E-001	0
1.806034872745723E+004	-1.2403242E-001	-1.9597740E-001	0
1.806035132745722E+004	-1.2521599E-001	-1.9597931E-001	0
1.806035392745718E+004	-1.2622777E-001	-1.9597104E-001	0
1.806035592745719E+004	-1.2723956E-001	-1.9597931E-001	0
1.806035832745716E+004	-1.2827042E-001	-1.9598122E-001	0
1.806036072745710E+004	-1.2930128E-001	-1.9598694E-001	0
1.806036312745708E+004	-1.3040851E-001	-1.9597420E-001	0
1.806036572745704E+004	-1.3145846E-001	-1.9598122E-001	0
1.806036812745704E+004	-1.3248934E-001	-1.9597931E-001	0
1.806037092745698E+004	-1.3357747E-001	-1.9598313E-001	0
1.806037312745696E+004	-1.3462743E-001	-1.9598058E-001	0
1.806037592745695E+004	-1.3571556E-001	-1.9597611E-001	0
1.806037832745689E+004	-1.3676552E-001	-1.9597994E-001	0
1.806038072745687E+004	-1.3779639E-001	-1.9597802E-001	0
1.806038372745685E+004	-1.3884635E-001	-1.9598375E-001	0
1.806038632745680E+004	-1.3989630E-001	-1.9597802E-001	0
1.806038892745678E+004	-1.4096536E-001	-1.9597486E-001	0
1.806039192745672E+004	-1.4201531E-001	-1.9598375E-001	0
1.806039452745669E+004	-1.4302708E-001	-1.9597994E-001	0
1.806039752745663E+004	-1.4415340E-001	-1.9598122E-001	0
1.806040032745663E+004	-1.4522246E-001	-1.9597994E-001	0
1.806040332745656E+004	-1.4631058E-001	-1.9597867E-001	0
1.806040612745656E+004	-1.4736055E-001	-1.9597420E-001	0
1.806040932745649E+004	-1.4837232E-001	-1.9597676E-001	0
1.806041232745648E+004	-1.4949864E-001	-1.9597867E-001	0
1.806041532745643E+004	-1.5058677E-001	-1.9598757E-001	0
1.806041872745642E+004	-1.5163673E-001	-1.9598249E-001	0
1.806042152745638E+004	-1.5270577E-001	-1.9598886E-001	0
1.806042472745635E+004	-1.5375574E-001	-1.9597867E-001	0
1.806042792745629E+004	-1.5482478E-001	-1.9598375E-001	0
1.806043092745624E+004	-1.5585566E-001	-1.9598630E-001	0
1.806043492745620E+004	-1.5692469E-001	-1.9597931E-001	0
1.806043792745617E+004	-1.5803193E-001	-1.9598185E-001	0
1.806044152745613E+004	-1.5913916E-001	-1.9597994E-001	0
1.806044532745608E+004	-1.6020820E-001	-1.9597676E-001	0
1.806044912745604E+004	-1.6123906E-001	-1.9598122E-001	0
1.806045232745598E+004	-1.6232720E-001	-1.9598185E-001	0
1.806045632745593E+004	-1.6339625E-001	-1.9597867E-001	0
1.806046012745588E+004	-1.6444620E-001	-1.9597676E-001	0
1.806046352745587E+004	-1.6557252E-001	-1.9598566E-001	0
1.806046772745583E+004	-1.6658430E-001	-1.9597994E-001	0
1.806047152745578E+004	-1.6763426E-001	-1.9598313E-001	0
1.806047552745574E+004	-1.6866513E-001	-1.9597676E-001	0
1.806047932745569E+004	-1.6977236E-001	-1.9597676E-001	0
1.806048352745560E+004	-1.7078413E-001	-1.9598185E-001	0
1.806048752745555E+004	-1.7183408E-001	-1.9598058E-001	0
1.806049232745552E+004	-1.7284586E-001	-1.9597931E-001	0
1.806049632745546E+004	-1.7389582E-001	-1.9597611E-001	0
1.806050092745543E+004	-1.7490759E-001	-1.9597740E-001	0
1.806050512745534E+004	-1.7591937E-001	-1.9598503E-001	0
1.806050952745530E+004	-1.7698842E-001	-1.9597802E-001	0
1.806051432745525E+004	-1.7807655E-001	-1.9598503E-001	0
1.806051972745518E+004	-1.7927924E-001	-1.9597867E-001	0
1.806052532745512E+004	-1.8050100E-001	-1.9597611E-001	0
1.806053072745504E+004	-1.8153188E-001	-1.9598122E-001	0
1.806053632745496E+004	-1.8263909E-001	-1.9597486E-001	0
1.806054192745493E+004	-1.8372723E-001	-1.9597867E-001	0
1.806054752745485E+004	-1.8473901E-001	-1.9598058E-001	0
1.806055392745475E+004	-1.8588442E-001	-1.9598249E-001	0
1.806055992745468E+004	-1.8691528E-001	-1.9598122E-001	0
1.806056572745461E+004	-1.8792707E-001	-1.9598503E-001	0
1.806057272745456E+004	-1.8897702E-001	-1.9597802E-001	0
1.806057912745443E+004	-1.9000788E-001	-1.9597994E-001	0
1.806058692745434E+004	-1.9109602E-001	-1.9597867E-001	0
1.806059472745424E+004	-1.9216508E-001	-1.9598566E-001	0
1.806060392745415E+004	-1.9317685E-001	-1.9598375E-001	0
1.806061292745406E+004	-1.9418862E-001	-1.9598122E-001	0
1.806062492745392E+004	-1.9525766E-001	-1.9597611E-001	0
1.806063872745374E+004	-1.9628854E-001	-1.9598249E-001	0
1.806070692745292E+004	-1.9523858E-001	-1.9597867E-001	0
1.806071772745281E+004	-1.9420771E-001	-1.9598185E-001	0
1.806072612745268E+004	-1.9310048E-001	-1.9598058E-001	0
1.806073492745258E+004	-1.9197416E-001	-1.9598058E-001	0
1.806074212745250E+004	-1.9094330E-001	-1.9598439E-001	0
1.806074972745241E+004	-1.8979789E-001	-1.9598058E-001	0
1.806075592745232E+004	-1.8878612E-001	-1.9597931E-001	0
1.806076132745226E+004	-1.8773615E-001	-1.9598757E-001	0
1.806076772745218E+004	-1.8668620E-001	-1.9598313E-001	0
1.806077352745211E+004	-1.8567443E-001	-1.9598058E-001	0
1.806077872745204E+004	-1.8456720E-001	-1.9598122E-001	0
1.806078492745197E+004	-1.8342179E-001	-1.9598185E-001	0
1.806078992745193E+004	-1.8237184E-001	-1.9597802E-001	0
1.806079552745185E+004	-1.8136005E-001	-1.9597802E-001	0
1.806080032745178E+004	-1.8025284E-001	-1.9598249E-001	0
1.806080592745170E+004	-1.7916469E-001	-1.9597994E-001	0
1.806081132745167E+004	-1.7815292E-001	-1.9598313E-001	0
1.806081652745159E+004	-1.7712206E-001	-1.9598185E-001	0
1.806082092745154E+004	-1.7609118E-001	-1.9598757E-001	0
1.806082672745147E+004	-1.7504123E-001	-1.9597676E-001	0
1.806083172745141E+004	-1.7397217E-001	-1.9598375E-001	0
1.806083712745132E+004	-1.7296040E-001	-1.9598375E-001	0
1.806084212745129E+004	-1.7192954E-001	-1.9597931E-001	0
1.806084772745121E+004	-1.7089868E-001	-1.9597867E-001	0
1.806085292745114E+004	-1.6984871E-001	-1.9598185E-001	0
1.806085912745108E+004	-1.6883694E-001	-1.9598249E-001	0
1.806086432745098E+004	-1.6780607E-001	-1.9597802E-001	0
1.806087032745092E+004	-1.6675611E-001	-1.9598122E-001	0
1.806087632745085E+004	-1.6570616E-001	-1.9598185E-001	0
1.806088272745079E+004	-1.6463710E-001	-1.9598185E-001	0
1.806088812745071E+004	-1.6360624E-001	-1.9597676E-001	0
1.806089492745063E+004	-1.6257538E-001	-1.9597994E-001	0
1.806090092745057E+004	-1.6156359E-001	-1.9598313E-001	0
1.806090752745047E+004	-1.6053273E-001	-1.9598439E-001	0
1.806091432745042E+004	-1.5946369E-001	-1.9597802E-001	0
1.806092252745031E+004	-1.5841372E-001	-1.9598375E-001	0
1.806092912745022E+004	-1.5728740E-001	-1.9597740E-001	0
1.806093712745013E+004	-1.5627563E-001	-1.9599077E-001	0
1.806094432745007E+004	-1.5520659E-001	-1.9598313E-001	0
1.806095272744994E+004	-1.5417571E-001	-1.9598313E-001	0
1.806096112744983E+004	-1.5312576E-001	-1.9598375E-001	0
1.806097012744972E+004	-1.5209490E-001	-1.9598439E-001	0
1.806097852744962E+004	-1.5096858E-001	-1.9597611E-001	0
1.806098952744948E+004	-1.4995679E-001	-1.9598185E-001	0
1.806099952744937E+004	-1.4884958E-001	-1.9597931E-001	0
1.806100972744924E+004	-1.4783780E-001	-1.9598122E-001	0
1.806102092744911E+004	-1.4682601E-001	-1.9598249E-001	0
1.806103272744897E+004	-1.4569969E-001	-1.9597867E-001	0
1.806104612744879E+004	-1.4463066E-001	-1.9598375E-001	0
1.806105852744867E+004	-1.4359979E-001	-1.9598249E-001	0
1.806107272744851E+004	-1.4258800E-001	-1.9598249E-001	0
1.806108772744831E+004	-1.4153805E-001	-1.9598058E-001	0
1.806110352744811E+004	-1.4052628E-001	-1.9597486E-001	0
1.806111972744792E+004	-1.3945723E-001	-1.9598439E-001	0
1.806113952744770E+004	-1.3840728E-001	-1.9598122E-001	0
1.806115972744743E+004	-1.3730004E-001	-1.9597994E-001	0
1.806118352744715E+004	-1.3623101E-001	-1.9598058E-001	0
1.806121012744680E+004	-1.3521922E-001	-1.9598058E-001	0
1.806123692744650E+004	-1.3418835E-001	-1.9597802E-001	0
1.806126852744614E+004	-1.3315749E-001	-1.9598694E-001	0
1.806130032744573E+004	-1.3214572E-001	-1.9598122E-001	0
1.806134592744517E+004	-1.3107666E-001	-1.9598249E-001	0
1.806139152744465E+004	-1.3006489E-001	-1.9598694E-001	0
1.806144312744400E+004	-1.2905312E-001	-1.9598122E-001	0
