time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.4309325E+000	-2.5031064E-002	0
6.014319848065497E+001	9.3894964E-003	-9.7459259E+000	0
6.014519848060445E+001	9.3894964E-003	-9.6908903E+000	0
6.014719848055393E+001	9.3513196E-003	-9.6363001E+000	0
6.014919848050340E+001	9.3704080E-003	-9.5818377E+000	0
6.015099848045793E+001	9.2940545E-003	-9.5317011E+000	0
6.015299848040740E+001	9.3131429E-003	-9.4760303E+000	0
6.015499848035688E+001	9.4085848E-003	-9.4207401E+000	0
6.015679848031141E+001	9.1986125E-003	-9.3696499E+000	0
6.015859848026594E+001	9.3322312E-003	-9.3180504E+000	0
6.016039848022047E+001	9.3894964E-003	-9.2672148E+000	0
6.016219848017499E+001	9.2749661E-003	-9.2154884E+000	0
6.016399848012952E+001	9.3131429E-003	-9.1639528E+000	0
6.016579848008405E+001	9.3704080E-003	-9.1112709E+000	0
6.016759848003858E+001	9.3322312E-003	-9.0592260E+000	0
6.016939847999311E+001	9.4085848E-003	-9.0066729E+000	0
6.017119847994763E+001	9.3513196E-003	-8.9529095E+000	0
6.017299847990216E+001	9.3322312E-003	-8.9006100E+000	0
6.017479847985669E+001	9.3131429E-003	-8.8477383E+000	0
6.017659847981122E+001	9.4085848E-003	-8.7938490E+000	0
6.017839847976575E+001	9.3513196E-003	-8.7401485E+000	0
6.018019847972027E+001	9.2558777E-003	-8.6868315E+000	0
6.018199847967480E+001	9.3131429E-003	-8.6343412E+000	0
6.018379847962933E+001	9.2940545E-003	-8.5805149E+000	0
6.018559847958386E+001	9.3131429E-003	-8.5261164E+000	0
6.018739847953839E+001	9.4085848E-003	-8.4726076E+000	0
6.018919847949292E+001	9.3322312E-003	-8.4197359E+000	0
6.019099847944744E+001	9.3322312E-003	-8.3652096E+000	0
6.019279847940197E+001	9.3131429E-003	-8.3115740E+000	0
6.019459847935650E+001	9.3704080E-003	-8.2583208E+000	0
6.019639847931103E+001	9.3704080E-003	-8.2046843E+000	0
6.019819847926556E+001	9.3704080E-003	-8.1517487E+000	0
6.019999847922008E+001	9.3322312E-003	-8.0978584E+000	0
6.020179847917461E+001	9.3894964E-003	-8.0444775E+000	0
6.020359847912914E+001	9.2940545E-003	-7.9907784E+000	0
6.020539847908367E+001	9.3322312E-003	-7.9377789E+000	0
6.020719847903820E+001	9.1986125E-003	-7.8847804E+000	0
6.020899847899273E+001	9.3131429E-003	-7.8326077E+000	0
6.021079847894725E+001	9.2558777E-003	-7.7787180E+000	0
6.021259847890178E+001	9.3131429E-003	-7.7278824E+000	0
6.021439847885631E+001	9.3322312E-003	-7.6755829E+000	0
6.021619847881084E+001	9.3513196E-003	-7.6240473E+000	0
6.021799847876537E+001	9.2940545E-003	-7.5718112E+000	0
6.021979847871989E+001	9.3322312E-003	-7.5199566E+000	0
6.022159847867442E+001	9.3704080E-003	-7.4683576E+000	0
6.022339847862895E+001	9.3131429E-003	-7.4163766E+000	0
6.022519847858348E+001	9.3131429E-003	-7.3656673E+000	0
6.022699847853801E+001	9.4085848E-003	-7.3140683E+000	0
6.022879847849254E+001	9.3131429E-003	-7.2639318E+000	0
6.023059847844706E+001	9.3894964E-003	-7.2137322E+000	0
6.023239847840159E+001	9.3894964E-003	-7.1631508E+000	0
6.023439847835107E+001	9.3322312E-003	-7.1086879E+000	0
6.023619847830560E+001	9.3131429E-003	-7.0581069E+000	0
6.023819847825507E+001	9.3513196E-003	-7.0026894E+000	0
6.024019847820455E+001	9.3704080E-003	-6.9482903E+000	0
6.024219847815402E+001	9.3131429E-003	-6.8937650E+000	0
6.024419847810350E+001	9.3513196E-003	-6.8398738E+000	0
6.024619847805297E+001	9.3131429E-003	-6.7863026E+000	0
6.024819847800245E+001	9.3513196E-003	-6.7329211E+000	0
6.025019847795193E+001	9.3322312E-003	-6.6795406E+000	0
6.025219847790140E+001	9.3704080E-003	-6.6266050E+000	0
6.025419847785088E+001	9.4085848E-003	-6.5743690E+000	0
6.025619847780035E+001	9.4276723E-003	-6.5225158E+000	0
6.025819847774983E+001	9.3513196E-003	-6.4702797E+000	0
6.026019847769930E+001	9.3894964E-003	-6.4188714E+000	0
6.026219847764878E+001	9.4085848E-003	-6.3677168E+000	0
6.026419847759826E+001	9.3513196E-003	-6.3163719E+000	0
6.026639847754268E+001	9.3704080E-003	-6.2618456E+000	0
6.026839847749216E+001	9.4658490E-003	-6.2117734E+000	0
6.027039847744163E+001	9.2558777E-003	-6.1617007E+000	0
6.027259847738605E+001	9.3704080E-003	-6.1074290E+000	0
6.027479847733048E+001	9.3894964E-003	-6.0530300E+000	0
6.027699847727490E+001	9.5040258E-003	-5.9997125E+000	0
6.027919847721932E+001	9.2558777E-003	-5.9467134E+000	0
6.028139847716375E+001	9.3131429E-003	-5.8940325E+000	0
6.028359847710817E+001	9.3513196E-003	-5.8415422E+000	0
6.028579847705259E+001	9.4085848E-003	-5.7902608E+000	0
6.028799847699702E+001	9.3322312E-003	-5.7385335E+000	0
6.029019847694144E+001	9.2558777E-003	-5.6875072E+000	0
6.029239847688586E+001	9.2940545E-003	-5.6359076E+000	0
6.029459847683029E+001	9.3704080E-003	-5.5853257E+000	0
6.029699847676966E+001	9.3513196E-003	-5.5316906E+000	0
6.029919847671408E+001	9.3322312E-003	-5.4813633E+000	0
6.030159847665345E+001	9.2749661E-003	-5.4277282E+000	0
6.030399847659282E+001	9.3131429E-003	-5.3737111E+000	0
6.030639847653219E+001	9.3322312E-003	-5.3209662E+000	0
6.030879847647157E+001	9.3513196E-003	-5.2682214E+000	0
6.031119847641094E+001	9.3322312E-003	-5.2159853E+000	0
6.031359847635031E+001	9.3513196E-003	-5.1638770E+000	0
6.031599847628968E+001	9.3704080E-003	-5.1130409E+000	0
6.031839847622905E+001	9.2940545E-003	-5.0616961E+000	0
6.032079847616842E+001	9.3322312E-003	-5.0105419E+000	0
6.032339847610274E+001	9.4658490E-003	-4.9566522E+000	0
6.032599847603706E+001	9.2177009E-003	-4.9032712E+000	0
6.032859847597138E+001	9.4467606E-003	-4.8493814E+000	0
6.033119847590569E+001	9.4276723E-003	-4.7964458E+000	0
6.033379847584001E+001	9.2749661E-003	-4.7438912E+000	0
6.033639847577433E+001	9.3131429E-003	-4.6924829E+000	0
6.033899847570865E+001	9.5231142E-003	-4.6403747E+000	0
6.034159847564297E+001	9.4276723E-003	-4.5899844E+000	0
6.034439847557223E+001	9.3513196E-003	-4.5355215E+000	0
6.034719847550150E+001	9.3894964E-003	-4.4817586E+000	0
6.034999847543077E+001	9.4467606E-003	-4.4295864E+000	0
6.035279847536003E+001	9.3894964E-003	-4.3776689E+000	0
6.035559847528930E+001	9.3704080E-003	-4.3260694E+000	0
6.035839847521856E+001	9.4467606E-003	-4.2758060E+000	0
6.036119847514783E+001	9.3704080E-003	-4.2251611E+000	0
6.036419847507204E+001	9.3704080E-003	-4.1727977E+000	0
6.036719847499626E+001	9.3704080E-003	-4.1201167E+000	0
6.037019847492047E+001	9.2749661E-003	-4.0695987E+000	0
6.037319847484468E+001	9.3894964E-003	-4.0188899E+000	0
6.037639847476385E+001	9.3131429E-003	-3.9662724E+000	0
6.037959847468301E+001	9.2749661E-003	-3.9149275E+000	0
6.038279847460217E+001	9.3704080E-003	-3.8640914E+000	0
6.038599847452133E+001	9.4085848E-003	-3.8138914E+000	0
6.038939847443544E+001	9.3131429E-003	-3.7624195E+000	0
6.039279847434955E+001	9.4467606E-003	-3.7107565E+000	0
6.039619847426366E+001	9.4658490E-003	-3.6604929E+000	0
6.039979847417271E+001	9.3704080E-003	-3.6095934E+000	0
6.040339847408177E+001	9.2749661E-003	-3.5583756E+000	0
6.040719847398577E+001	9.4085848E-003	-3.5069032E+000	0
6.041099847388978E+001	9.4276723E-003	-3.4549220E+000	0
6.041499847378873E+001	9.3894964E-003	-3.4031315E+000	0
6.041899847368768E+001	9.3131429E-003	-3.3520410E+000	0
6.042319847358158E+001	9.3322312E-003	-3.2996781E+000	0
6.042739847347548E+001	9.4085848E-003	-3.2483330E+000	0
6.043179847336432E+001	9.3704080E-003	-3.1967971E+000	0
6.043619847325317E+001	9.2940545E-003	-3.1464703E+000	0
6.044059847314202E+001	9.4085848E-003	-3.0964618E+000	0
6.044519847302581E+001	9.3131429E-003	-3.0458798E+000	0
6.045019847289950E+001	9.4085848E-003	-2.9924989E+000	0
6.045519847277319E+001	9.3894964E-003	-2.9422991E+000	0
6.046039847264183E+001	9.3322312E-003	-2.8909543E+000	0
6.046559847251046E+001	9.4085848E-003	-2.8403728E+000	0
6.047099847237405E+001	9.4276723E-003	-2.7903640E+000	0
6.047659847223258E+001	9.3131429E-003	-2.7397187E+000	0
6.048239847208606E+001	9.4658490E-003	-2.6885645E+000	0
6.048839847193449E+001	9.3322312E-003	-2.6385558E+000	0
6.049459847177786E+001	9.3513196E-003	-2.5874016E+000	0
6.050079847162124E+001	9.3704080E-003	-2.5372653E+000	0
