time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.8316040E+000	-2.5007974E-002	0	-1.5878610E-003
6.014319848065497E+001	8.3715348E-003	-5.1704016E+000	0	1.0082432E-004
6.014379848063982E+001	8.3524473E-003	-5.1010427E+000	0	-5.1858042E-005
6.014439848062466E+001	8.3715348E-003	-5.0317473E+000	0	-7.0943337E-005
6.014499848060950E+001	8.3524473E-003	-4.9668384E+000	0	-5.1858042E-005
6.014559848059434E+001	8.3906213E-003	-4.9026284E+000	0	-1.3687451E-005
6.014619848057919E+001	8.3524473E-003	-4.8400717E+000	0	6.2653729E-005
6.014679848056403E+001	8.3142743E-003	-4.7794218E+000	0	5.3978438E-006
6.014739848054887E+001	8.3715348E-003	-4.7204251E+000	0	2.4483139E-005
6.014799848053372E+001	8.3524473E-003	-4.6628909E+000	0	-1.3687451E-005
6.014859848051856E+001	8.3715348E-003	-4.6066279E+000	0	1.1990962E-004
6.014919848050340E+001	8.4669692E-003	-4.5518909E+000	0	1.1990962E-004
6.014979848048824E+001	8.3715348E-003	-4.4991879E+000	0	1.0082432E-004
6.015039848047309E+001	8.4669692E-003	-4.4476929E+000	0	1.3899490E-004
6.015099848045793E+001	8.4287953E-003	-4.3968973E+000	0	4.3568434E-005
6.015179848043772E+001	8.4097078E-003	-4.3307800E+000	0	2.4483139E-005
6.015259848041751E+001	8.2951868E-003	-4.2678418E+000	0	2.4483139E-005
6.015339848039730E+001	8.4097078E-003	-4.2070651E+000	0	-1.3687451E-005
6.015419848037709E+001	8.3142743E-003	-4.1481318E+000	0	-3.2772747E-005
6.015499848035688E+001	8.3142743E-003	-4.0896440E+000	0	-1.3687451E-005
6.015579848033667E+001	8.4860558E-003	-4.0339527E+000	0	-1.3687451E-005
6.015659848031646E+001	8.3524473E-003	-3.9806144E+000	0	8.1739025E-005
6.015739848029625E+001	8.3333608E-003	-3.9282296E+000	0	-5.1858042E-005
6.015819848027604E+001	8.4287953E-003	-3.8768616E+000	0	-1.3687451E-005
6.015919848025078E+001	8.3906213E-003	-3.8152583E+000	0	5.3978438E-006
6.016019848022552E+001	8.4097078E-003	-3.7558169E+000	0	-1.0911393E-004
6.016119848020026E+001	8.3333608E-003	-3.6992359E+000	0	4.3568434E-005
6.016219848017499E+001	8.2951868E-003	-3.6441810E+000	0	-3.2772747E-005
6.016319848014973E+001	8.3715348E-003	-3.5909696E+000	0	-9.0028632E-005
6.016419848012447E+001	8.4287953E-003	-3.5400465E+000	0	1.0082432E-004
6.016519848009921E+001	8.2761003E-003	-3.4893782E+000	0	4.3568434E-005
6.016639848006889E+001	8.4097078E-003	-3.4317164E+000	0	6.2653729E-005
6.016759848003858E+001	8.3715348E-003	-3.3767884E+000	0	2.4483139E-005
6.016879848000826E+001	8.3524473E-003	-3.3235133E+000	0	1.3899490E-004
6.016999847997795E+001	8.4860558E-003	-3.2726543E+000	0	4.3568434E-005
6.017139847994258E+001	8.4097078E-003	-3.2150564E+000	0	1.0082432E-004
6.017279847990721E+001	8.3715348E-003	-3.1603827E+000	0	6.2653729E-005
6.017419847987185E+001	8.4287953E-003	-3.1078069E+000	0	-1.3687451E-005
6.017559847983648E+001	8.3524473E-003	-3.0575202E+000	0	-5.1858042E-005
6.017719847979606E+001	8.4860558E-003	-3.0027189E+000	0	-3.2772747E-005
6.017879847975564E+001	8.3715348E-003	-2.9496350E+000	0	-7.0943337E-005
6.018059847971017E+001	8.3715348E-003	-2.8930540E+000	0	1.0082432E-004
6.018239847966470E+001	8.3142743E-003	-2.8400970E+000	0	6.2653729E-005
6.018419847961923E+001	8.3715348E-003	-2.7891741E+000	0	-1.0911393E-004
6.018619847956870E+001	8.3333608E-003	-2.7340555E+000	0	4.3568434E-005
6.018819847951818E+001	8.4097078E-003	-2.6830056E+000	0	8.1739025E-005
6.019039847946260E+001	8.4287953E-003	-2.6285861E+000	0	1.7716549E-004
