time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	-2.2463603E-003	-1.9464298E-001	0	-1.1870657E-003
1.860205953007244E+003	-7.5372895E-003	-1.9597907E-001	0	-1.1870657E-003
1.860206153007239E+003	-1.1661502E-002	-1.9598544E-001	0	2.4483139E-005
1.860206353007234E+003	-1.3436579E-002	-1.9598481E-001	0	-1.3687451E-005
1.860206553007229E+003	-1.5173483E-002	-1.9598226E-001	0	8.1739025E-005
1.860206753007224E+003	-1.6795866E-002	-1.9598417E-001	0	2.4483139E-005
1.860206953007219E+003	-1.8227380E-002	-1.9598353E-001	0	5.3978438E-006
1.860207153007213E+003	-1.9544372E-002	-1.9598481E-001	0	1.0082432E-004
1.860207353007208E+003	-2.0994974E-002	-1.9598417E-001	0	2.4483139E-005
1.860207553007203E+003	-2.2331053E-002	-1.9598672E-001	0	1.3899490E-004
1.860207753007198E+003	-2.3571700E-002	-1.9598162E-001	0	1.5808021E-004
1.860207953007193E+003	-2.4735998E-002	-1.9598544E-001	0	1.3899490E-004
1.860208153007188E+003	-2.5995729E-002	-1.9598353E-001	0	1.0082432E-004
1.860208353007183E+003	-2.7350897E-002	-1.9598608E-001	0	1.0082432E-004
1.860208553007178E+003	-2.8400674E-002	-1.9598608E-001	0	5.3978438E-006
1.860208753007173E+003	-2.9488625E-002	-1.9597653E-001	0	5.3978438E-006
1.860208953007168E+003	-3.0614749E-002	-1.9598290E-001	0	8.1739025E-005
1.860209153007163E+003	-3.1721786E-002	-1.9598417E-001	0	1.3899490E-004
1.860209353007158E+003	-3.2752477E-002	-1.9598353E-001	0	1.3899490E-004
1.860209553007153E+003	-3.4012210E-002	-1.9598608E-001	0	8.1739025E-005
1.860209953007143E+003	-3.6035415E-002	-1.9598417E-001	0	1.7716549E-004
1.860210353007133E+003	-3.8020447E-002	-1.9598734E-001	0	-1.3687451E-005
1.860210553007128E+003	-3.9108399E-002	-1.9598481E-001	0	1.5808021E-004
1.860210953007118E+003	-4.0921651E-002	-1.9598863E-001	0	4.3568434E-005
1.860211353007107E+003	-4.2715814E-002	-1.9598863E-001	0	5.3978438E-006
1.860211553007102E+003	-4.3784678E-002	-1.9598481E-001	0	4.3568434E-005
1.860211953007092E+003	-4.5502495E-002	-1.9598417E-001	0	5.3978438E-006
