time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.2289848E+000	-2.5015498E-002	0
6.017319847989711E+001	8.5541988E-003	-4.9255280E+001	0
6.017339847989206E+001	8.5732900E-003	-4.9182144E+001	0
6.017359847988700E+001	8.5351085E-003	-4.9106464E+001	0
6.017379847988195E+001	8.5923811E-003	-4.9029510E+001	0
6.017399847987690E+001	8.5732900E-003	-4.8956375E+001	0
6.017419847987185E+001	8.5923811E-003	-4.8876244E+001	0
6.017439847986680E+001	8.5732900E-003	-4.8800560E+001	0
6.017459847986174E+001	8.5160173E-003	-4.8721703E+001	0
6.017479847985669E+001	8.5923811E-003	-4.8654285E+001	0
6.017499847985164E+001	8.6114723E-003	-4.8569702E+001	0
6.017519847984659E+001	8.6878361E-003	-4.8495930E+001	0
6.017539847984153E+001	8.5541988E-003	-4.8419613E+001	0
6.017559847983648E+001	8.4969262E-003	-4.8353474E+001	0
6.017579847983143E+001	8.6687449E-003	-4.8281609E+001	0
6.017599847982638E+001	8.6305635E-003	-4.8204655E+001	0
6.017619847982132E+001	8.6687449E-003	-4.8128971E+001	0
6.017639847981627E+001	8.5160173E-003	-4.8057747E+001	0
6.017659847981122E+001	8.6878361E-003	-4.7977612E+001	0
6.017679847980617E+001	8.5732900E-003	-4.7912743E+001	0
6.017699847980111E+001	8.5351085E-003	-4.7840878E+001	0
6.017719847979606E+001	8.5351085E-003	-4.7770924E+001	0
6.017739847979101E+001	8.5351085E-003	-4.7699059E+001	0
6.017759847978596E+001	8.6305635E-003	-4.7624653E+001	0
6.017779847978090E+001	8.5160173E-003	-4.7549603E+001	0
6.017799847977585E+001	8.6305635E-003	-4.7487282E+001	0
6.017819847977080E+001	8.5923811E-003	-4.7419228E+001	0
6.017839847976575E+001	8.5541988E-003	-4.7346092E+001	0
6.017859847976069E+001	8.5923811E-003	-4.7279320E+001	0
6.017879847975564E+001	8.6496538E-003	-4.7211903E+001	0
6.017899847975059E+001	8.6496538E-003	-4.7141949E+001	0
6.017919847974554E+001	8.6878361E-003	-4.7078346E+001	0
6.017939847974048E+001	8.5160173E-003	-4.7002033E+001	0
6.017959847973543E+001	8.5732900E-003	-4.6934616E+001	0
6.017979847973038E+001	8.6114723E-003	-4.6870384E+001	0
6.017999847972533E+001	8.5732900E-003	-4.6803608E+001	0
6.018019847972027E+001	8.6305635E-003	-4.6741283E+001	0
6.018039847971522E+001	8.4969262E-003	-4.6671322E+001	0
6.018059847971017E+001	8.5351085E-003	-4.6595009E+001	0
6.018079847970512E+001	8.5541988E-003	-4.6533321E+001	0
6.018099847970007E+001	8.6305635E-003	-4.6476086E+001	0
6.018119847969501E+001	8.5541988E-003	-4.6406124E+001	0
6.018139847968996E+001	8.5923811E-003	-4.6341255E+001	0
6.018159847968491E+001	8.6878361E-003	-4.6277023E+001	0
6.018179847967986E+001	8.6496538E-003	-4.6219784E+001	0
6.018199847967480E+001	8.6496538E-003	-4.6147285E+001	0
6.018219847966975E+001	8.5732900E-003	-4.6081146E+001	0
6.018239847966470E+001	8.5351085E-003	-4.6009277E+001	0
6.018279847965459E+001	8.5732900E-003	-4.5892895E+001	0
6.018299847964954E+001	8.5732900E-003	-4.5821667E+001	0
6.018319847964449E+001	8.5732900E-003	-4.5764431E+001	0
6.018339847963944E+001	8.6687449E-003	-4.5703377E+001	0
6.018359847963438E+001	8.4969262E-003	-4.5637234E+001	0
6.018379847962933E+001	8.5923811E-003	-4.5574909E+001	0
6.018399847962428E+001	8.6114723E-003	-4.5515766E+001	0
6.018419847961923E+001	8.5541988E-003	-4.5454075E+001	0
6.018439847961417E+001	8.6496538E-003	-4.5394295E+001	0
6.018459847960912E+001	8.7069273E-003	-4.5337055E+001	0
