time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8728216E+000	-2.5021279E-002	0
6.014319848065497E+001	9.2053376E-003	-9.9959078E+000	0
6.014339848064992E+001	9.1671571E-003	-9.9211245E+000	0
6.014359848064487E+001	9.2435181E-003	-9.8474855E+000	0
6.014379848063982E+001	9.1480669E-003	-9.7746105E+000	0
6.014399848063476E+001	9.2053376E-003	-9.7028818E+000	0
6.014419848062971E+001	9.2244279E-003	-9.6322985E+000	0
6.014439848062466E+001	9.2435181E-003	-9.5620337E+000	0
6.014459848061961E+001	9.2435181E-003	-9.4931679E+000	0
6.014479848061455E+001	9.2053376E-003	-9.4251938E+000	0
6.014499848060950E+001	9.2626074E-003	-9.3581753E+000	0
6.014519848060445E+001	9.2816977E-003	-9.2919836E+000	0
6.014539848059940E+001	9.1480669E-003	-9.2261734E+000	0
6.014559848059434E+001	9.2053376E-003	-9.1615086E+000	0
6.014579848058929E+001	9.3198782E-003	-9.0968447E+000	0
6.014599848058424E+001	9.2435181E-003	-9.0345354E+000	0
6.014619848057919E+001	9.1480669E-003	-8.9731808E+000	0
6.014639848057413E+001	9.2244279E-003	-8.9120808E+000	0
6.014659848056908E+001	9.2626074E-003	-8.8519993E+000	0
6.014679848056403E+001	9.2435181E-003	-8.7929993E+000	0
6.014699848055898E+001	9.2244279E-003	-8.7334900E+000	0
6.014719848055393E+001	9.1671571E-003	-8.6750631E+000	0
6.014739848054887E+001	9.2053376E-003	-8.6188641E+000	0
6.014759848054382E+001	9.2435181E-003	-8.5611372E+000	0
6.014779848053877E+001	9.2626074E-003	-8.5065289E+000	0
6.014799848053372E+001	9.2053376E-003	-8.4509020E+000	0
6.014819848052866E+001	9.2816977E-003	-8.3966761E+000	0
6.014839848052361E+001	9.2053376E-003	-8.3432770E+000	0
6.014859848051856E+001	9.1862474E-003	-8.2902594E+000	0
6.014879848051351E+001	9.2626074E-003	-8.2379427E+000	0
6.014899848050845E+001	9.1480669E-003	-8.1867714E+000	0
6.014919848050340E+001	9.2435181E-003	-8.1352816E+000	0
6.014959848049330E+001	9.2053376E-003	-8.0361843E+000	0
6.014999848048319E+001	9.2435181E-003	-7.9395700E+000	0
6.015039848047309E+001	9.3007879E-003	-7.8446102E+000	0
6.015079848046298E+001	9.1862474E-003	-7.7525148E+000	0
6.015119848045288E+001	9.1671571E-003	-7.6635380E+000	0
6.015159848044277E+001	9.1862474E-003	-7.5744967E+000	0
6.015199848043267E+001	9.2053376E-003	-7.4896569E+000	0
6.015239848042256E+001	9.2053376E-003	-7.4066625E+000	0
6.015279848041246E+001	9.2435181E-003	-7.3248777E+000	0
6.015319848040235E+001	9.2244279E-003	-7.2466564E+000	0
6.015359848039225E+001	9.1289766E-003	-7.1693907E+000	0
6.015399848038214E+001	9.2244279E-003	-7.0945430E+000	0
6.015439848037204E+001	9.2244279E-003	-7.0210323E+000	0
6.015479848036193E+001	9.2435181E-003	-6.9502573E+000	0
6.015519848035183E+001	9.3389684E-003	-6.8803105E+000	0
6.015559848034172E+001	9.3580587E-003	-6.8116999E+000	0
6.015599848033162E+001	9.2244279E-003	-6.7459540E+000	0
6.015639848032151E+001	9.1862474E-003	-6.6816077E+000	0
6.015679848031141E+001	9.2244279E-003	-6.6177711E+000	0
6.015719848030130E+001	9.2244279E-003	-6.5562892E+000	0
6.015759848029120E+001	9.3007879E-003	-6.4962072E+000	0
6.015799848028109E+001	9.1671571E-003	-6.4367623E+000	0
6.015839848027099E+001	9.2435181E-003	-6.3799262E+000	0
6.015879848026088E+001	9.3580587E-003	-6.3237271E+000	0
6.015919848025078E+001	9.2435181E-003	-6.2697544E+000	0
6.015959848024067E+001	9.3389684E-003	-6.2148285E+000	0
6.015999848023057E+001	9.2626074E-003	-6.1622577E+000	0
6.016039848022047E+001	9.2244279E-003	-6.1116590E+000	0
6.016079848021036E+001	9.2816977E-003	-6.0610604E+000	0
6.016139848019520E+001	9.2244279E-003	-5.9885039E+000	0
6.016199848018005E+001	9.2816977E-003	-5.9179201E+000	0
6.016259848016489E+001	9.2244279E-003	-5.8499460E+000	0
6.016319848014973E+001	9.3962392E-003	-5.7835636E+000	0
6.016379848013457E+001	9.3389684E-003	-5.7181358E+000	0
6.016439848011942E+001	9.1862474E-003	-5.6563988E+000	0
6.016499848010426E+001	9.2816977E-003	-5.5949807E+000	0
6.016559848008910E+001	9.2626074E-003	-5.5367451E+000	0
6.016619848007394E+001	9.3389684E-003	-5.4800358E+000	0
6.016679848005879E+001	9.2816977E-003	-5.4242821E+000	0
6.016739848004363E+001	9.2244279E-003	-5.3708196E+000	0
6.016799848002847E+001	9.3007879E-003	-5.3172936E+000	0
6.016859848001332E+001	9.3771489E-003	-5.2670765E+000	0
6.016939847999311E+001	9.3007879E-003	-5.2006307E+000	0
6.017019847997290E+001	9.3580587E-003	-5.1374936E+000	0
6.017099847995269E+001	9.3389684E-003	-5.0748663E+000	0
6.017179847993248E+001	9.3007879E-003	-5.0162482E+000	0
6.017259847991227E+001	9.3389684E-003	-4.9578848E+000	0
6.017339847989206E+001	9.2816977E-003	-4.9017487E+000	0
6.017419847987185E+001	9.2626074E-003	-4.8473315E+000	0
6.017499847985164E+001	9.2816977E-003	-4.7949514E+000	0
6.017579847983143E+001	9.3580587E-003	-4.7426977E+000	0
6.017679847980617E+001	9.3962392E-003	-4.6807065E+000	0
6.017779847978090E+001	9.2816977E-003	-4.6204343E+000	0
6.017879847975564E+001	9.1671571E-003	-4.5627708E+000	0
6.017979847973038E+001	9.2816977E-003	-4.5059986E+000	0
6.018079847970512E+001	9.2244279E-003	-4.4515815E+000	0
6.018179847967986E+001	9.2816977E-003	-4.3983731E+000	0
6.018279847965459E+001	9.3007879E-003	-4.3471384E+000	0
6.018399847962428E+001	9.3389684E-003	-4.2870564E+000	0
6.018519847959396E+001	9.3389684E-003	-4.2297754E+000	0
6.018639847956365E+001	9.3580587E-003	-4.1736398E+000	0
6.018759847953334E+001	9.3007879E-003	-4.1191583E+000	0
6.018879847950302E+001	9.2816977E-003	-4.0655684E+000	0
6.019019847946765E+001	9.3389684E-003	-4.0070782E+000	0
6.019159847943229E+001	9.3771489E-003	-3.9491599E+000	0
6.019299847939692E+001	9.2435181E-003	-3.8940427E+000	0
6.019439847936155E+001	9.3580587E-003	-3.8392434E+000	0
