time/s	Ewe/V	I/mA	error	
1.860205753007249E+003	-8.3026309E-003	-1.9472088E-001	0
1.860205953007244E+003	-1.5599058E-002	-1.9597867E-001	0
1.860206153007239E+003	-1.8349474E-002	-1.9597867E-001	0
1.860206353007234E+003	-1.9762143E-002	-1.9597611E-001	0
1.860206553007229E+003	-2.0983912E-002	-1.9598503E-001	0
1.860206753007224E+003	-2.2091139E-002	-1.9598313E-001	0
1.860207153007213E+003	-2.3828341E-002	-1.9597550E-001	0
1.860207553007203E+003	-2.5584633E-002	-1.9598122E-001	0
1.860207953007193E+003	-2.7130933E-002	-1.9597867E-001	0
1.860208353007183E+003	-2.8600873E-002	-1.9597931E-001	0
1.860208753007173E+003	-2.9899001E-002	-1.9598375E-001	0
1.860209153007163E+003	-3.1197131E-002	-1.9598185E-001	0
1.860209553007153E+003	-3.2590710E-002	-1.9597611E-001	0
1.860209953007143E+003	-3.3793386E-002	-1.9598375E-001	0
1.860210353007133E+003	-3.4919705E-002	-1.9597802E-001	0
1.860210753007123E+003	-3.6198743E-002	-1.9597550E-001	0
1.860211153007112E+003	-3.7554141E-002	-1.9598122E-001	0
1.860211553007102E+003	-3.8680460E-002	-1.9597676E-001	0
1.860211953007092E+003	-3.9921317E-002	-1.9597931E-001	0
1.860212353007082E+003	-4.0990364E-002	-1.9597676E-001	0
1.860212753007072E+003	-4.2059410E-002	-1.9597802E-001	0
1.860213153007062E+003	-4.3147549E-002	-1.9598439E-001	0
1.860213553007052E+003	-4.4407498E-002	-1.9598694E-001	0
1.860213953007042E+003	-4.5438364E-002	-1.9597359E-001	0
1.860214353007032E+003	-4.6469230E-002	-1.9597802E-001	0
1.860214953007016E+003	-4.8091892E-002	-1.9598439E-001	0
1.860215553007001E+003	-4.9580920E-002	-1.9597994E-001	0
1.860216153006986E+003	-5.1165402E-002	-1.9598122E-001	0
1.860216553006976E+003	-5.2215356E-002	-1.9598249E-001	0
1.860217153006961E+003	-5.3532578E-002	-1.9597931E-001	0
1.860217753006946E+003	-5.5002518E-002	-1.9598566E-001	0
1.860218153006936E+003	-5.6033384E-002	-1.9597676E-001	0
1.860218753006920E+003	-5.7407871E-002	-1.9597931E-001	0
1.860219353006905E+003	-5.8858722E-002	-1.9597994E-001	0
1.860219953006890E+003	-6.0290482E-002	-1.9597676E-001	0
1.860220553006875E+003	-6.1626792E-002	-1.9597931E-001	0
1.860221153006860E+003	-6.2963098E-002	-1.9597994E-001	0
1.860221753006845E+003	-6.4471215E-002	-1.9598058E-001	0
1.860222353006830E+003	-6.5692984E-002	-1.9597867E-001	0
1.860222953006814E+003	-6.6857487E-002	-1.9597676E-001	0
1.860223553006799E+003	-6.8193793E-002	-1.9597550E-001	0
1.860224153006784E+003	-6.9549188E-002	-1.9597802E-001	0
1.860224753006769E+003	-7.0866413E-002	-1.9598122E-001	0
1.860225353006754E+003	-7.2011821E-002	-1.9597740E-001	0
1.860225953006739E+003	-7.3290855E-002	-1.9598122E-001	0
1.860226553006723E+003	-7.4569896E-002	-1.9598185E-001	0
1.860227153006708E+003	-7.5868025E-002	-1.9598439E-001	0
1.860227753006693E+003	-7.7070698E-002	-1.9598185E-001	0
1.860228353006678E+003	-7.8273378E-002	-1.9597802E-001	0
1.860228953006663E+003	-7.9571508E-002	-1.9597802E-001	0
1.860229553006648E+003	-8.0583282E-002	-1.9598439E-001	0
1.860230153006632E+003	-8.1652328E-002	-1.9597931E-001	0
1.860230753006617E+003	-8.2931370E-002	-1.9597611E-001	0
1.860231353006602E+003	-8.4095865E-002	-1.9597994E-001	0
1.860231953006587E+003	-8.5126735E-002	-1.9597994E-001	0
1.860232553006572E+003	-8.6405776E-002	-1.9598757E-001	0
1.860233353006552E+003	-8.7684810E-002	-1.9597676E-001	0
1.860233953006536E+003	-8.8868402E-002	-1.9598249E-001	0
1.860234753006516E+003	-9.0261981E-002	-1.9598185E-001	0
1.860235553006496E+003	-9.1693737E-002	-1.9598122E-001	0
1.860236153006481E+003	-9.2743695E-002	-1.9598249E-001	0
1.860236953006461E+003	-9.4194546E-002	-1.9597994E-001	0
1.860237553006446E+003	-9.5282681E-002	-1.9598313E-001	0
1.860238153006430E+003	-9.6332639E-002	-1.9598122E-001	0
1.860238953006410E+003	-9.7630769E-002	-1.9598566E-001	0
1.860239753006390E+003	-9.8890714E-002	-1.9597867E-001	0
1.860240353006375E+003	-9.9921584E-002	-1.9597802E-001	0
1.860241153006355E+003	-1.0112426E-001	-1.9597867E-001	0
1.860241753006339E+003	-1.0215513E-001	-1.9597486E-001	0
1.860242553006319E+003	-1.0343417E-001	-1.9598503E-001	0
1.860243353006299E+003	-1.0475139E-001	-1.9597994E-001	0
1.860244153006279E+003	-1.0601133E-001	-1.9597611E-001	0
1.860244953006259E+003	-1.0721401E-001	-1.9597931E-001	0
1.860245753006238E+003	-1.0841669E-001	-1.9598439E-001	0
1.860246553006218E+003	-1.0961936E-001	-1.9598439E-001	0
1.860247353006198E+003	-1.1076477E-001	-1.9598058E-001	0
1.860248153006178E+003	-1.1194836E-001	-1.9597802E-001	0
1.860248953006158E+003	-1.1313195E-001	-1.9597802E-001	0
1.860249753006137E+003	-1.1427736E-001	-1.9597676E-001	0
1.860250553006117E+003	-1.1551821E-001	-1.9597802E-001	0
1.860251353006097E+003	-1.1658727E-001	-1.9597931E-001	0
1.860252153006077E+003	-1.1767540E-001	-1.9598566E-001	0
1.860252953006056E+003	-1.1874445E-001	-1.9598503E-001	0
1.860253753006036E+003	-1.1992803E-001	-1.9598375E-001	0
1.860254753006011E+003	-1.2128343E-001	-1.9598947E-001	0
1.860255753005986E+003	-1.2244793E-001	-1.9597740E-001	0
1.860256553005966E+003	-1.2365061E-001	-1.9598375E-001	0
1.860257353005945E+003	-1.2470057E-001	-1.9597867E-001	0
1.860258353005920E+003	-1.2588415E-001	-1.9598058E-001	0
1.860259153005900E+003	-1.2695320E-001	-1.9598249E-001	0
1.860260153005875E+003	-1.2815587E-001	-1.9597740E-001	0
1.860260953005854E+003	-1.2924401E-001	-1.9598439E-001	0
1.860261953005829E+003	-1.3038942E-001	-1.9598122E-001	0
1.860262953005804E+003	-1.3151574E-001	-1.9598630E-001	0
1.860263953005779E+003	-1.3271841E-001	-1.9597802E-001	0
1.860264953005753E+003	-1.3386382E-001	-1.9598058E-001	0
1.860265953005728E+003	-1.3495196E-001	-1.9598058E-001	0
1.860266953005703E+003	-1.3609737E-001	-1.9598375E-001	0
1.860267953005678E+003	-1.3735731E-001	-1.9597931E-001	0
1.860269153005647E+003	-1.3857909E-001	-1.9598313E-001	0
1.860270153005622E+003	-1.3964812E-001	-1.9598058E-001	0
1.860271153005597E+003	-1.4077444E-001	-1.9598122E-001	0
1.860272353005566E+003	-1.4195804E-001	-1.9598122E-001	0
1.860273353005541E+003	-1.4304617E-001	-1.9597994E-001	0
1.860274553005511E+003	-1.4411522E-001	-1.9598122E-001	0
1.860275553005486E+003	-1.4531790E-001	-1.9598122E-001	0
1.860276753005455E+003	-1.4646330E-001	-1.9598313E-001	0
1.860277953005425E+003	-1.4758962E-001	-1.9598566E-001	0
1.860278953005400E+003	-1.4865868E-001	-1.9598249E-001	0
1.860280353005364E+003	-1.4978498E-001	-1.9598185E-001	0
1.860281353005339E+003	-1.5081586E-001	-1.9598058E-001	0
