time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.7864254E+000	-2.5024857E-002	0	-3.0442816E-004
6.017319847989711E+001	9.3463548E-003	-7.4801874E+000	0	-1.2317197E-004
6.017359847988700E+001	9.3272654E-003	-7.4184580E+000	0	-4.6820263E-005
6.017399847987690E+001	9.4227158E-003	-7.3637290E+000	0	-8.6444124E-006
6.017439847986680E+001	9.3654450E-003	-7.3096366E+000	0	-2.7732338E-005
6.017479847985669E+001	9.3272654E-003	-7.2549076E+000	0	6.7707289E-005
6.017519847984659E+001	9.4036255E-003	-7.2008152E+000	0	-1.0408404E-004
6.017579847983143E+001	9.2890849E-003	-7.1199946E+000	0	-8.4996114E-005
6.017619847982132E+001	9.4418060E-003	-7.0639925E+000	0	2.9531438E-005
6.017679847980617E+001	9.2890849E-003	-6.9901724E+000	0	1.0588314E-004
6.017739847979101E+001	9.3654450E-003	-6.9144430E+000	0	-6.5908192E-005
6.017779847978090E+001	9.3272654E-003	-6.8622599E+000	0	-1.9952367E-004
6.017839847976575E+001	9.2890849E-003	-6.7998948E+000	0	-1.2317197E-004
6.017879847975564E+001	9.3463548E-003	-6.7496200E+000	0	-1.2317197E-004
6.017939847974048E+001	9.4227158E-003	-6.6834364E+000	0	-8.4996114E-005
6.017999847972533E+001	9.3654450E-003	-6.6064339E+000	0	4.8619364E-005
6.018059847971017E+001	9.3272654E-003	-6.5357952E+000	0	-4.6820263E-005
6.018119847969501E+001	9.3081752E-003	-6.4797940E+000	0	-6.5908192E-005
6.018179847967986E+001	9.2890849E-003	-6.4129739E+000	0	-1.8043575E-004
6.018239847966470E+001	9.3654450E-003	-6.3525171E+000	0	6.7707289E-005
6.018299847964954E+001	9.3463548E-003	-6.2958789E+000	0	-2.7732338E-005
6.018339847963944E+001	9.4036255E-003	-6.2443328E+000	0	-8.4996114E-005
6.018399847962428E+001	9.2699947E-003	-6.1889672E+000	0	-1.0408404E-004
6.018459847960912E+001	9.4227158E-003	-6.1386924E+000	0	2.9531438E-005
6.018519847959396E+001	9.3654450E-003	-6.0788727E+000	0	1.0443513E-005
6.018579847957881E+001	9.2699947E-003	-6.0158710E+000	0	2.9531438E-005
6.018659847955860E+001	9.3654450E-003	-5.9541416E+000	0	-1.2317197E-004
6.018719847954344E+001	9.3272654E-003	-5.8930492E+000	0	-8.4996114E-005
6.018799847952323E+001	9.4036255E-003	-5.8198647E+000	0	6.7707289E-005
6.018879847950302E+001	9.3845353E-003	-5.7543173E+000	0	-4.6820263E-005
6.018959847948281E+001	9.3845353E-003	-5.6976795E+000	0	-4.6820263E-005
6.019019847946765E+001	9.3845353E-003	-5.6474056E+000	0	-4.6820263E-005
6.019079847945250E+001	9.4036255E-003	-5.5939488E+000	0	-8.6444124E-006
6.019159847943229E+001	9.4418060E-003	-5.5309472E+000	0	-8.4996114E-005
6.019239847941208E+001	9.2890849E-003	-5.4717636E+000	0	-1.4225990E-004
6.019319847939187E+001	9.2890849E-003	-5.4176712E+000	0	-6.5908192E-005
6.019399847937166E+001	9.3463548E-003	-5.3578510E+000	0	-6.5908192E-005
6.019479847935145E+001	9.3081752E-003	-5.3031225E+000	0	-2.7732338E-005
6.019559847933124E+001	9.4227158E-003	-5.2490296E+000	0	-1.4225990E-004
6.019639847931103E+001	9.3463548E-003	-5.1923919E+000	0	1.0443513E-005
6.019719847929082E+001	9.4227158E-003	-5.1402078E+000	0	-1.0408404E-004
6.019819847926556E+001	9.3081752E-003	-5.0765700E+000	0	-4.6820263E-005
6.019899847924535E+001	9.2699947E-003	-5.0262957E+000	0	1.0588314E-004
6.019999847922008E+001	9.4036255E-003	-4.9728394E+000	0	-1.0408404E-004
6.020079847919988E+001	9.3272654E-003	-4.9200201E+000	0	-6.5908192E-005
6.020179847917461E+001	9.3654450E-003	-4.8627453E+000	0	6.7707289E-005
6.020279847914935E+001	9.3654450E-003	-4.8003798E+000	0	-1.2317197E-004
6.020379847912409E+001	9.4608963E-003	-4.7450142E+000	0	1.0443513E-005
6.020479847909883E+001	9.2890849E-003	-4.6947403E+000	0	-6.5908192E-005
6.020579847907356E+001	9.2509044E-003	-4.6406474E+000	0	1.0443513E-005
6.020679847904830E+001	9.3463548E-003	-4.5878282E+000	0	-2.7732338E-005
6.020799847901799E+001	9.3845353E-003	-4.5311899E+000	0	-4.6820263E-005
6.020919847898767E+001	9.3463548E-003	-4.4745517E+000	0	-2.7732338E-005
6.021039847895736E+001	9.4036255E-003	-4.4230046E+000	0	-2.7732338E-005
6.021159847892704E+001	9.3654450E-003	-4.3670030E+000	0	4.8619364E-005
6.021279847889673E+001	9.3654450E-003	-4.3154559E+000	0	-2.7732338E-005
6.021419847886136E+001	9.3272654E-003	-4.2537270E+000	0	-6.5908192E-005
6.021559847882600E+001	9.4036255E-003	-4.1932707E+000	0	-8.6444124E-006
6.021699847879063E+001	9.3272654E-003	-4.1296325E+000	0	-8.6444124E-006
6.021859847875021E+001	9.3272654E-003	-4.0729942E+000	0	-2.7732338E-005
6.021999847871484E+001	9.4418060E-003	-4.0189018E+000	0	-4.6820263E-005
6.022139847867948E+001	9.3463548E-003	-3.9603546E+000	0	-4.6820263E-005
6.022299847863906E+001	9.2699947E-003	-3.9062622E+000	0	-4.6820263E-005
6.022479847859358E+001	9.2509044E-003	-3.8483510E+000	0	6.7707289E-005
6.022639847855316E+001	9.3845353E-003	-3.7980771E+000	0	-1.2317197E-004
6.022819847850769E+001	9.3845353E-003	-3.7331657E+000	0	2.9531438E-005
6.022979847846727E+001	9.3845353E-003	-3.6816189E+000	0	-8.6444124E-006
6.023159847842180E+001	9.2318142E-003	-3.6249809E+000	0	1.0443513E-005
6.023379847836623E+001	9.4227158E-003	-3.5575242E+000	0	-2.7732338E-005
6.023599847831065E+001	9.3463548E-003	-3.5066135E+000	0	6.7707289E-005
6.023779847826518E+001	9.4036255E-003	-3.4550667E+000	0	-6.5908192E-005
6.023979847821465E+001	9.4418060E-003	-3.4028831E+000	0	-1.0408404E-004
6.024179847816413E+001	9.2890849E-003	-3.3456089E+000	0	-2.7732338E-005
6.024419847810350E+001	9.3845353E-003	-3.2864254E+000	0	-6.5908192E-005
6.024639847804792E+001	9.4227158E-003	-3.2329690E+000	0	-4.6820263E-005
6.024879847798729E+001	9.3081752E-003	-3.1756947E+000	0	2.9531438E-005
6.025139847792161E+001	9.3272654E-003	-3.1241479E+000	0	-8.4996114E-005
6.025359847786604E+001	9.3081752E-003	-3.0732369E+000	0	-4.6820263E-005
6.025619847780035E+001	9.2699947E-003	-3.0229628E+000	0	-8.6444124E-006
6.025899847772962E+001	9.3845353E-003	-2.9656885E+000	0	4.8619364E-005
6.026179847765889E+001	9.3272654E-003	-2.9109595E+000	0	6.7707289E-005
6.026499847757805E+001	9.3272654E-003	-2.8511395E+000	0	4.8619364E-005
