time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	2.5789468E-003	-1.9479871E-001	0	-2.3683166E-004
1.860205953007244E+003	-3.0788756E-004	-1.9599679E-001	0	-4.7737360E-004
1.860206153007239E+003	-1.5888810E-003	-1.9600061E-001	0	-1.3504496E-005
1.860206553007229E+003	-2.6962110E-003	-1.9599807E-001	0	-3.2594202E-005
1.860207153007213E+003	-3.9562760E-003	-1.9599615E-001	0	6.2854328E-005
1.860207753007198E+003	-4.9681463E-003	-1.9599298E-001	0	-7.0773618E-005
1.860208353007183E+003	-5.9991088E-003	-1.9599807E-001	0	-5.1683910E-005
1.860208953007168E+003	-7.0300712E-003	-1.9599807E-001	0	6.2854328E-005
1.860209753007148E+003	-8.0419416E-003	-1.9599362E-001	0	6.2854328E-005
1.860210553007128E+003	-9.1110878E-003	-1.9599107E-001	0	2.4674917E-005
1.860211353007107E+003	-1.0218418E-002	-1.9599043E-001	0	-1.3504496E-005
1.860212353007082E+003	-1.1459391E-002	-1.9599298E-001	0	-7.0773618E-005
1.860213353007057E+003	-1.2643089E-002	-1.9599171E-001	0	-1.3504496E-005
1.860214553007027E+003	-1.3750419E-002	-1.9600061E-001	0	4.3764623E-005
1.860215353007006E+003	-1.4762289E-002	-1.9599552E-001	0	-8.9863323E-005
1.860216553006976E+003	-1.5965078E-002	-1.9599298E-001	0	-7.0773618E-005
1.860217553006951E+003	-1.6976949E-002	-1.9599743E-001	0	2.4674917E-005
1.860218553006926E+003	-1.8027002E-002	-1.9599043E-001	0	6.2854328E-005
1.860219753006895E+003	-1.9038873E-002	-1.9599807E-001	0	5.5852106E-006
1.860220953006865E+003	-2.0241663E-002	-1.9599488E-001	0	4.3764623E-005
1.860222353006830E+003	-2.1482635E-002	-1.9599424E-001	0	-1.3504496E-005
1.860223553006799E+003	-2.2628149E-002	-1.9599488E-001	0	1.9648227E-004
1.860224953006764E+003	-2.3830939E-002	-1.9599234E-001	0	5.5852106E-006
1.860226153006734E+003	-2.4976453E-002	-1.9599615E-001	0	2.4674917E-005
1.860227753006693E+003	-2.6255609E-002	-1.9599679E-001	0	5.5852106E-006
1.860229153006658E+003	-2.7362941E-002	-1.9599424E-001	0	5.5852106E-006
1.860230553006622E+003	-2.8546637E-002	-1.9599234E-001	0	-1.3504496E-005
1.860231953006587E+003	-2.9558508E-002	-1.9599807E-001	0	-7.0773618E-005
1.860233153006557E+003	-3.0742206E-002	-1.9599743E-001	0	4.3764623E-005
1.860234753006516E+003	-3.1773169E-002	-1.9599615E-001	0	5.5852106E-006
1.860235953006486E+003	-3.2956865E-002	-1.9599488E-001	0	4.3764623E-005
1.860237753006440E+003	-3.4083288E-002	-1.9599807E-001	0	5.5852106E-006
1.860238953006410E+003	-3.5209708E-002	-1.9599234E-001	0	4.3764623E-005
1.860240553006370E+003	-3.6355224E-002	-1.9600061E-001	0	8.1944032E-005
1.860242153006329E+003	-3.7462551E-002	-1.9599870E-001	0	-5.1683910E-005
1.860243353006299E+003	-3.8474422E-002	-1.9599488E-001	0	6.2854328E-005
1.860244953006259E+003	-3.9562661E-002	-1.9599298E-001	0	1.3921315E-004
1.860246753006213E+003	-4.0880002E-002	-1.9599424E-001	0	-1.4713245E-004
1.860248353006173E+003	-4.1968241E-002	-1.9599679E-001	0	-3.2594202E-005
1.860249953006132E+003	-4.3056477E-002	-1.9599552E-001	0	-3.2594202E-005
1.860251153006102E+003	-4.4068348E-002	-1.9599298E-001	0	8.1944032E-005
1.860252953006056E+003	-4.5271140E-002	-1.9599298E-001	0	-3.2594202E-005
1.860254553006016E+003	-4.6283010E-002	-1.9598790E-001	0	-5.1683910E-005
1.860256153005976E+003	-4.7371246E-002	-1.9599679E-001	0	5.5852106E-006
1.860257753005935E+003	-4.8516762E-002	-1.9599234E-001	0	1.0103374E-004
1.860259353005895E+003	-4.9547724E-002	-1.9599043E-001	0	4.3764623E-005
1.860261153005849E+003	-5.0807789E-002	-1.9599171E-001	0	4.3764623E-005
1.860263153005799E+003	-5.2125130E-002	-1.9599234E-001	0	1.0103374E-004
1.860264953005753E+003	-5.3194273E-002	-1.9599615E-001	0	-1.4713245E-004
1.860266553005713E+003	-5.4206144E-002	-1.9599679E-001	0	-1.3504496E-005
1.860268153005673E+003	-5.5237107E-002	-1.9599298E-001	0	-5.1683910E-005
1.860269753005632E+003	-5.6268070E-002	-1.9599424E-001	0	-3.2594202E-005
1.860271353005592E+003	-5.7279941E-002	-1.9599424E-001	0	-2.0440157E-004
1.860273153005546E+003	-5.8349088E-002	-1.9599107E-001	0	6.2854328E-005
1.860274953005501E+003	-5.9570968E-002	-1.9599743E-001	0	6.2854328E-005
1.860276953005450E+003	-6.0773756E-002	-1.9599870E-001	0	1.0103374E-004
1.860278753005405E+003	-6.1842903E-002	-1.9599870E-001	0	-1.4713245E-004
1.860280553005359E+003	-6.2912047E-002	-1.9599679E-001	0	1.2012345E-004
1.860282353005314E+003	-6.3962102E-002	-1.9599615E-001	0	-7.0773618E-005
1.860284153005268E+003	-6.5050341E-002	-1.9599362E-001	0	-5.1683910E-005
1.860285953005223E+003	-6.6138580E-002	-1.9599362E-001	0	-8.9863323E-005
1.860287753005177E+003	-6.7150451E-002	-1.9599362E-001	0	6.2854328E-005
1.860289553005132E+003	-6.8162322E-002	-1.9599679E-001	0	1.0103374E-004
1.860291753005076E+003	-6.9460571E-002	-1.9599298E-001	0	-7.0773618E-005
1.860293953005021E+003	-7.0663355E-002	-1.9599615E-001	0	4.3764623E-005
1.860295953004970E+003	-7.1713410E-002	-1.9599552E-001	0	-5.1683910E-005
1.860297953004920E+003	-7.2916202E-002	-1.9599934E-001	0	-1.2804274E-004
1.860299953004869E+003	-7.3985346E-002	-1.9600315E-001	0	-3.2594202E-005
1.860301953004819E+003	-7.5016312E-002	-1.9599488E-001	0	-3.2594202E-005
1.860303953004768E+003	-7.6104552E-002	-1.9599362E-001	0	-8.9863323E-005
1.860305953004718E+003	-7.7173695E-002	-1.9599615E-001	0	-5.1683910E-005
1.860307953004667E+003	-7.8261934E-002	-1.9599234E-001	0	-7.0773618E-005
1.860310153004611E+003	-7.9464726E-002	-1.9599424E-001	0	6.2854328E-005
1.860312353004556E+003	-8.0476590E-002	-1.9599298E-001	0	2.4674917E-005
1.860314353004505E+003	-8.1526645E-002	-1.9600061E-001	0	-3.2594202E-005
1.860316353004455E+003	-8.2576700E-002	-1.9600061E-001	0	-1.0895303E-004
1.860318753004394E+003	-8.3741307E-002	-1.9599679E-001	0	2.4674917E-005
1.860320953004339E+003	-8.4829547E-002	-1.9599934E-001	0	1.2012345E-004
1.860322953004288E+003	-8.5841417E-002	-1.9599488E-001	0	8.1944032E-005
1.860325353004228E+003	-8.6967841E-002	-1.9599679E-001	0	1.2012345E-004
1.860327353004177E+003	-8.8036984E-002	-1.9599298E-001	0	-3.2594202E-005
1.860329753004116E+003	-8.9048855E-002	-1.9599615E-001	0	-5.1683910E-005
1.860331753004066E+003	-9.0098910E-002	-1.9599743E-001	0	-5.1683910E-005
1.860334353004000E+003	-9.1148965E-002	-1.9599615E-001	0	-8.9863323E-005
1.860336353003950E+003	-9.2218108E-002	-1.9599488E-001	0	-5.1683910E-005
1.860338953003884E+003	-9.3325436E-002	-1.9599679E-001	0	2.4674917E-005
1.860341153003828E+003	-9.4413675E-002	-1.9599615E-001	0	1.5830285E-004
1.860343953003758E+003	-9.5597371E-002	-1.9599807E-001	0	6.2854328E-005
1.860346353003697E+003	-9.6781075E-002	-1.9600189E-001	0	6.2854328E-005
1.860349153003626E+003	-9.7812034E-002	-1.9599743E-001	0	-1.4713245E-004
1.860351553003566E+003	-9.8957546E-002	-1.9599043E-001	0	-1.3504496E-005
1.860354153003500E+003	-1.0002670E-001	-1.9599615E-001	0	2.4674917E-005
1.860356753003434E+003	-1.0105766E-001	-1.9599107E-001	0	1.3921315E-004
1.860359153003374E+003	-1.0220317E-001	-1.9599615E-001	0	2.4674917E-005
1.860362153003298E+003	-1.0340596E-001	-1.9599234E-001	0	6.2854328E-005
1.860364953003227E+003	-1.0451329E-001	-1.9599488E-001	0	-3.2594202E-005
1.860367753003156E+003	-1.0562062E-001	-1.9599552E-001	0	4.3764623E-005
1.860370753003081E+003	-1.0678522E-001	-1.9600061E-001	0	5.5852106E-006
1.860373753003005E+003	-1.0783528E-001	-1.9599552E-001	0	5.5852106E-006
1.860376153002944E+003	-1.0894261E-001	-1.9599934E-001	0	-3.2594202E-005
1.860379153002868E+003	-1.1001176E-001	-1.9599870E-001	0	-1.4713245E-004
1.860382153002793E+003	-1.1113818E-001	-1.9599934E-001	0	-5.1683910E-005
1.860384953002722E+003	-1.1216914E-001	-1.9599488E-001	0	-5.1683910E-005
1.860387953002646E+003	-1.1329556E-001	-1.9599362E-001	0	1.0103374E-004
1.860390953002570E+003	-1.1432652E-001	-1.9599998E-001	0	-1.3504496E-005
1.860393753002500E+003	-1.1537658E-001	-1.9599679E-001	0	-5.1683910E-005
1.860396753002424E+003	-1.1638845E-001	-1.9599234E-001	0	-1.3504496E-005
1.860399953002343E+003	-1.1740032E-001	-1.9599934E-001	0	-7.0773618E-005
1.860402753002272E+003	-1.1846947E-001	-1.9599298E-001	0	-3.2594202E-005
1.860406353002181E+003	-1.1950043E-001	-1.9599552E-001	0	4.3764623E-005
1.860409153002111E+003	-1.2056957E-001	-1.9599362E-001	0	-7.0773618E-005
1.860412553002025E+003	-1.2160054E-001	-1.9599234E-001	0	-3.2594202E-005
1.860415553001949E+003	-1.2261241E-001	-1.9599998E-001	0	-5.1683910E-005
1.860419153001858E+003	-1.2373883E-001	-1.9599488E-001	0	4.3764623E-005
1.860422353001777E+003	-1.2480798E-001	-1.9599298E-001	0	5.5852106E-006
1.860425953001686E+003	-1.2585802E-001	-1.9599488E-001	0	5.5852106E-006
1.860429953001585E+003	-1.2700354E-001	-1.9599615E-001	0	6.2854328E-005
1.860433753001489E+003	-1.2812996E-001	-1.9599998E-001	0	-5.1683910E-005
1.860437353001398E+003	-1.2918001E-001	-1.9599234E-001	0	5.5852106E-006
1.860440953001307E+003	-1.3019189E-001	-1.9599552E-001	0	6.2854328E-005
1.860444753001211E+003	-1.3135649E-001	-1.9599679E-001	0	-5.1683910E-005
1.860449153001100E+003	-1.3248292E-001	-1.9599807E-001	0	-7.0773618E-005
1.860453553000989E+003	-1.3362843E-001	-1.9599234E-001	0	2.4674917E-005
1.860457553000888E+003	-1.3473576E-001	-1.9599934E-001	0	-3.2594202E-005
1.860461753000782E+003	-1.3578582E-001	-1.9599552E-001	0	-8.9863323E-005
1.860466353000666E+003	-1.3683587E-001	-1.9599552E-001	0	5.5852106E-006
1.860470553000559E+003	-1.3790502E-001	-1.9599552E-001	0	5.5852106E-006
1.860474953000448E+003	-1.3893598E-001	-1.9599870E-001	0	6.2854328E-005
1.860478753000352E+003	-1.3994785E-001	-1.9599615E-001	0	-1.3504496E-005
