time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.5491717E+000	-2.5020160E-002	0	-8.0448727E-004
6.014319848065497E+001	9.1572776E-003	-6.9353342E+000	0	4.8959981E-005
6.014339848064992E+001	9.1381911E-003	-6.8852625E+000	0	1.0788597E-005
6.014379848063982E+001	9.2336265E-003	-6.7867732E+000	0	-8.2970946E-006
6.014419848062971E+001	9.3099754E-003	-6.6907029E+000	0	6.8045672E-005
6.014459848061961E+001	9.1763651E-003	-6.5966668E+000	0	1.0788597E-005
6.014499848060950E+001	9.2145400E-003	-6.5058126E+000	0	2.9874289E-005
6.014539848059940E+001	9.2336265E-003	-6.4168673E+000	0	6.8045672E-005
6.014579848058929E+001	9.1000162E-003	-6.3297033E+000	0	-6.5554173E-005
6.014619848057919E+001	9.2336265E-003	-6.2444487E+000	0	-8.2970946E-006
6.014659848056908E+001	9.0809288E-003	-6.1618652E+000	0	-8.2970946E-006
6.014699848055898E+001	9.2145400E-003	-6.0810637E+000	0	1.0621706E-004
6.014739848054887E+001	9.1763651E-003	-6.0026159E+000	0	2.9874289E-005
6.014779848053877E+001	9.1572776E-003	-5.9246140E+000	0	1.4438844E-004
6.014819848052866E+001	9.2908889E-003	-5.8499203E+000	0	1.0621706E-004
6.014859848051856E+001	9.2336265E-003	-5.7765622E+000	0	2.9874289E-005
6.014899848050845E+001	9.2145400E-003	-5.7037778E+000	0	1.4438844E-004
6.014939848049835E+001	9.2145400E-003	-5.6343007E+000	0	2.9874289E-005
6.014979848048824E+001	9.2145400E-003	-5.5654602E+000	0	1.0788597E-005
6.015019848047814E+001	9.2908889E-003	-5.4979558E+000	0	6.8045672E-005
6.015059848046803E+001	9.1572776E-003	-5.4329958E+000	0	-8.2970946E-006
6.015099848045793E+001	9.1572776E-003	-5.3688641E+000	0	6.8045672E-005
6.015139848044782E+001	9.1572776E-003	-5.3063226E+000	0	1.0621706E-004
6.015179848043772E+001	9.2145400E-003	-5.2444801E+000	0	8.7131360E-005
6.015219848042761E+001	9.2336265E-003	-5.1855655E+000	0	6.8045672E-005
6.015259848041751E+001	9.1572776E-003	-5.1270313E+000	0	1.0788597E-005
6.015299848040740E+001	9.2718014E-003	-5.0692616E+000	0	8.7131360E-005
6.015339848039730E+001	9.2145400E-003	-5.0130186E+000	0	1.0788597E-005
6.015379848038720E+001	9.2718014E-003	-4.9577298E+000	0	-2.7382786E-005
6.015419848037709E+001	9.2145400E-003	-4.9046044E+000	0	-8.4639862E-005
6.015459848036699E+001	9.1572776E-003	-4.8518610E+000	0	4.8959981E-005
6.015499848035688E+001	9.2336265E-003	-4.8008986E+000	0	1.8255982E-004
6.015559848034172E+001	9.2336265E-003	-4.7260776E+000	0	-2.7382786E-005
6.015619848032657E+001	9.2145400E-003	-4.6530380E+000	0	4.8959981E-005
6.015679848031141E+001	9.2336265E-003	-4.5829248E+000	0	8.7131360E-005
6.015739848029625E+001	9.1572776E-003	-4.5143390E+000	0	-1.0372556E-004
6.015799848028109E+001	9.1572776E-003	-4.4479160E+000	0	4.8959981E-005
6.015859848026594E+001	9.2527140E-003	-4.3828292E+000	0	6.8045672E-005
6.015919848025078E+001	9.1381911E-003	-4.3214965E+000	0	1.0621706E-004
6.015979848023562E+001	9.3099754E-003	-4.2601638E+000	0	-1.0372556E-004
6.016039848022047E+001	9.2145400E-003	-4.2024570E+000	0	-4.6468478E-005
6.016099848020531E+001	9.1572776E-003	-4.1444964E+000	0	2.9874289E-005
6.016159848019015E+001	9.2527140E-003	-4.0885077E+000	0	1.0788597E-005
6.016219848017499E+001	9.2527140E-003	-4.0344915E+000	0	8.7131360E-005
6.016279848015984E+001	9.2145400E-003	-3.9816203E+000	0	-6.5554173E-005
6.016339848014468E+001	9.2145400E-003	-3.9304671E+000	0	1.0788597E-005
