time/s	Ewe/V	I/mA	error	
1.860255353005996E+003	-6.6066219E-005	-1.9480526E-001	0
1.860255553005991E+003	-4.4758487E-003	-1.9598807E-001	0
1.860255753005986E+003	-7.3747807E-003	-1.9599889E-001	0
1.860255953005981E+003	-8.8444976E-003	-1.9599444E-001	0
1.860256153005976E+003	-1.0180604E-002	-1.9599698E-001	0
1.860256353005971E+003	-1.1249488E-002	-1.9599952E-001	0
1.860256553005966E+003	-1.2318374E-002	-1.9599253E-001	0
1.860256953005955E+003	-1.4188922E-002	-1.9599189E-001	0
1.860257153005950E+003	-1.5353244E-002	-1.9599761E-001	0
1.860257553005940E+003	-1.7166531E-002	-1.9599952E-001	0
1.860257953005930E+003	-1.8922556E-002	-1.9598936E-001	0
1.860258353005920E+003	-2.0850366E-002	-1.9599444E-001	0
1.860258753005910E+003	-2.2587305E-002	-1.9599570E-001	0
1.860259153005900E+003	-2.4190633E-002	-1.9599889E-001	0
1.860259553005890E+003	-2.5965745E-002	-1.9599827E-001	0
1.860259953005880E+003	-2.7492722E-002	-1.9599317E-001	0
1.860260353005870E+003	-2.9229661E-002	-1.9599761E-001	0
1.860260753005859E+003	-3.0813901E-002	-1.9599062E-001	0
1.860261153005849E+003	-3.2608099E-002	-1.9599508E-001	0
1.860261553005839E+003	-3.4135077E-002	-1.9599634E-001	0
1.860261953005829E+003	-3.5738405E-002	-1.9599317E-001	0
1.860262353005819E+003	-3.7169948E-002	-1.9599062E-001	0
1.860262753005809E+003	-3.8754188E-002	-1.9599698E-001	0
1.860263153005799E+003	-4.0242992E-002	-1.9599253E-001	0
1.860263553005789E+003	-4.1750886E-002	-1.9599380E-001	0
1.860263953005779E+003	-4.3316036E-002	-1.9599634E-001	0
1.860264353005769E+003	-4.4823930E-002	-1.9599634E-001	0
1.860264753005758E+003	-4.6045512E-002	-1.9599317E-001	0
1.860265153005748E+003	-4.7610667E-002	-1.9599570E-001	0
1.860265553005738E+003	-4.8870422E-002	-1.9599761E-001	0
1.860265953005728E+003	-5.0454661E-002	-1.9599570E-001	0
1.860266353005718E+003	-5.1771682E-002	-1.9599827E-001	0
1.860266753005708E+003	-5.3126875E-002	-1.9599380E-001	0
1.860267153005698E+003	-5.4596592E-002	-1.9599189E-001	0
1.860267553005688E+003	-5.5760913E-002	-1.9599508E-001	0
1.860267953005678E+003	-5.7249717E-002	-1.9599508E-001	0
1.860268353005667E+003	-5.8471300E-002	-1.9599062E-001	0
1.860268753005657E+003	-5.9845582E-002	-1.9599189E-001	0
1.860269153005647E+003	-6.1200775E-002	-1.9598998E-001	0
1.860269553005637E+003	-6.2422357E-002	-1.9599827E-001	0
1.860269953005627E+003	-6.3720286E-002	-1.9599698E-001	0
1.860270353005617E+003	-6.4884610E-002	-1.9599508E-001	0
1.860270753005607E+003	-6.6163450E-002	-1.9599189E-001	0
1.860271153005597E+003	-6.7480475E-002	-1.9599317E-001	0
1.860271553005587E+003	-6.8682969E-002	-1.9599317E-001	0
1.860271953005577E+003	-6.9751851E-002	-1.9599380E-001	0
1.860272353005566E+003	-7.1049787E-002	-1.9599761E-001	0
1.860272753005556E+003	-7.2195016E-002	-1.9599761E-001	0
1.860273153005546E+003	-7.3378429E-002	-1.9599444E-001	0
1.860273553005536E+003	-7.4466400E-002	-1.9599761E-001	0
1.860273953005526E+003	-7.5707071E-002	-1.9599889E-001	0
1.860274353005516E+003	-7.6833218E-002	-1.9599380E-001	0
1.860274753005506E+003	-7.8035712E-002	-1.9599889E-001	0
1.860275153005496E+003	-7.9142772E-002	-1.9599062E-001	0
1.860275553005486E+003	-8.0154397E-002	-1.9599508E-001	0
1.860275953005475E+003	-8.1261456E-002	-1.9599189E-001	0
1.860276353005465E+003	-8.2406685E-002	-1.9599126E-001	0
1.860276753005455E+003	-8.3437398E-002	-1.9599189E-001	0
1.860277153005445E+003	-8.4658980E-002	-1.9599889E-001	0
1.860277753005430E+003	-8.6128697E-002	-1.9598871E-001	0
1.860278153005420E+003	-8.7140322E-002	-1.9599698E-001	0
1.860278553005410E+003	-8.8323727E-002	-1.9599380E-001	0
1.860279153005395E+003	-8.9717098E-002	-1.9599570E-001	0
1.860279553005385E+003	-9.0747811E-002	-1.9599634E-001	0
1.860280153005369E+003	-9.2179351E-002	-1.9599889E-001	0
1.860280553005359E+003	-9.3190975E-002	-1.9600333E-001	0
1.860281153005344E+003	-9.4584346E-002	-1.9599827E-001	0
1.860281553005334E+003	-9.5595963E-002	-1.9599380E-001	0
1.860282153005319E+003	-9.7084768E-002	-1.9599380E-001	0
1.860282753005304E+003	-9.8401792E-002	-1.9599189E-001	0
1.860283353005289E+003	-9.9852420E-002	-1.9600080E-001	0
1.860283953005273E+003	-1.0111217E-001	-1.9599827E-001	0
1.860284553005258E+003	-1.0241011E-001	-1.9599570E-001	0
1.860285153005243E+003	-1.0380348E-001	-1.9599889E-001	0
1.860285753005228E+003	-1.0513958E-001	-1.9599761E-001	0
1.860286353005213E+003	-1.0634208E-001	-1.9599317E-001	0
1.860286953005198E+003	-1.0765909E-001	-1.9599380E-001	0
1.860287553005182E+003	-1.0903338E-001	-1.9599570E-001	0
1.860288153005167E+003	-1.1015952E-001	-1.9599634E-001	0
1.860288753005152E+003	-1.1134293E-001	-1.9599253E-001	0
1.860289353005137E+003	-1.1256451E-001	-1.9599508E-001	0
1.860289953005122E+003	-1.1376701E-001	-1.9599317E-001	0
1.860290753005102E+003	-1.1521764E-001	-1.9599570E-001	0
1.860291353005086E+003	-1.1651557E-001	-1.9599570E-001	0
1.860292153005066E+003	-1.1787076E-001	-1.9600017E-001	0
1.860292753005051E+003	-1.1893965E-001	-1.9599634E-001	0
1.860293353005036E+003	-1.2006580E-001	-1.9598936E-001	0
1.860294153005016E+003	-1.2145916E-001	-1.9599634E-001	0
1.860294753005001E+003	-1.2254713E-001	-1.9599570E-001	0
1.860295553004980E+003	-1.2394051E-001	-1.9599126E-001	0
1.860296153004965E+003	-1.2495213E-001	-1.9599253E-001	0
1.860296953004945E+003	-1.2630732E-001	-1.9599570E-001	0
1.860297753004925E+003	-1.2747164E-001	-1.9600017E-001	0
1.860298553004905E+003	-1.2890318E-001	-1.9599189E-001	0
1.860299353004884E+003	-1.3022020E-001	-1.9599761E-001	0
1.860300153004864E+003	-1.3136543E-001	-1.9599634E-001	0
1.860300953004844E+003	-1.3264428E-001	-1.9599189E-001	0
1.860301753004824E+003	-1.3375133E-001	-1.9599634E-001	0
1.860302553004803E+003	-1.3487749E-001	-1.9599570E-001	0
1.860303353004783E+003	-1.3609907E-001	-1.9599380E-001	0
1.860304153004763E+003	-1.3714887E-001	-1.9599317E-001	0
1.860304953004743E+003	-1.3827501E-001	-1.9599126E-001	0
1.860305753004723E+003	-1.3942024E-001	-1.9599253E-001	0
1.860306553004702E+003	-1.4043187E-001	-1.9599253E-001	0
1.860307353004682E+003	-1.4153893E-001	-1.9599126E-001	0
1.860308353004657E+003	-1.4268416E-001	-1.9599062E-001	0
1.860309153004637E+003	-1.4377214E-001	-1.9600080E-001	0
1.860310153004611E+003	-1.4501281E-001	-1.9599570E-001	0
1.860311153004586E+003	-1.4619622E-001	-1.9599570E-001	0
1.860312153004561E+003	-1.4734145E-001	-1.9599508E-001	0
1.860313153004536E+003	-1.4844851E-001	-1.9599698E-001	0
1.860314153004510E+003	-1.4965101E-001	-1.9599698E-001	0
1.860315153004485E+003	-1.5073897E-001	-1.9599761E-001	0
1.860316153004460E+003	-1.5176968E-001	-1.9599634E-001	0
1.860317153004435E+003	-1.5281948E-001	-1.9599698E-001	0
1.860318153004409E+003	-1.5385020E-001	-1.9599317E-001	0
1.860319353004379E+003	-1.5509087E-001	-1.9599189E-001	0
1.860320353004354E+003	-1.5610249E-001	-1.9599508E-001	0
1.860321553004324E+003	-1.5726681E-001	-1.9599570E-001	0
1.860322753004293E+003	-1.5831661E-001	-1.9599062E-001	0
1.860323953004263E+003	-1.5936640E-001	-1.9599508E-001	0
1.860325153004233E+003	-1.6039711E-001	-1.9599444E-001	0
1.860326353004202E+003	-1.6140874E-001	-1.9599761E-001	0
1.860327753004167E+003	-1.6247763E-001	-1.9599062E-001	0
1.860329153004132E+003	-1.6369921E-001	-1.9599508E-001	0
1.860330553004096E+003	-1.6484444E-001	-1.9599634E-001	0
1.860331953004061E+003	-1.6589424E-001	-1.9599698E-001	0
1.860333553004020E+003	-1.6696313E-001	-1.9599317E-001	0
1.860335153003980E+003	-1.6805109E-001	-1.9600333E-001	0
1.860336753003940E+003	-1.6919632E-001	-1.9599508E-001	0
1.860338553003894E+003	-1.7034157E-001	-1.9599698E-001	0
1.860340153003854E+003	-1.7137228E-001	-1.9599380E-001	0
1.860342353003798E+003	-1.7240298E-001	-1.9599827E-001	0
1.860344553003742E+003	-1.7351004E-001	-1.9599634E-001	0
1.860347353003672E+003	-1.7459802E-001	-1.9599570E-001	0
1.860353153003525E+003	-1.7562872E-001	-1.9599634E-001	0
1.860357753003409E+003	-1.7461710E-001	-1.9599570E-001	0
1.860359953003353E+003	-1.7354822E-001	-1.9599570E-001	0
1.860361153003323E+003	-1.7242207E-001	-1.9599062E-001	0
1.860362753003283E+003	-1.7133410E-001	-1.9600143E-001	0
1.860363753003257E+003	-1.7024612E-001	-1.9599189E-001	0
1.860364953003227E+003	-1.6900545E-001	-1.9598998E-001	0
1.860365753003207E+003	-1.6797474E-001	-1.9599634E-001	0
1.860366753003182E+003	-1.6677225E-001	-1.9599508E-001	0
1.860367553003161E+003	-1.6574155E-001	-1.9599761E-001	0
1.860368353003141E+003	-1.6463448E-001	-1.9599380E-001	0
1.860369153003121E+003	-1.6348925E-001	-1.9599189E-001	0
1.860369753003106E+003	-1.6247763E-001	-1.9599698E-001	0
1.860370553003086E+003	-1.6123696E-001	-1.9599634E-001	0
1.860371353003065E+003	-1.5993902E-001	-1.9600272E-001	0
1.860371953003050E+003	-1.5888922E-001	-1.9599253E-001	0
1.860372553003035E+003	-1.5783943E-001	-1.9599827E-001	0
