time/s	Ewe/V	I/mA	error	
6.005239848294877E+001	-3.7257272E-001	-5.9479123E-001	0
6.005259848294372E+001	-5.1481682E-001	-7.3981887E-001	0
6.005279848293867E+001	-6.1708987E-001	-7.5620592E-001	0
6.005299848293362E+001	-6.9173229E-001	-7.6374722E-001	0
6.005319848292856E+001	-7.4633008E-001	-7.6881927E-001	0
6.005339848292351E+001	-7.8611392E-001	-7.7268213E-001	0
6.005359848291846E+001	-8.1954074E-001	-7.7479500E-001	0
6.005379848291341E+001	-8.4649605E-001	-7.7643692E-001	0
6.005399848290836E+001	-8.7194318E-001	-7.7720058E-001	0
6.005419848290330E+001	-8.9410686E-001	-7.7804065E-001	0
6.005439848289825E+001	-9.1445690E-001	-7.7868974E-001	0
6.005459848289320E+001	-9.3385249E-001	-7.7913517E-001	0
6.005479848288815E+001	-9.4511569E-001	-7.8041434E-001	0
6.005499848288309E+001	-9.5536709E-001	-7.8105074E-001	0
6.005519848287804E+001	-9.6600032E-001	-7.8131807E-001	0
6.005539848287299E+001	-9.7697711E-001	-7.8153437E-001	0
6.005559848286794E+001	-9.8848850E-001	-7.8158540E-001	0
6.005579848286288E+001	-1.0000571E+000	-7.8161711E-001	0
6.005599848285783E+001	-1.0106521E+000	-7.8173810E-001	0
6.005619848285278E+001	-1.0193954E+000	-7.8197348E-001	0
6.005639848284773E+001	-1.0271841E+000	-7.8223449E-001	0
6.005659848284267E+001	-1.0362138E+000	-7.8225356E-001	0
6.005679848283762E+001	-1.0452434E+000	-7.8228533E-001	0
6.005699848283257E+001	-1.0549221E+000	-7.8230441E-001	0
6.005719848282752E+001	-1.0634555E+000	-7.8232992E-001	0
6.005739848282246E+001	-1.0726759E+000	-7.8233624E-001	0
6.005759848281741E+001	-1.0802548E+000	-7.8254628E-001	0
6.005779848281236E+001	-1.0875472E+000	-7.8261632E-001	0
6.005799848280731E+001	-1.0966914E+000	-7.8255904E-001	0
6.005819848280225E+001	-1.1063318E+000	-7.8253996E-001	0
6.005839848279720E+001	-1.1151515E+000	-7.8248900E-001	0
6.005859848279215E+001	-1.1226540E+000	-7.8261632E-001	0
6.005879848278710E+001	-1.1267774E+000	-7.8297907E-001	0
6.005899848278204E+001	-1.1302327E+000	-7.8319538E-001	0
6.005919848277699E+001	-1.1341081E+000	-7.8329718E-001	0
6.005939848277194E+001	-1.1365898E+000	-7.8353268E-001	0
6.005959848276689E+001	-1.1401978E+000	-7.8356445E-001	0
6.005979848276183E+001	-1.1453712E+000	-7.8350085E-001	0
6.005999848275678E+001	-1.1504682E+000	-7.8355813E-001	0
6.006019848275173E+001	-1.1559089E+000	-7.8346270E-001	0
6.006039848274668E+001	-1.1615978E+000	-7.8350085E-001	0
6.006059848274163E+001	-1.1666758E+000	-7.8348178E-001	0
6.006079848273657E+001	-1.1691957E+000	-7.8360265E-001	0
6.006119848272647E+001	-1.1721356E+000	-7.8385729E-001	0
6.006139848272142E+001	-1.1751709E+000	-7.8389543E-001	0
6.006159848271636E+001	-1.1777672E+000	-7.8393364E-001	0
6.006179848271131E+001	-1.1809170E+000	-7.8390181E-001	0
6.006199848270626E+001	-1.1841242E+000	-7.8394634E-001	0
6.006219848270121E+001	-1.1883049E+000	-7.8392720E-001	0
6.006239848269615E+001	-1.1925048E+000	-7.8378725E-001	0
6.006259848269110E+001	-1.1966473E+000	-7.8388274E-001	0
6.006279848268605E+001	-1.2004844E+000	-7.8392088E-001	0
6.006299848268100E+001	-1.2039015E+000	-7.8385085E-001	0
6.006319848267594E+001	-1.2084450E+000	-7.8381908E-001	0
6.006339848267089E+001	-1.2125493E+000	-7.8382546E-001	0
6.006359848266584E+001	-1.2164247E+000	-7.8385085E-001	0
6.006379848266079E+001	-1.2192501E+000	-7.8392088E-001	0
6.006399848265573E+001	-1.2225527E+000	-7.8391457E-001	0
6.006419848265068E+001	-1.2254925E+000	-7.8388906E-001	0
6.006439848264563E+001	-1.2283751E+000	-7.8397816E-001	0
6.006459848264058E+001	-1.2331095E+000	-7.8387636E-001	0
6.006479848263552E+001	-1.2391038E+000	-7.8377450E-001	0
6.006499848263047E+001	-1.2423682E+000	-7.8384453E-001	0
6.006539848262037E+001	-1.2446589E+000	-7.8400356E-001	0
6.006619848260016E+001	-1.2469689E+000	-7.8428364E-001	0
6.006639848259510E+001	-1.2488397E+000	-7.8426456E-001	0
6.006659848259005E+001	-1.2507297E+000	-7.8428996E-001	0
6.006679848258500E+001	-1.2529060E+000	-7.8431547E-001	0
6.006699848257995E+001	-1.2554832E+000	-7.8428364E-001	0
6.006719848257490E+001	-1.2573539E+000	-7.8433460E-001	0
6.006739848256984E+001	-1.2587093E+000	-7.8441095E-001	0
6.006779848255974E+001	-1.2601411E+000	-7.8445542E-001	0
6.006859848253953E+001	-1.2626419E+000	-7.8450638E-001	0
6.006879848253448E+001	-1.2639782E+000	-7.8453815E-001	0
6.006899848252942E+001	-1.2651236E+000	-7.8451908E-001	0
6.006919848252437E+001	-1.2663454E+000	-7.8450638E-001	0
6.006939848251932E+001	-1.2679299E+000	-7.8450638E-001	0
6.006959848251427E+001	-1.2699343E+000	-7.8453177E-001	0
