time/s	Ewe/V	I/mA	error	
1.843219953436346E+001	1.4601467E-002	-2.5020937E-002	0
1.849419953279721E+001	8.7215006E-003	-3.7145996E-001	0
1.850079953263048E+001	8.6642280E-003	-3.6626017E-001	0
1.850739953246375E+001	8.7024095E-003	-3.6107945E-001	0
1.851379953230207E+001	8.6642280E-003	-3.5585421E-001	0
1.852159953210503E+001	8.7787723E-003	-3.5060981E-001	0
1.852939953190798E+001	8.7596821E-003	-3.4546095E-001	0
1.853619953173620E+001	8.7024095E-003	-3.4038845E-001	0
1.854839953142800E+001	8.8169547E-003	-3.3492771E-001	0
1.856079953111475E+001	8.6833183E-003	-3.2947963E-001	0
1.857819953067519E+001	8.8742264E-003	-3.2440716E-001	0
1.858839953041752E+001	8.6833183E-003	-3.1927100E-001	0
1.860879952990217E+001	8.8169547E-003	-3.1418571E-001	0
1.863379952927062E+001	8.8169547E-003	-3.0901137E-001	0
1.865519952873001E+001	8.7024095E-003	-3.0399615E-001	0
1.869399952774984E+001	8.7405909E-003	-2.9854810E-001	0
1.874159952654736E+001	8.6260466E-003	-2.9336104E-001	0
1.880039952506195E+001	8.7596821E-003	-2.8833306E-001	0
1.887459952318750E+001	8.7787723E-003	-2.8306323E-001	0
1.906139951846853E+001	8.7215006E-003	-2.7795890E-001	0
1.953539950649429E+001	8.5496828E-003	-2.8327328E-001	0
1.983719949887018E+001	8.6069554E-003	-2.8842854E-001	0
2.014819949101366E+001	8.7787723E-003	-2.9344377E-001	0
2.037559948526905E+001	8.5878652E-003	-2.9846537E-001	0
2.060179947955476E+001	8.8169547E-003	-3.0358246E-001	0
2.089659947210748E+001	8.6642280E-003	-3.0908138E-001	0
2.118159946490778E+001	8.6069554E-003	-3.1408387E-001	0
2.137279946007766E+001	8.6260466E-003	-3.1925189E-001	0
2.166799945262028E+001	8.6451368E-003	-3.2426712E-001	0
2.191579944636032E+001	8.7024095E-003	-3.2938418E-001	0
2.200019944422820E+001	8.6642280E-003	-3.3445668E-001	0
2.233039943588665E+001	8.7024095E-003	-3.3964378E-001	0
2.252179943105148E+001	8.7024095E-003	-3.4491995E-001	0
2.294899942025950E+001	8.6642280E-003	-3.4999248E-001	0
2.317539941454015E+001	8.7978635E-003	-3.5547867E-001	0
2.369659940137353E+001	8.7405909E-003	-3.6059576E-001	0
2.409479939131415E+001	8.6833183E-003	-3.6573189E-001	0
2.456759937937022E+001	8.6451368E-003	-3.7080446E-001	0
2.532639936020132E+001	8.7978635E-003	-3.7585148E-001	0
2.548299935624527E+001	8.7405909E-003	-3.8086674E-001	0
2.606919934143662E+001	8.7024095E-003	-3.8613018E-001	0
2.688859932073683E+001	8.6260466E-003	-3.9124727E-001	0
2.822839928689064E+001	8.6451368E-003	-3.9635161E-001	0
2.881299927212240E+001	8.5687740E-003	-4.0136048E-001	0
2.910939926463470E+001	8.6260466E-003	-3.9628798E-001	0
2.917959926286130E+001	8.7024095E-003	-4.0140504E-001	0
2.991779924421280E+001	8.6451368E-003	-3.9623708E-001	0
3.140419920666318E+001	8.6833183E-003	-3.9120910E-001	0
3.232299918345234E+001	8.7405909E-003	-3.8620657E-001	0
3.235959918252775E+001	8.6260466E-003	-3.9122820E-001	0
3.239059918174462E+001	8.6833183E-003	-3.8599655E-001	0
3.354279915263760E+001	8.7215006E-003	-3.8095585E-001	0
