time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.9140270E+000	-2.5020160E-002	0	-4.8618729E-004
6.017319847989711E+001	9.4082728E-003	-2.7624252E+001	0	6.5659973E-005
6.017359847988700E+001	9.2937499E-003	-2.7536388E+001	0	4.6574281E-005
6.017399847987690E+001	9.4846217E-003	-2.7444067E+001	0	2.7488590E-005
6.017419847987185E+001	9.4082728E-003	-2.7393768E+001	0	-8.7025561E-005
6.017459847986174E+001	9.5227966E-003	-2.7302084E+001	0	2.7488590E-005
6.017499847985164E+001	9.4082728E-003	-2.7211037E+001	0	6.5659973E-005
6.017519847984659E+001	9.4846217E-003	-2.7152462E+001	0	2.7488590E-005
6.017559847983648E+001	9.4464477E-003	-2.7072876E+001	0	4.6574281E-005
6.017579847983143E+001	9.4655352E-003	-2.7014938E+001	0	-1.0682794E-005
6.017619847982132E+001	9.3700988E-003	-2.6931532E+001	0	-1.0682794E-005
6.017659847981122E+001	9.3700988E-003	-2.6839846E+001	0	-8.7025561E-005
6.017699847980111E+001	9.4655352E-003	-2.6751347E+001	0	4.6574281E-005
6.017739847979101E+001	9.3319239E-003	-2.6664120E+001	0	-4.8854177E-005
6.017759847978596E+001	9.3128365E-003	-2.6613182E+001	0	2.7488590E-005
6.017799847977585E+001	9.4082728E-003	-2.6529140E+001	0	-8.7025561E-005
6.017839847976575E+001	9.4655352E-003	-2.6443823E+001	0	-2.9768486E-005
6.017879847975564E+001	9.3700988E-003	-2.6361052E+001	0	6.5659973E-005
6.017919847974554E+001	9.3128365E-003	-2.6272552E+001	0	6.5659973E-005
6.017959847973543E+001	9.4082728E-003	-2.6190420E+001	0	1.0383136E-004
6.017999847972533E+001	9.5418841E-003	-2.6103830E+001	0	8.4028979E-006
6.018039847971522E+001	9.3891853E-003	-2.6027428E+001	0	6.5659973E-005
6.018079847970512E+001	9.4273603E-003	-2.5939566E+001	0	1.0383136E-004
6.018119847969501E+001	9.3891853E-003	-2.5861887E+001	0	-6.7939873E-005
6.018159847968491E+001	9.5227966E-003	-2.5782936E+001	0	2.7488590E-005
6.018199847967480E+001	9.4846217E-003	-2.5698257E+001	0	1.4200274E-004
6.018239847966470E+001	9.4082728E-003	-2.5622490E+001	0	8.4745661E-005
6.018279847965459E+001	9.4655352E-003	-2.5534628E+001	0	2.7488590E-005
6.018319847964449E+001	9.4846217E-003	-2.5459497E+001	0	-4.8854177E-005
6.018359847963438E+001	9.3891853E-003	-2.5382458E+001	0	-8.7025561E-005
6.018399847962428E+001	9.3319239E-003	-2.5304146E+001	0	6.5659973E-005
6.018439847961417E+001	9.4082728E-003	-2.5227106E+001	0	-4.8854177E-005
6.018479847960407E+001	9.3700988E-003	-2.5153883E+001	0	2.7488590E-005
6.018519847959396E+001	9.4082728E-003	-2.5078119E+001	0	-4.8854177E-005
6.018559847958386E+001	9.4273603E-003	-2.5000443E+001	0	1.0383136E-004
6.018599847957375E+001	9.3510114E-003	-2.4934864E+001	0	8.4745661E-005
6.018639847956365E+001	9.5037092E-003	-2.4847637E+001	0	-2.9768486E-005
6.018679847955354E+001	9.3891853E-003	-2.4778873E+001	0	-1.0682794E-005
6.018719847954344E+001	9.4655352E-003	-2.4703745E+001	0	2.7488590E-005
6.018759847953334E+001	9.3891853E-003	-2.4633707E+001	0	8.4028979E-006
6.018799847952323E+001	9.4273603E-003	-2.4564945E+001	0	8.4745661E-005
6.018839847951313E+001	9.4464477E-003	-2.4489180E+001	0	4.6574281E-005
6.018879847950302E+001	9.4273603E-003	-2.4426783E+001	0	-1.0611126E-004
6.018919847949292E+001	9.5037092E-003	-2.4358021E+001	0	-2.9768486E-005
6.018959847948281E+001	9.3700988E-003	-2.4280981E+001	0	8.4028979E-006
6.018999847947271E+001	9.4082728E-003	-2.4212215E+001	0	-1.0611126E-004
6.019039847946260E+001	9.5418841E-003	-2.4144093E+001	0	1.2291704E-004
6.019079847945250E+001	9.3700988E-003	-2.4084879E+001	0	-1.0682794E-005
6.019119847944239E+001	9.4846217E-003	-2.4011023E+001	0	-2.9768486E-005
6.019159847943229E+001	9.4273603E-003	-2.3937803E+001	0	-8.7025561E-005
6.019199847942218E+001	9.3700988E-003	-2.3871588E+001	0	4.6574281E-005
6.019239847941208E+001	9.4082728E-003	-2.3814285E+001	0	6.5659973E-005
6.019279847940197E+001	9.3128365E-003	-2.3742975E+001	0	-4.8854177E-005
6.019319847939187E+001	9.3891853E-003	-2.3679945E+001	0	8.4028979E-006
6.019359847938176E+001	9.4655352E-003	-2.3613728E+001	0	1.4200274E-004
6.019399847937166E+001	9.3319239E-003	-2.3551331E+001	0	-2.9768486E-005
6.019439847936155E+001	9.3700988E-003	-2.3487026E+001	0	2.7488590E-005
6.019479847935145E+001	9.4082728E-003	-2.3421446E+001	0	1.8017412E-004
6.019519847934134E+001	9.4464477E-003	-2.3355230E+001	0	2.7488590E-005
6.019559847933124E+001	9.4655352E-003	-2.3299200E+001	0	-4.8854177E-005
6.019599847932113E+001	9.4082728E-003	-2.3232347E+001	0	8.4028979E-006
6.019639847931103E+001	9.4273603E-003	-2.3168680E+001	0	-4.8854177E-005
6.019679847930092E+001	9.4655352E-003	-2.3109467E+001	0	1.2291704E-004
6.019719847929082E+001	9.3891853E-003	-2.3056622E+001	0	-4.8854177E-005
6.019759847928071E+001	9.4273603E-003	-2.2985947E+001	0	-1.0682794E-005
6.019799847927061E+001	9.4464477E-003	-2.2925463E+001	0	4.6574281E-005
6.019839847926050E+001	9.3700988E-003	-2.2868797E+001	0	-4.8854177E-005
6.019879847925040E+001	9.5227966E-003	-2.2808949E+001	0	-6.7939873E-005
6.019919847924029E+001	9.5227966E-003	-2.2748461E+001	0	6.5659973E-005
6.019959847923019E+001	9.4082728E-003	-2.2689886E+001	0	-2.9768486E-005
6.019999847922008E+001	9.3319239E-003	-2.2635132E+001	0	-1.0682794E-005
6.020039847920998E+001	9.3510114E-003	-2.2575918E+001	0	-2.9768486E-005
6.020079847919988E+001	9.5227966E-003	-2.2519253E+001	0	1.0383136E-004
6.020119847918977E+001	9.3700988E-003	-2.2463860E+001	0	6.5659973E-005
6.020159847917967E+001	9.5609706E-003	-2.2401464E+001	0	8.4028979E-006
6.020199847916956E+001	9.4464477E-003	-2.2349257E+001	0	-6.7939873E-005
6.020239847915946E+001	9.4273603E-003	-2.2290680E+001	0	1.2291704E-004
6.020279847914935E+001	9.3319239E-003	-2.2235287E+001	0	-4.8854177E-005
6.020319847913925E+001	9.4273603E-003	-2.2184990E+001	0	8.4745661E-005
6.020359847912914E+001	9.4464477E-003	-2.2118773E+001	0	-1.0682794E-005
6.020419847911398E+001	9.3700988E-003	-2.2032183E+001	0	-2.9768486E-005
6.020479847909883E+001	9.3510114E-003	-2.1960875E+001	0	1.0383136E-004
6.020519847908872E+001	9.5418841E-003	-2.1899752E+001	0	2.7488590E-005
6.020579847907356E+001	9.3891853E-003	-2.1825258E+001	0	-1.0682794E-005
6.020619847906346E+001	9.4273603E-003	-2.1771776E+001	0	1.4200274E-004
6.020659847905335E+001	9.3319239E-003	-2.1721478E+001	0	2.7488590E-005
6.020699847904325E+001	9.5037092E-003	-2.1667994E+001	0	-4.8854177E-005
6.020739847903315E+001	9.3700988E-003	-2.1604326E+001	0	-1.0682794E-005
6.020799847901799E+001	9.4273603E-003	-2.1534927E+001	0	8.4028979E-006
6.020839847900788E+001	9.4655352E-003	-2.1476351E+001	0	6.5659973E-005
6.020899847899273E+001	9.5037092E-003	-2.1399948E+001	0	2.7488590E-005
6.020959847897757E+001	9.4273603E-003	-2.1326090E+001	0	-4.8854177E-005
6.021019847896241E+001	9.4082728E-003	-2.1260513E+001	0	-8.7025561E-005
6.021059847895231E+001	9.4273603E-003	-2.1197479E+001	0	4.6574281E-005
6.021119847893715E+001	9.4846217E-003	-2.1124897E+001	0	-4.8854177E-005
6.021179847892199E+001	9.3891853E-003	-2.1059319E+001	0	-1.0682794E-005
6.021219847891189E+001	9.5418841E-003	-2.1005835E+001	0	8.4028979E-006
6.021279847889673E+001	9.5037092E-003	-2.0935162E+001	0	-1.0682794E-005
6.021319847888662E+001	9.4464477E-003	-2.0879770E+001	0	1.8017412E-004
6.021379847887147E+001	9.3700988E-003	-2.0811007E+001	0	1.2291704E-004
6.021439847885631E+001	9.4273603E-003	-2.0744152E+001	0	4.6574281E-005
6.021499847884115E+001	9.4082728E-003	-2.0662020E+001	0	8.4745661E-005
