time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	-2.0189278E-002	-1.1241299E+000	0	-4.8618729E-004
1.860205953007244E+003	-3.3578981E-002	-1.1309842E+000	0	-2.4567312E-004
1.860206153007239E+003	-3.7970182E-002	-1.1310096E+000	0	-1.0682794E-005
1.860206353007234E+003	-3.9955255E-002	-1.1309651E+000	0	4.6574281E-005
1.860206553007229E+003	-4.1596755E-002	-1.1310160E+000	0	1.2291704E-004
1.860206753007224E+003	-4.2990122E-002	-1.1310223E+000	0	4.6574281E-005
1.860206953007219E+003	-4.4230793E-002	-1.1309968E+000	0	1.9925981E-004
1.860207153007213E+003	-4.5261502E-002	-1.1310223E+000	0	1.8017412E-004
1.860207553007203E+003	-4.7208402E-002	-1.1309714E+000	0	8.4028979E-006
1.860207753007198E+003	-4.8220024E-002	-1.1309524E+000	0	4.6574281E-005
1.860208153007188E+003	-4.9842440E-002	-1.1309905E+000	0	-1.0682794E-005
1.860208553007178E+003	-5.1503029E-002	-1.1310542E+000	0	2.7488590E-005
1.860208953007168E+003	-5.2934572E-002	-1.1309842E+000	0	-2.9768486E-005
1.860209353007158E+003	-5.4595161E-002	-1.1310415E+000	0	4.6574281E-005
1.860209753007148E+003	-5.5950355E-002	-1.1309968E+000	0	-1.0611126E-004
1.860210153007138E+003	-5.7248287E-002	-1.1309714E+000	0	4.6574281E-005
1.860210553007128E+003	-5.8718003E-002	-1.1309905E+000	0	8.4028979E-006
1.860210953007118E+003	-6.0015935E-002	-1.1310160E+000	0	-8.7025561E-005
1.860211353007107E+003	-6.1390214E-002	-1.1310351E+000	0	1.0383136E-004
1.860211753007097E+003	-6.2592708E-002	-1.1310160E+000	0	6.5659973E-005
1.860212153007087E+003	-6.3814290E-002	-1.1309396E+000	0	6.5659973E-005
1.860212553007077E+003	-6.5093137E-002	-1.1309842E+000	0	1.0383136E-004
1.860212953007067E+003	-6.6123851E-002	-1.1310033E+000	0	6.5659973E-005
1.860213353007057E+003	-6.7364514E-002	-1.1310160E+000	0	2.7488590E-005
1.860213753007047E+003	-6.8490662E-002	-1.1310415E+000	0	6.5659973E-005
1.860214153007037E+003	-6.9731332E-002	-1.1310351E+000	0	1.8017412E-004
1.860214553007027E+003	-7.0857480E-002	-1.1310478E+000	0	8.4745661E-005
1.860214953007016E+003	-7.1907282E-002	-1.1310096E+000	0	-2.9768486E-005
1.860215353007006E+003	-7.2976165E-002	-1.1310732E+000	0	6.5659973E-005
1.860215753006996E+003	-7.4025959E-002	-1.1310288E+000	0	-6.7939873E-005
1.860216153006986E+003	-7.5190283E-002	-1.1309968E+000	0	8.4745661E-005
1.860216553006976E+003	-7.6297343E-002	-1.1310606E+000	0	1.2291704E-004
1.860217153006961E+003	-7.7977017E-002	-1.1309968E+000	0	-1.0682794E-005
1.860217753006946E+003	-7.9370387E-002	-1.1310033E+000	0	-2.9768486E-005
1.860218353006931E+003	-8.0821015E-002	-1.1310096E+000	0	2.7488590E-005
1.860218753006920E+003	-8.1832640E-002	-1.1310860E+000	0	8.4745661E-005
1.860219353006905E+003	-8.3378702E-002	-1.1309651E+000	0	1.0383136E-004
1.860219953006890E+003	-8.4867507E-002	-1.1309842E+000	0	1.4200274E-004
1.860220553006875E+003	-8.6260878E-002	-1.1310478E+000	0	-4.8854177E-005
1.860221153006860E+003	-8.7673329E-002	-1.1309968E+000	0	1.0383136E-004
1.860221753006845E+003	-8.9104876E-002	-1.1309714E+000	0	2.7488590E-005
1.860222353006830E+003	-9.0498246E-002	-1.1310478E+000	0	4.6574281E-005
1.860222953006814E+003	-9.1853440E-002	-1.1310351E+000	0	8.4028979E-006
1.860223553006799E+003	-9.3113191E-002	-1.1310351E+000	0	1.2291704E-004
1.860224153006784E+003	-9.4487473E-002	-1.1310669E+000	0	1.0383136E-004
1.860224553006774E+003	-9.5537275E-002	-1.1309714E+000	0	1.0383136E-004
1.860225153006759E+003	-9.6644334E-002	-1.1310223E+000	0	-4.8854177E-005
1.860225753006744E+003	-9.8037697E-002	-1.1309842E+000	0	2.7488590E-005
1.860226353006728E+003	-9.9297456E-002	-1.1310478E+000	0	8.4028979E-006
1.860226953006713E+003	-1.0065265E-001	-1.1310160E+000	0	1.9925981E-004
1.860227553006698E+003	-1.0177880E-001	-1.1309460E+000	0	8.4028979E-006
1.860228153006683E+003	-1.0298129E-001	-1.1310223E+000	0	1.4200274E-004
1.860228753006668E+003	-1.0426014E-001	-1.1309524E+000	0	8.4028979E-006
1.860229353006653E+003	-1.0553898E-001	-1.1310160E+000	0	8.4028979E-006
1.860229953006638E+003	-1.0668422E-001	-1.1309587E+000	0	1.4200274E-004
1.860230553006622E+003	-1.0788671E-001	-1.1310288E+000	0	2.7488590E-005
1.860231153006607E+003	-1.0905103E-001	-1.1309714E+000	0	1.6108842E-004
1.860231753006592E+003	-1.1015809E-001	-1.1310351E+000	0	-1.0682794E-005
1.860232353006577E+003	-1.1132241E-001	-1.1310096E+000	0	2.7488590E-005
1.860232953006562E+003	-1.1244856E-001	-1.1309905E+000	0	8.4745661E-005
1.860233553006547E+003	-1.1357471E-001	-1.1310415E+000	0	8.4745661E-005
1.860234153006531E+003	-1.1460542E-001	-1.1310223E+000	0	8.4745661E-005
1.860234753006516E+003	-1.1588426E-001	-1.1309842E+000	0	1.4200274E-004
1.860235553006496E+003	-1.1722037E-001	-1.1310415E+000	0	4.6574281E-005
1.860236153006481E+003	-1.1830834E-001	-1.1309842E+000	0	-1.0682794E-005
1.860236753006466E+003	-1.1947266E-001	-1.1310223E+000	0	8.4745661E-005
1.860237553006446E+003	-1.2071333E-001	-1.1310415E+000	0	-6.7939873E-005
1.860238153006430E+003	-1.2180130E-001	-1.1309905E+000	0	-2.9768486E-005
1.860238753006415E+003	-1.2281293E-001	-1.1310732E+000	0	6.5659973E-005
1.860239353006400E+003	-1.2395816E-001	-1.1310223E+000	0	8.4028979E-006
1.860240153006380E+003	-1.2517974E-001	-1.1310033E+000	0	2.7488590E-005
1.860240953006360E+003	-1.2651585E-001	-1.1310478E+000	0	6.5659973E-005
1.860241753006339E+003	-1.2787104E-001	-1.1310223E+000	0	-1.0682794E-005
