time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.8969133E+000	-2.5021279E-002	0	-6.3697330E-004
6.017319847989711E+001	9.2435181E-003	-3.2661327E+001	0	-2.6759042E-005
6.017359847988700E+001	9.3389684E-003	-3.2583019E+001	0	-6.4934356E-005
6.017399847987690E+001	9.2435181E-003	-3.2493252E+001	0	1.1416267E-005
6.017439847986680E+001	9.3580587E-003	-3.2413677E+001	0	6.8679226E-005
6.017479847985669E+001	9.2816977E-003	-3.2327732E+001	0	-1.2219732E-004
6.017519847984659E+001	9.1671571E-003	-3.2250698E+001	0	-1.0310966E-004
6.017559847983648E+001	9.3389684E-003	-3.2172390E+001	0	-8.4022009E-005
6.017599847982638E+001	9.3580587E-003	-3.2085804E+001	0	-7.6713877E-006
6.017639847981627E+001	9.3580587E-003	-3.2000496E+001	0	-1.0310966E-004
6.017679847980617E+001	9.2816977E-003	-3.1925373E+001	0	3.0503921E-005
6.017719847979606E+001	9.3007879E-003	-3.1845156E+001	0	-2.6759042E-005
6.017759847978596E+001	9.2816977E-003	-3.1770668E+001	0	6.8679226E-005
6.017799847977585E+001	9.3198782E-003	-3.1693003E+001	0	-1.0310966E-004
6.017839847976575E+001	9.3007879E-003	-3.1615334E+001	0	6.8679226E-005
6.017879847975564E+001	9.2244279E-003	-3.1538298E+001	0	-4.5846697E-005
6.017919847974554E+001	9.2053376E-003	-3.1458721E+001	0	3.0503921E-005
6.017959847973543E+001	9.4153285E-003	-3.1378502E+001	0	1.0685454E-004
6.017999847972533E+001	9.1862474E-003	-3.1308472E+001	0	6.8679226E-005
6.018039847971522E+001	9.2435181E-003	-3.1229528E+001	0	6.8679226E-005
6.018079847970512E+001	9.2435181E-003	-3.1158226E+001	0	6.8679226E-005
6.018119847969501E+001	9.3198782E-003	-3.1080557E+001	0	-7.6713877E-006
6.018159847968491E+001	9.2816977E-003	-3.1007980E+001	0	-4.5846697E-005
6.018199847967480E+001	9.3198782E-003	-3.0935404E+001	0	-6.4934356E-005
6.018239847966470E+001	9.3389684E-003	-3.0860281E+001	0	3.0503921E-005
6.018279847965459E+001	9.1862474E-003	-3.0788340E+001	0	-7.6713877E-006
6.018319847964449E+001	9.3198782E-003	-3.0724039E+001	0	6.8679226E-005
6.018359847963438E+001	9.3198782E-003	-3.0646370E+001	0	1.2594218E-004
6.018399847962428E+001	9.3198782E-003	-3.0571886E+001	0	-2.6759042E-005
6.018439847961417E+001	9.3580587E-003	-3.0499945E+001	0	8.7766879E-005
6.018479847960407E+001	9.3007879E-003	-3.0423548E+001	0	4.9591574E-005
6.018519847959396E+001	9.3962392E-003	-3.0357338E+001	0	3.0503921E-005
6.018559847958386E+001	9.3389684E-003	-3.0290489E+001	0	-2.6759042E-005
6.018599847957375E+001	9.3198782E-003	-3.0217913E+001	0	1.1416267E-005
6.018639847956365E+001	9.2626074E-003	-3.0144701E+001	0	1.1416267E-005
6.018679847955354E+001	9.1289766E-003	-3.0077852E+001	0	4.9591574E-005
6.018719847954344E+001	9.3007879E-003	-3.0009733E+001	0	-7.6713877E-006
6.018759847953334E+001	9.3198782E-003	-2.9950523E+001	0	-7.6713877E-006
6.018799847952323E+001	9.3198782E-003	-2.9874765E+001	0	1.4502984E-004
6.018839847951313E+001	9.2626074E-003	-2.9802824E+001	0	4.9591574E-005
6.018879847950302E+001	9.2816977E-003	-2.9744253E+001	0	1.1416267E-005
6.018919847949292E+001	9.3198782E-003	-2.9669769E+001	0	1.1416267E-005
6.018959847948281E+001	9.3198782E-003	-2.9611198E+001	0	3.0503921E-005
6.018999847947271E+001	9.3198782E-003	-2.9541168E+001	0	-2.6759042E-005
6.019039847946260E+001	9.1862474E-003	-2.9476231E+001	0	3.0503921E-005
6.019079847945250E+001	9.3198782E-003	-2.9404289E+001	0	4.9591574E-005
6.019119847944239E+001	9.2626074E-003	-2.9348902E+001	0	1.0685454E-004
6.019159847943229E+001	9.2816977E-003	-2.9283331E+001	0	4.9591574E-005
6.019199847942218E+001	9.2816977E-003	-2.9215847E+001	0	2.0229281E-004
6.019239847941208E+001	9.2244279E-003	-2.9156641E+001	0	-4.5846697E-005
6.019279847940197E+001	9.3198782E-003	-2.9089792E+001	0	-7.6713877E-006
6.019319847939187E+001	9.3007879E-003	-2.9033133E+001	0	3.0503921E-005
6.019359847938176E+001	9.2816977E-003	-2.8962463E+001	0	4.9591574E-005
6.019399847937166E+001	9.3007879E-003	-2.8900711E+001	0	6.8679226E-005
6.019439847936155E+001	9.3389684E-003	-2.8834501E+001	0	1.1416267E-005
6.019479847935145E+001	9.4153285E-003	-2.8772110E+001	0	1.1416267E-005
6.019519847934134E+001	9.2435181E-003	-2.8717358E+001	0	1.1416267E-005
6.019559847933124E+001	9.2816977E-003	-2.8652424E+001	0	3.0503921E-005
6.019599847932113E+001	9.2816977E-003	-2.8591307E+001	0	8.7766879E-005
6.019639847931103E+001	9.3198782E-003	-2.8528278E+001	0	-6.4934356E-005
6.019679847930092E+001	9.2435181E-003	-2.8474165E+001	0	-6.4934356E-005
