time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	-1.6987374E-002	-1.1240232E+000	0	-6.3773489E-004
1.860205953007244E+003	-2.8213952E-002	-1.1309094E+000	0	-7.1791554E-004
1.860206153007239E+003	-3.2174096E-002	-1.1310558E+000	0	8.1944032E-005
1.860206353007234E+003	-3.3644173E-002	-1.1309794E+000	0	-5.1683910E-005
1.860206553007229E+003	-3.4770597E-002	-1.1308585E+000	0	-3.2594202E-005
1.860206953007219E+003	-3.6393408E-002	-1.1309667E+000	0	4.3764623E-005
1.860207353007208E+003	-3.7920758E-002	-1.1309922E+000	0	-3.2594202E-005
1.860207753007198E+003	-3.9238099E-002	-1.1309857E+000	0	-7.0773618E-005
1.860208153007188E+003	-4.0421795E-002	-1.1308712E+000	0	8.1944032E-005
1.860208553007178E+003	-4.1510034E-002	-1.1308776E+000	0	-1.3504496E-005
1.860208953007168E+003	-4.2636458E-002	-1.1309985E+000	0	5.5852106E-006
1.860209553007153E+003	-4.3972891E-002	-1.1308967E+000	0	4.3764623E-005
1.860209953007143E+003	-4.5118403E-002	-1.1310112E+000	0	1.0103374E-004
1.860210553007128E+003	-4.6397559E-002	-1.1309794E+000	0	-1.3504496E-005
1.860210953007118E+003	-4.7409430E-002	-1.1308395E+000	0	1.0103374E-004
1.860211553007102E+003	-4.8669495E-002	-1.1309413E+000	0	5.5852106E-006
1.860212153007087E+003	-5.0005928E-002	-1.1310048E+000	0	1.0103374E-004
1.860212753007072E+003	-5.1017798E-002	-1.1310048E+000	0	5.5852106E-006
1.860213353007057E+003	-5.2220587E-002	-1.1309731E+000	0	8.1944032E-005
1.860213953007042E+003	-5.3366102E-002	-1.1309158E+000	0	5.5852106E-006
1.860214553007027E+003	-5.4435249E-002	-1.1309285E+000	0	2.4674917E-005
1.860215153007011E+003	-5.5523485E-002	-1.1309476E+000	0	2.4674917E-005
1.860215953006991E+003	-5.6726277E-002	-1.1309857E+000	0	2.4674917E-005
1.860216553006976E+003	-5.7776332E-002	-1.1309603E+000	0	-5.1683910E-005
1.860217153006961E+003	-5.8788199E-002	-1.1309413E+000	0	-1.3504496E-005
1.860217953006941E+003	-5.9895530E-002	-1.1309350E+000	0	2.4674917E-005
1.860218753006920E+003	-6.1155595E-002	-1.1308839E+000	0	2.4674917E-005
1.860219553006900E+003	-6.2339295E-002	-1.1309603E+000	0	1.0103374E-004
1.860220353006880E+003	-6.3408434E-002	-1.1309540E+000	0	1.2012345E-004
1.860221353006855E+003	-6.4706683E-002	-1.1309285E+000	0	-7.0773618E-005
1.860222153006835E+003	-6.5814018E-002	-1.1308649E+000	0	-1.3504496E-005
1.860222953006814E+003	-6.6997714E-002	-1.1309540E+000	0	5.5852106E-006
1.860223953006789E+003	-6.8124138E-002	-1.1309476E+000	0	-1.3504496E-005
1.860224953006764E+003	-6.9326922E-002	-1.1309667E+000	0	4.3764623E-005
1.860225953006739E+003	-7.0510626E-002	-1.1309603E+000	0	4.3764623E-005
1.860226953006713E+003	-7.1694322E-002	-1.1310176E+000	0	-3.2594202E-005
1.860227953006688E+003	-7.2820745E-002	-1.1309350E+000	0	2.4674917E-005
1.860228953006663E+003	-7.3985346E-002	-1.1309667E+000	0	1.7739256E-004
1.860230153006632E+003	-7.5169049E-002	-1.1309794E+000	0	2.4674917E-005
1.860231353006602E+003	-7.6333649E-002	-1.1309540E+000	0	6.2854328E-005
1.860232353006577E+003	-7.7517346E-002	-1.1309222E+000	0	-1.2804274E-004
1.860233553006547E+003	-7.8662865E-002	-1.1309603E+000	0	6.2854328E-005
1.860234553006521E+003	-7.9693824E-002	-1.1309667E+000	0	2.4674917E-005
1.860235953006486E+003	-8.0877520E-002	-1.1309285E+000	0	4.3764623E-005
1.860236953006461E+003	-8.1889391E-002	-1.1309603E+000	0	1.2012345E-004
1.860238153006430E+003	-8.2920358E-002	-1.1309922E+000	0	5.5852106E-006
1.860239353006400E+003	-8.3970413E-002	-1.1309413E+000	0	-5.1683910E-005
1.860240553006370E+003	-8.5077740E-002	-1.1309031E+000	0	8.1944032E-005
1.860241753006339E+003	-8.6318716E-002	-1.1309731E+000	0	-1.2804274E-004
1.860243153006304E+003	-8.7464228E-002	-1.1309603E+000	0	-1.3504496E-005
1.860244353006274E+003	-8.8514283E-002	-1.1309540E+000	0	2.4674917E-005
1.860245753006238E+003	-8.9621611E-002	-1.1309031E+000	0	1.0103374E-004
1.860247153006203E+003	-9.0728939E-002	-1.1309985E+000	0	4.3764623E-005
1.860248353006173E+003	-9.1798089E-002	-1.1309094E+000	0	8.1944032E-005
1.860249753006137E+003	-9.2809960E-002	-1.1310240E+000	0	1.3921315E-004
1.860251153006102E+003	-9.4089113E-002	-1.1308839E+000	0	4.3764623E-005
1.860252553006067E+003	-9.5100984E-002	-1.1309285E+000	0	5.5852106E-006
1.860253953006031E+003	-9.6265592E-002	-1.1309985E+000	0	-1.3504496E-005
1.860255553005991E+003	-9.7411104E-002	-1.1309222E+000	0	-3.2594202E-005
1.860257153005950E+003	-9.8613895E-002	-1.1309222E+000	0	2.4674917E-005
1.860258553005915E+003	-9.9778503E-002	-1.1309922E+000	0	1.5830285E-004
1.860260153005875E+003	-1.0088583E-001	-1.1309222E+000	0	1.2012345E-004
1.860261753005834E+003	-1.0191679E-001	-1.1309413E+000	0	4.3764623E-005
1.860263153005799E+003	-1.0294776E-001	-1.1309731E+000	0	8.1944032E-005
1.860264353005769E+003	-1.0399781E-001	-1.1309794E+000	0	2.4674917E-005
1.860266153005723E+003	-1.0504787E-001	-1.1309794E+000	0	5.5852106E-006
1.860267753005683E+003	-1.0609791E-001	-1.1309476E+000	0	2.4674917E-005
1.860269353005642E+003	-1.0728162E-001	-1.1309794E+000	0	-7.0773618E-005
1.860270953005602E+003	-1.0836986E-001	-1.1309731E+000	0	1.0103374E-004
1.860272753005556E+003	-1.0949627E-001	-1.1309922E+000	0	6.2854328E-005
1.860274353005516E+003	-1.1052724E-001	-1.1309794E+000	0	5.5852106E-006
1.860275753005481E+003	-1.1153911E-001	-1.1309731E+000	0	-3.2594202E-005
1.860277553005435E+003	-1.1260825E-001	-1.1309857E+000	0	1.0103374E-004
1.860279353005390E+003	-1.1371558E-001	-1.1310176E+000	0	6.2854328E-005
1.860281153005344E+003	-1.1482292E-001	-1.1310048E+000	0	6.2854328E-005
1.860282953005299E+003	-1.1604480E-001	-1.1309158E+000	0	4.3764623E-005
1.860285153005243E+003	-1.1719031E-001	-1.1309603E+000	0	1.2012345E-004
1.860286953005198E+003	-1.1825945E-001	-1.1309413E+000	0	8.1944032E-005
1.860288953005147E+003	-1.1942406E-001	-1.1309413E+000	0	2.4674917E-005
1.860290953005097E+003	-1.2049321E-001	-1.1308776E+000	0	8.1944032E-005
1.860292753005051E+003	-1.2156235E-001	-1.1309794E+000	0	2.4674917E-005
1.860294953004995E+003	-1.2266968E-001	-1.1309667E+000	0	-3.2594202E-005
1.860296953004945E+003	-1.2373883E-001	-1.1310176E+000	0	4.3764623E-005
1.860298953004894E+003	-1.2482706E-001	-1.1309794E+000	0	1.2012345E-004
1.860301153004839E+003	-1.2595348E-001	-1.1309794E+000	0	-3.2594202E-005
1.860303553004778E+003	-1.2706082E-001	-1.1309794E+000	0	1.5830285E-004
1.860305553004728E+003	-1.2820633E-001	-1.1309350E+000	0	2.4674917E-005
1.860308153004662E+003	-1.2939003E-001	-1.1310176E+000	0	5.5852106E-006
1.860310553004601E+003	-1.3040189E-001	-1.1309350E+000	0	1.0103374E-004
1.860313153004536E+003	-1.3170014E-001	-1.1309222E+000	0	8.1944032E-005
1.860315353004480E+003	-1.3275020E-001	-1.1309603E+000	0	1.0103374E-004
1.860317953004414E+003	-1.3376208E-001	-1.1308967E+000	0	-3.2594202E-005
1.860320353004354E+003	-1.3485031E-001	-1.1309540E+000	0	8.1944032E-005
1.860322953004288E+003	-1.3590036E-001	-1.1309413E+000	0	8.1944032E-005
1.860325553004222E+003	-1.3693133E-001	-1.1309603E+000	0	1.3921315E-004
1.860328353004152E+003	-1.3811502E-001	-1.1309794E+000	0	4.3764623E-005
1.860331153004081E+003	-1.3914599E-001	-1.1309350E+000	0	-3.2594202E-005
1.860333953004010E+003	-1.4019604E-001	-1.1309794E+000	0	-1.3504496E-005
1.860337353003924E+003	-1.4141792E-001	-1.1309922E+000	0	4.3764623E-005
1.860340953003833E+003	-1.4256343E-001	-1.1309731E+000	0	2.4674917E-005
1.860344353003748E+003	-1.4361349E-001	-1.1309731E+000	0	-8.9863323E-005
1.860347953003657E+003	-1.4470173E-001	-1.1309476E+000	0	5.5852106E-006
1.860351553003566E+003	-1.4573269E-001	-1.1309222E+000	0	-1.3504496E-005
1.860355553003465E+003	-1.4680184E-001	-1.1310048E+000	0	5.5852106E-006
1.860360753003333E+003	-1.4781371E-001	-1.1309285E+000	0	6.2854328E-005
1.860365553003212E+003	-1.4890194E-001	-1.1309222E+000	0	2.4674917E-005
1.860373153003020E+003	-1.4991382E-001	-1.1309731E+000	0	2.4674917E-005
1.860386153002692E+003	-1.5102115E-001	-1.1309794E+000	0	4.3764623E-005
1.860412553002025E+003	-1.4991382E-001	-1.1308776E+000	0	6.2854328E-005
1.860422153001782E+003	-1.4890194E-001	-1.1309603E+000	0	-1.0895303E-004
1.860432353001524E+003	-1.4783280E-001	-1.1309985E+000	0	1.7739256E-004
1.860441953001282E+003	-1.4676365E-001	-1.1309667E+000	0	-5.1683910E-005
1.860450353001070E+003	-1.4573269E-001	-1.1309094E+000	0	-8.9863323E-005
1.860458353000868E+003	-1.4470173E-001	-1.1309731E+000	0	5.5852106E-006
1.860467353000640E+003	-1.4367077E-001	-1.1309922E+000	0	5.5852106E-006
1.860475553000433E+003	-1.4263980E-001	-1.1309476E+000	0	4.3764623E-005
1.860484953000196E+003	-1.4160883E-001	-1.1309031E+000	0	-1.0895303E-004
1.860493952999968E+003	-1.4059697E-001	-1.1309540E+000	0	4.3764623E-005
1.860503552999726E+003	-1.3954692E-001	-1.1309540E+000	0	-1.3504496E-005
1.860514152999458E+003	-1.3849686E-001	-1.1309731E+000	0	8.1944032E-005
1.860525152999180E+003	-1.3738953E-001	-1.1309222E+000	0	6.2854328E-005
1.860537152998877E+003	-1.3633947E-001	-1.1309285E+000	0	4.3764623E-005
1.860549552998564E+003	-1.3528943E-001	-1.1309731E+000	0	6.2854328E-005
1.860562752998230E+003	-1.3416301E-001	-1.1309031E+000	0	-7.0773618E-005
1.860576352997887E+003	-1.3315113E-001	-1.1309476E+000	0	5.5852106E-006
1.860590952997518E+003	-1.3204379E-001	-1.1309285E+000	0	-5.1683910E-005
1.860606352997129E+003	-1.3101284E-001	-1.1309285E+000	0	-1.3504496E-005
1.860622552996720E+003	-1.2996279E-001	-1.1309222E+000	0	1.2012345E-004
1.860639352996295E+003	-1.2895091E-001	-1.1309794E+000	0	-7.0773618E-005
1.860655152995896E+003	-1.2793905E-001	-1.1309285E+000	0	6.2854328E-005
1.860674752995401E+003	-1.2681262E-001	-1.1310303E+000	0	2.4674917E-005
1.860695552994875E+003	-1.2578166E-001	-1.1309350E+000	0	5.5852106E-006
1.860716152994355E+003	-1.2473161E-001	-1.1309222E+000	0	2.4674917E-005
1.860736352993845E+003	-1.2371974E-001	-1.1309922E+000	0	-1.8531186E-004
1.860761352993213E+003	-1.2265059E-001	-1.1309667E+000	0	-5.1683910E-005
1.860784352992632E+003	-1.2163872E-001	-1.1310431E+000	0	1.5830285E-004
1.860810352991975E+003	-1.2060776E-001	-1.1309857E+000	0	8.1944032E-005
1.860839552991238E+003	-1.1957680E-001	-1.1309857E+000	0	-2.0440157E-004
1.860869752990475E+003	-1.1856493E-001	-1.1309731E+000	0	1.0103374E-004
1.860899152989732E+003	-1.1755306E-001	-1.1309413E+000	0	6.2854328E-005
1.860932952988878E+003	-1.1654118E-001	-1.1308839E+000	0	8.1944032E-005
1.860974152987837E+003	-1.1549113E-001	-1.1310048E+000	0	1.2012345E-004
1.861013352986847E+003	-1.1447926E-001	-1.1310303E+000	0	-3.2594202E-005
1.861058352985710E+003	-1.1346739E-001	-1.1309476E+000	0	-5.1683910E-005
1.861109152984427E+003	-1.1245552E-001	-1.1309922E+000	0	1.3921315E-004
1.861163952983043E+003	-1.1140546E-001	-1.1310495E+000	0	-5.1683910E-005
1.861236952981199E+003	-1.1033632E-001	-1.1309222E+000	0	-5.1683910E-005
1.861321552979061E+003	-1.0932445E-001	-1.1310176E+000	0	1.0103374E-004
1.861412952976752E+003	-1.0831258E-001	-1.1309540E+000	0	-7.0773618E-005
1.861525152973918E+003	-1.0730071E-001	-1.1309794E+000	0	2.4674917E-005
1.861673552970169E+003	-1.0628884E-001	-1.1309985E+000	0	1.0103374E-004
1.861901952964399E+003	-1.0527696E-001	-1.1309540E+000	0	-8.9863323E-005
1.862196752956952E+003	-1.0426509E-001	-1.1309285E+000	0	-2.0440157E-004
1.862783552942128E+003	-1.0323413E-001	-1.1309350E+000	0	-8.9863323E-005
1.868750552791389E+003	-1.0424601E-001	-1.1309350E+000	0	-1.3504496E-005
1.872256352702825E+003	-1.0525788E-001	-1.1309794E+000	0	8.1944032E-005
1.878736752539116E+003	-1.0630793E-001	-1.1309603E+000	0	2.4674917E-005
1.888736752286495E+003	-1.0625065E-001	-1.1309794E+000	0	-1.3504496E-005
1.896205552097817E+003	-1.0584972E-001	-1.1309985E+000	0	2.4674917E-005
