time/s	Ewe/V	I/mA	error	
2.666157932647038E+002	-5.2026212E-002	-1.9448858E+000	0
2.666159932646988E+002	-1.0004890E-001	-1.9591634E+000	0
2.666161932646937E+002	-1.2068768E-001	-1.9594181E+000	0
2.666163932646887E+002	-1.3152954E-001	-1.9595071E+000	0
2.666165932646836E+002	-1.3937463E-001	-1.9594815E+000	0
2.666167932646786E+002	-1.4534910E-001	-1.9595326E+000	0
2.666169932646735E+002	-1.5057915E-001	-1.9595453E+000	0
2.666171932646685E+002	-1.5525566E-001	-1.9595708E+000	0
2.666173932646634E+002	-1.5964586E-001	-1.9595517E+000	0
2.666175932646584E+002	-1.6357794E-001	-1.9595643E+000	0
2.666177932646533E+002	-1.6749094E-001	-1.9595326E+000	0
2.666179932646482E+002	-1.7107944E-001	-1.9595389E+000	0
2.666181932646432E+002	-1.7451525E-001	-1.9595643E+000	0
2.666183932646381E+002	-1.7785561E-001	-1.9595262E+000	0
2.666185932646331E+002	-1.8129142E-001	-1.9596025E+000	0
2.666187932646280E+002	-1.8415459E-001	-1.9595898E+000	0
2.666189932646230E+002	-1.8718953E-001	-1.9595197E+000	0
2.666191932646179E+002	-1.8999544E-001	-1.9595197E+000	0
2.666193932646129E+002	-1.9278227E-001	-1.9595389E+000	0
2.666195932646078E+002	-1.9545455E-001	-1.9595389E+000	0
2.666197932646028E+002	-1.9816501E-001	-1.9595643E+000	0
2.666199932645977E+002	-2.0091365E-001	-1.9596152E+000	0
2.666201932645927E+002	-2.0324238E-001	-1.9595834E+000	0
2.666203932645876E+002	-2.0576195E-001	-1.9596025E+000	0
2.666205932645826E+002	-2.0793797E-001	-1.9595389E+000	0
2.666207932645775E+002	-2.1024759E-001	-1.9596025E+000	0
2.666209932645725E+002	-2.1257630E-001	-1.9596217E+000	0
2.666211932645674E+002	-2.1469505E-001	-1.9595580E+000	0
2.666213932645624E+002	-2.1694741E-001	-1.9595071E+000	0
2.666215932645573E+002	-2.1904705E-001	-1.9595771E+000	0
2.666217932645523E+002	-2.2112763E-001	-1.9596025E+000	0
2.666219932645472E+002	-2.2303641E-001	-1.9595834E+000	0
2.666221932645421E+002	-2.2515516E-001	-1.9595898E+000	0
2.666223932645371E+002	-2.2706394E-001	-1.9595453E+000	0
2.666225932645320E+002	-2.2904906E-001	-1.9595580E+000	0
2.666227932645270E+002	-2.3080514E-001	-1.9595389E+000	0
2.666229932645219E+002	-2.3280936E-001	-1.9595771E+000	0
2.666231932645169E+002	-2.3462270E-001	-1.9595898E+000	0
