time/s	Ewe/V	I/mA	error	
4.519267885833542E+002	-4.7159269E-002	-1.9443122E+000	0
4.519269885833492E+002	-8.0034614E-002	-1.9594816E+000	0
4.519271885833441E+002	-8.9113481E-002	-1.9595071E+000	0
4.519273885833391E+002	-9.4019182E-002	-1.9596152E+000	0
4.519275885833340E+002	-9.7894102E-002	-1.9596088E+000	0
4.519277885833289E+002	-1.0153997E-001	-1.9596471E+000	0
4.519279885833239E+002	-1.0476590E-001	-1.9596217E+000	0
4.519281885833188E+002	-1.0759097E-001	-1.9596280E+000	0
4.519283885833138E+002	-1.1053057E-001	-1.9596280E+000	0
4.519285885833087E+002	-1.1331746E-001	-1.9596088E+000	0
4.519287885833037E+002	-1.1610435E-001	-1.9596916E+000	0
4.519289885832986E+002	-1.1845221E-001	-1.9595897E+000	0
4.519291885832936E+002	-1.2102914E-001	-1.9596407E+000	0
4.519293885832885E+002	-1.2330064E-001	-1.9596088E+000	0
4.519295885832835E+002	-1.2572485E-001	-1.9595835E+000	0
4.519297885832784E+002	-1.2805364E-001	-1.9596343E+000	0
4.519299885832734E+002	-1.3049693E-001	-1.9595771E+000	0
4.519301885832683E+002	-1.3259664E-001	-1.9596661E+000	0
4.519303885832633E+002	-1.3490634E-001	-1.9596280E+000	0
4.519305885832582E+002	-1.3702513E-001	-1.9596726E+000	0
4.519307885832532E+002	-1.3901033E-001	-1.9596981E+000	0
4.519309885832481E+002	-1.4120547E-001	-1.9596471E+000	0
4.519311885832431E+002	-1.4320976E-001	-1.9596152E+000	0
4.519313885832380E+002	-1.4523311E-001	-1.9596407E+000	0
4.519315885832330E+002	-1.4733282E-001	-1.9596598E+000	0
4.519317885832279E+002	-1.4910804E-001	-1.9596852E+000	0
4.519319885832228E+002	-1.5113139E-001	-1.9596726E+000	0
4.519321885832178E+002	-1.5304023E-001	-1.9596661E+000	0
4.519323885832127E+002	-1.5485361E-001	-1.9596661E+000	0
4.519325885832077E+002	-1.5676245E-001	-1.9596343E+000	0
4.519327885832026E+002	-1.5838495E-001	-1.9596852E+000	0
4.519329885831976E+002	-1.6023652E-001	-1.9596535E+000	0
4.519331885831925E+002	-1.6203082E-001	-1.9596726E+000	0
4.519333885831875E+002	-1.6384421E-001	-1.9596790E+000	0
4.519335885831824E+002	-1.6558124E-001	-1.9596598E+000	0
4.519337885831774E+002	-1.6728011E-001	-1.9596790E+000	0
4.519339885831723E+002	-1.6899805E-001	-1.9595835E+000	0
4.519341885831673E+002	-1.7062056E-001	-1.9596343E+000	0
4.519343885831622E+002	-1.7241485E-001	-1.9596217E+000	0
4.519345885831572E+002	-1.7399919E-001	-1.9596661E+000	0
4.519347885831521E+002	-1.7556444E-001	-1.9597107E+000	0
4.519349885831471E+002	-1.7709149E-001	-1.9596535E+000	0
4.519351885831420E+002	-1.7873310E-001	-1.9596407E+000	0
4.519353885831370E+002	-1.8027924E-001	-1.9596407E+000	0
4.519355885831319E+002	-1.8172996E-001	-1.9596598E+000	0
4.519357885831269E+002	-1.8329519E-001	-1.9596916E+000	0
4.519359885831218E+002	-1.8468864E-001	-1.9596981E+000	0
4.519361885831167E+002	-1.8625389E-001	-1.9596535E+000	0
4.519363885831117E+002	-1.8770459E-001	-1.9596088E+000	0
4.519365885831066E+002	-1.8923166E-001	-1.9596790E+000	0
4.519367885831016E+002	-1.9058692E-001	-1.9597107E+000	0
4.519369885830965E+002	-1.9211400E-001	-1.9596981E+000	0
4.519371885830915E+002	-1.9348836E-001	-1.9596343E+000	0
4.519373885830864E+002	-1.9495815E-001	-1.9596790E+000	0
4.519375885830814E+002	-1.9619890E-001	-1.9596217E+000	0
4.519377885830763E+002	-1.9759235E-001	-1.9596598E+000	0
4.519379885830713E+002	-1.9900487E-001	-1.9596726E+000	0
4.519381885830662E+002	-2.0041741E-001	-1.9596726E+000	0
4.519383885830612E+002	-2.0169632E-001	-1.9596598E+000	0
4.519385885830561E+002	-2.0295615E-001	-1.9596407E+000	0
4.519387885830511E+002	-2.0425417E-001	-1.9596471E+000	0
4.519389885830460E+002	-2.0559034E-001	-1.9596471E+000	0
4.519391885830410E+002	-2.0683108E-001	-1.9596026E+000	0
4.519393885830359E+002	-2.0799547E-001	-1.9596981E+000	0
4.519395885830309E+002	-2.0927438E-001	-1.9596343E+000	0
4.519397885830258E+002	-2.1059148E-001	-1.9596598E+000	0
4.519399885830208E+002	-2.1167952E-001	-1.9596598E+000	0
4.519401885830157E+002	-2.1307296E-001	-1.9596852E+000	0
4.519403885830106E+002	-2.1427552E-001	-1.9596916E+000	0
4.519405885830056E+002	-2.1534447E-001	-1.9596916E+000	0
4.519407885830005E+002	-2.1656612E-001	-1.9596790E+000	0
4.519409885829955E+002	-2.1767324E-001	-1.9596152E+000	0
4.519411885829904E+002	-2.1883763E-001	-1.9596535E+000	0
4.519413885829854E+002	-2.2005928E-001	-1.9596407E+000	0
4.519415885829803E+002	-2.2116640E-001	-1.9596661E+000	0
4.519417885829753E+002	-2.2227353E-001	-1.9596535E+000	0
4.519419885829702E+002	-2.2334246E-001	-1.9596916E+000	0
4.519421885829652E+002	-2.2441141E-001	-1.9596217E+000	0
4.519423885829601E+002	-2.2561398E-001	-1.9596280E+000	0
4.519425885829551E+002	-2.2668293E-001	-1.9595835E+000	0
4.519427885829500E+002	-2.2775187E-001	-1.9596726E+000	0
4.519431885829399E+002	-2.3000430E-001	-1.9596280E+000	0
4.519435885829298E+002	-2.3208492E-001	-1.9596726E+000	0
4.519439885829197E+002	-2.3401284E-001	-1.9596661E+000	0
4.519443885829096E+002	-2.3588349E-001	-1.9596535E+000	0
4.519445885829045E+002	-2.3697153E-001	-1.9596852E+000	0
4.519449885828944E+002	-2.3899488E-001	-1.9596726E+000	0
4.519453885828843E+002	-2.4084646E-001	-1.9596661E+000	0
4.519455885828793E+002	-2.4185812E-001	-1.9596852E+000	0
4.519459885828692E+002	-2.4369061E-001	-1.9596726E+000	0
4.519463885828591E+002	-2.4559943E-001	-1.9596598E+000	0
4.519467885828490E+002	-2.4743192E-001	-1.9596661E+000	0
4.519471885828389E+002	-2.4909259E-001	-1.9596852E+000	0
4.519473885828338E+002	-2.5010428E-001	-1.9596598E+000	0
4.519477885828237E+002	-2.5184131E-001	-1.9596343E+000	0
4.519481885828136E+002	-2.5346380E-001	-1.9596726E+000	0
4.519485885828035E+002	-2.5512451E-001	-1.9596026E+000	0
4.519489885827934E+002	-2.5682336E-001	-1.9596407E+000	0
4.519493885827833E+002	-2.5840768E-001	-1.9596790E+000	0
4.519497885827732E+002	-2.6012564E-001	-1.9596916E+000	0
4.519501885827631E+002	-2.6159543E-001	-1.9596471E+000	0
4.519505885827530E+002	-2.6319885E-001	-1.9596726E+000	0
4.519509885827429E+002	-2.6470682E-001	-1.9596790E+000	0
4.519513885827328E+002	-2.6632935E-001	-1.9596790E+000	0
4.519517885827227E+002	-2.6778004E-001	-1.9596790E+000	0
4.519521885827126E+002	-2.6915440E-001	-1.9597553E+000	0
4.519525885827024E+002	-2.7068147E-001	-1.9596790E+000	0
4.519529885826923E+002	-2.7207491E-001	-1.9596726E+000	0
4.519533885826822E+002	-2.7346838E-001	-1.9596535E+000	0
4.519537885826721E+002	-2.7467093E-001	-1.9596407E+000	0
4.519541885826620E+002	-2.7615982E-001	-1.9596726E+000	0
4.519545885826519E+002	-2.7753419E-001	-1.9596152E+000	0
4.519549885826418E+002	-2.7877492E-001	-1.9596790E+000	0
4.519553885826317E+002	-2.8009200E-001	-1.9596726E+000	0
4.519557885826216E+002	-2.8129458E-001	-1.9597043E+000	0
4.519561885826115E+002	-2.8251621E-001	-1.9596981E+000	0
4.519565885826014E+002	-2.8390968E-001	-1.9596981E+000	0
4.519569885825913E+002	-2.8505498E-001	-1.9596535E+000	0
4.519573885825812E+002	-2.8616208E-001	-1.9596916E+000	0
4.519577885825711E+002	-2.8742191E-001	-1.9596726E+000	0
4.519581885825610E+002	-2.8856722E-001	-1.9597298E+000	0
4.519585885825509E+002	-2.8980795E-001	-1.9597043E+000	0
4.519589885825408E+002	-2.9087690E-001	-1.9596981E+000	0
4.519593885825307E+002	-2.9192677E-001	-1.9596790E+000	0
4.519597885825206E+002	-2.9297662E-001	-1.9596598E+000	0
4.519601885825105E+002	-2.9404557E-001	-1.9596661E+000	0
4.519605885825004E+002	-2.9511452E-001	-1.9596217E+000	0
4.519609885824902E+002	-2.9631707E-001	-1.9596790E+000	0
4.519615885824751E+002	-2.9778686E-001	-1.9596598E+000	0
4.519621885824599E+002	-2.9918033E-001	-1.9596916E+000	0
4.519625885824498E+002	-3.0021107E-001	-1.9596916E+000	0
4.519631885824347E+002	-3.0150908E-001	-1.9596790E+000	0
4.519635885824246E+002	-3.0261621E-001	-1.9596726E+000	0
4.519641885824094E+002	-3.0395240E-001	-1.9596981E+000	0
4.519645885823993E+002	-3.0496407E-001	-1.9596790E+000	0
4.519651885823841E+002	-3.0624300E-001	-1.9596471E+000	0
4.519657885823690E+002	-3.0750281E-001	-1.9596598E+000	0
4.519663885823538E+002	-3.0887717E-001	-1.9596981E+000	0
4.519669885823387E+002	-3.1011793E-001	-1.9596852E+000	0
4.519675885823235E+002	-3.1137773E-001	-1.9596661E+000	0
4.519681885823084E+002	-3.1254214E-001	-1.9597107E+000	0
