time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0612714E+000	-2.5020160E-002	0
6.017319847989711E+001	9.3462700E-003	-1.5422043E+001	0
6.017359847988700E+001	9.4226198E-003	-1.5347549E+001	0
6.017399847987690E+001	9.3462700E-003	-1.5283242E+001	0
6.017439847986680E+001	9.4035324E-003	-1.5204929E+001	0
6.017479847985669E+001	9.3080960E-003	-1.5129163E+001	0
6.017519847984659E+001	9.3653575E-003	-1.5066131E+001	0
6.017559847983648E+001	9.4035324E-003	-1.4993547E+001	0
6.017599847982638E+001	9.3844449E-003	-1.4922874E+001	0
6.017639847981627E+001	9.3271835E-003	-1.4849019E+001	0
6.017679847980617E+001	9.5371427E-003	-1.4777709E+001	0
6.017719847979606E+001	9.4226198E-003	-1.4705763E+001	0
6.017759847978596E+001	9.3844449E-003	-1.4640183E+001	0
6.017799847977585E+001	9.2890086E-003	-1.4572695E+001	0
6.017839847976575E+001	9.4035324E-003	-1.4502022E+001	0
6.017879847975564E+001	9.4798813E-003	-1.4431986E+001	0
6.017919847974554E+001	9.4417064E-003	-1.4365769E+001	0
6.017959847973543E+001	9.3271835E-003	-1.4297007E+001	0
6.017999847972533E+001	9.3844449E-003	-1.4218057E+001	0
6.018039847971522E+001	9.4035324E-003	-1.4156935E+001	0
6.018079847970512E+001	9.2890086E-003	-1.4091991E+001	0
6.018119847969501E+001	9.3462700E-003	-1.4028959E+001	0
6.018159847968491E+001	9.3653575E-003	-1.3965290E+001	0
6.018199847967480E+001	9.3271835E-003	-1.3899712E+001	0
6.018239847966470E+001	9.3653575E-003	-1.3832859E+001	0
6.018279847965459E+001	9.4607938E-003	-1.3762186E+001	0
6.018319847964449E+001	9.4035324E-003	-1.3703609E+001	0
6.018359847963438E+001	9.4035324E-003	-1.3636121E+001	0
6.018399847962428E+001	9.3844449E-003	-1.3574362E+001	0
6.018439847961417E+001	9.3653575E-003	-1.3504326E+001	0
6.018479847960407E+001	9.4607938E-003	-1.3453390E+001	0
6.018519847959396E+001	9.3844449E-003	-1.3386538E+001	0
6.018559847958386E+001	9.3462700E-003	-1.3325415E+001	0
6.018599847957375E+001	9.2890086E-003	-1.3261745E+001	0
6.018639847956365E+001	9.4226198E-003	-1.3194892E+001	0
6.018679847955354E+001	9.4607938E-003	-1.3140137E+001	0
6.018719847954344E+001	9.4417064E-003	-1.3077104E+001	0
6.018759847953334E+001	9.3080960E-003	-1.3022348E+001	0
6.018799847952323E+001	9.5371427E-003	-1.2961864E+001	0
6.018839847951313E+001	9.3844449E-003	-1.2891826E+001	0
6.018879847950302E+001	9.3271835E-003	-1.2836433E+001	0
6.018919847949292E+001	9.4607938E-003	-1.2781679E+001	0
6.018959847948281E+001	9.3271835E-003	-1.2714827E+001	0
6.018999847947271E+001	9.4417064E-003	-1.2654977E+001	0
6.019039847946260E+001	9.4226198E-003	-1.2604041E+001	0
6.019079847945250E+001	9.3462700E-003	-1.2542282E+001	0
6.019139847943734E+001	9.4417064E-003	-1.2455693E+001	0
