time/s	Ewe/V	I/mA	error	
7.220579817592807E+001	4.3475769E-002	-1.9476625E-001	0
7.220599817592301E+001	3.4735076E-002	-1.9597770E-001	0
7.220619817591796E+001	3.1039171E-002	-1.9598342E-001	0
7.220639817591291E+001	2.8881786E-002	-1.9597515E-001	0
7.220659817590786E+001	2.7335342E-002	-1.9598027E-001	0
7.220679817590280E+001	2.6208920E-002	-1.9597834E-001	0
7.220719817589270E+001	2.4509743E-002	-1.9598217E-001	0
7.220759817588259E+001	2.3096941E-002	-1.9597834E-001	0
7.220799817587249E+001	2.1722326E-002	-1.9598278E-001	0
7.220839817586239E+001	2.0462260E-002	-1.9598088E-001	0
7.220879817585228E+001	1.9393114E-002	-1.9598724E-001	0
7.220939817583712E+001	1.7846670E-002	-1.9597706E-001	0
7.220999817582197E+001	1.6376594E-002	-1.9598278E-001	0
7.221059817580681E+001	1.4982886E-002	-1.9598408E-001	0
7.221119817579165E+001	1.3570085E-002	-1.9598342E-001	0
7.221179817577649E+001	1.2290928E-002	-1.9598027E-001	0
7.221239817576134E+001	1.0954496E-002	-1.9598342E-001	0
7.221299817574618E+001	9.7898897E-003	-1.9597897E-001	0
7.221359817573102E+001	8.5489163E-003	-1.9598724E-001	0
7.221419817571586E+001	7.3079430E-003	-1.9598533E-001	0
7.221479817570071E+001	6.2197046E-003	-1.9598152E-001	0
7.221539817568555E+001	4.9023638E-003	-1.9598533E-001	0
7.221599817567039E+001	3.8523094E-003	-1.9597897E-001	0
7.221679817565018E+001	2.4013254E-003	-1.9597897E-001	0
7.221739817563503E+001	1.2558115E-003	-1.9598217E-001	0
7.221819817561482E+001	-2.3345610E-005	-1.9598027E-001	0
7.221879817559966E+001	-1.1688593E-003	-1.9598661E-001	0
7.221959817557945E+001	-2.4480163E-003	-1.9598533E-001	0
7.222039817555924E+001	-3.6889897E-003	-1.9598469E-001	0
7.222099817554408E+001	-4.7772275E-003	-1.9598027E-001	0
7.222179817552387E+001	-6.0182009E-003	-1.9598724E-001	0
7.222239817550872E+001	-7.0491633E-003	-1.9598599E-001	0
7.222319817548851E+001	-8.2901362E-003	-1.9597834E-001	0
7.222399817546830E+001	-9.5311096E-003	-1.9598217E-001	0
7.222459817545314E+001	-1.0542980E-002	-1.9597834E-001	0
7.222539817543293E+001	-1.1593034E-002	-1.9598088E-001	0
7.222619817541272E+001	-1.2738548E-002	-1.9598599E-001	0
7.222699817539251E+001	-1.3960429E-002	-1.9598027E-001	0
7.222779817537230E+001	-1.5086851E-002	-1.9598088E-001	0
7.222859817535209E+001	-1.6327824E-002	-1.9598916E-001	0
7.222939817533188E+001	-1.7358787E-002	-1.9598408E-001	0
7.223019817531167E+001	-1.8580668E-002	-1.9598408E-001	0
7.223119817528641E+001	-1.9707089E-002	-1.9597961E-001	0
