time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.6913755E+000	-2.5024857E-002	0
6.014319848065497E+001	9.4036255E-003	-1.0421810E+001	0
6.014339848064992E+001	9.3081752E-003	-1.0360465E+001	0
6.014359848064487E+001	9.2699947E-003	-1.0299628E+001	0
6.014379848063982E+001	9.3463548E-003	-1.0239364E+001	0
6.014399848063476E+001	9.3081752E-003	-1.0179863E+001	0
6.014419848062971E+001	9.3081752E-003	-1.0120426E+001	0
6.014439848062466E+001	9.2890849E-003	-1.0061945E+001	0
6.014459848061961E+001	9.2318142E-003	-1.0004035E+001	0
6.014479848061455E+001	9.3081752E-003	-9.9456806E+000	0
6.014499848060950E+001	9.3654450E-003	-9.8882160E+000	0
6.014519848060445E+001	9.1936337E-003	-9.8325338E+000	0
6.014539848059940E+001	9.3272654E-003	-9.7753248E+000	0
6.014559848059434E+001	9.2509044E-003	-9.7191973E+000	0
6.014579848058929E+001	9.3081752E-003	-9.6644697E+000	0
6.014599848058424E+001	9.2890849E-003	-9.6094875E+000	0
6.014619848057919E+001	9.3654450E-003	-9.5554590E+000	0
6.014639848057413E+001	9.2127239E-003	-9.5011778E+000	0
6.014659848056908E+001	9.3081752E-003	-9.4478493E+000	0
6.014679848056403E+001	9.3463548E-003	-9.3943949E+000	0
6.014699848055898E+001	9.2890849E-003	-9.3418941E+000	0
6.014719848055393E+001	9.3272654E-003	-9.2893934E+000	0
6.014739848054887E+001	9.2699947E-003	-9.2383575E+000	0
6.014759848054382E+001	9.2699947E-003	-9.1868753E+000	0
6.014779848053877E+001	9.3845353E-003	-9.1353931E+000	0
6.014799848053372E+001	9.3272654E-003	-9.0853109E+000	0
6.014819848052866E+001	9.2509044E-003	-9.0352917E+000	0
6.014859848051856E+001	9.2699947E-003	-8.9358273E+000	0
6.014899848050845E+001	9.3272654E-003	-8.8389091E+000	0
6.014939848049835E+001	9.4227158E-003	-8.7419271E+000	0
6.014979848048824E+001	9.2127239E-003	-8.6483812E+000	0
6.015019848047814E+001	9.3081752E-003	-8.5552168E+000	0
6.015059848046803E+001	9.2890849E-003	-8.4647884E+000	0
6.015099848045793E+001	9.3272654E-003	-8.3748693E+000	0
6.015139848044782E+001	9.2890849E-003	-8.2871151E+000	0
6.015179848043772E+001	9.2890849E-003	-8.1994867E+000	0
6.015219848042761E+001	9.3272654E-003	-8.1147223E+000	0
6.015259848041751E+001	9.4036255E-003	-8.0302763E+000	0
6.015299848040740E+001	9.3654450E-003	-7.9473572E+000	0
6.015339848039730E+001	9.2890849E-003	-7.8660293E+000	0
6.015379848038720E+001	9.3654450E-003	-7.7859116E+000	0
6.015419848037709E+001	9.2699947E-003	-7.7071919E+000	0
6.015459848036699E+001	9.4036255E-003	-7.6297464E+000	0
6.015499848035688E+001	9.1936337E-003	-7.5529366E+000	0
6.015539848034678E+001	9.3081752E-003	-7.4786091E+000	0
6.015579848033667E+001	9.3463548E-003	-7.4051089E+000	0
6.015619848032657E+001	9.3654450E-003	-7.3309078E+000	0
6.015659848031646E+001	9.3845353E-003	-7.2589989E+000	0
6.015699848030636E+001	9.3081752E-003	-7.1895075E+000	0
6.015739848029625E+001	9.3463548E-003	-7.1199517E+000	0
6.015779848028615E+001	9.2318142E-003	-7.0512242E+000	0
6.015819848027604E+001	9.2890849E-003	-6.9837694E+000	0
6.015859848026594E+001	9.3463548E-003	-6.9166961E+000	0
6.015899848025583E+001	9.3081752E-003	-6.8515320E+000	0
6.015939848024573E+001	9.3654450E-003	-6.7875137E+000	0
6.015979848023562E+001	9.3654450E-003	-6.7247672E+000	0
6.016019848022552E+001	9.3272654E-003	-6.6624670E+000	0
6.016059848021541E+001	9.3654450E-003	-6.6007395E+000	0
6.016099848020531E+001	9.3081752E-003	-6.5398397E+000	0
6.016139848019520E+001	9.3845353E-003	-6.4798937E+000	0
6.016179848018510E+001	9.2318142E-003	-6.4210291E+000	0
6.016219848017499E+001	9.3272654E-003	-6.3629289E+000	0
6.016259848016489E+001	9.3081752E-003	-6.3062282E+000	0
6.016299848015478E+001	9.3654450E-003	-6.2501645E+000	0
6.016339848014468E+001	9.3654450E-003	-6.1950550E+000	0
6.016379848013457E+001	9.3081752E-003	-6.1405187E+000	0
6.016419848012447E+001	9.4227158E-003	-6.0861726E+000	0
6.016459848011436E+001	9.3654450E-003	-6.0333543E+000	0
6.016499848010426E+001	9.2890849E-003	-5.9811087E+000	0
6.016539848009415E+001	9.3463548E-003	-5.9300079E+000	0
6.016579848008405E+001	9.3081752E-003	-5.8787169E+000	0
6.016619848007394E+001	9.3463548E-003	-5.8281894E+000	0
6.016679848005879E+001	9.3272654E-003	-5.7564707E+000	0
6.016739848004363E+001	9.4418060E-003	-5.6843061E+000	0
6.016799848002847E+001	9.3272654E-003	-5.6134148E+000	0
6.016859848001332E+001	9.3272654E-003	-5.5441785E+000	0
6.016919847999816E+001	9.3272654E-003	-5.4766598E+000	0
6.016979847998300E+001	9.3463548E-003	-5.4109225E+000	0
6.017039847996784E+001	9.3654450E-003	-5.3455043E+000	0
6.017099847995269E+001	9.3654450E-003	-5.2824402E+000	0
6.017159847993753E+001	9.2890849E-003	-5.2202668E+000	0
6.017219847992237E+001	9.3845353E-003	-5.1600661E+000	0
6.017279847990721E+001	9.4036255E-003	-5.1001210E+000	0
6.017339847989206E+001	9.3081752E-003	-5.0417662E+000	0
6.017399847987690E+001	9.4036255E-003	-4.9846840E+000	0
6.017459847986174E+001	9.3463548E-003	-4.9283013E+000	0
6.017519847984659E+001	9.3272654E-003	-4.8733830E+000	0
6.017579847983143E+001	9.3272654E-003	-4.8192286E+000	0
6.017639847981627E+001	9.4418060E-003	-4.7665372E+000	0
6.017699847980111E+001	9.3272654E-003	-4.7153730E+000	0
6.017759847978596E+001	9.3272654E-003	-4.6642094E+000	0
6.017839847976575E+001	9.3272654E-003	-4.5985360E+000	0
6.017919847974554E+001	9.3081752E-003	-4.5344534E+000	0
6.017999847972533E+001	9.3845353E-003	-4.4712625E+000	0
6.018079847970512E+001	9.4227158E-003	-4.4102345E+000	0
6.018159847968491E+001	9.3654450E-003	-4.3502889E+000	0
6.018239847966470E+001	9.3272654E-003	-4.2923794E+000	0
6.018319847964449E+001	9.3081752E-003	-4.2354245E+000	0
6.018399847962428E+001	9.3845353E-003	-4.1791692E+000	0
6.018479847960407E+001	9.3081752E-003	-4.1257143E+000	0
6.018559847958386E+001	9.2890849E-003	-4.0728960E+000	0
6.018639847956365E+001	9.3272654E-003	-4.0208411E+000	0
6.018719847954344E+001	9.4608963E-003	-3.9707587E+000	0
6.018819847951818E+001	9.3845353E-003	-3.9108765E+000	0
6.018919847949292E+001	9.4036255E-003	-3.8522668E+000	0
6.019019847946765E+001	9.3845353E-003	-3.7931485E+000	0
6.019119847944239E+001	9.3272654E-003	-3.7377844E+000	0
6.019219847941713E+001	9.3845353E-003	-3.6829932E+000	0
6.019319847939187E+001	9.2890849E-003	-3.6306837E+000	0
6.019419847936661E+001	9.3654450E-003	-3.5793927E+000	0
6.019539847933629E+001	9.2509044E-003	-3.5199556E+000	0
6.019659847930598E+001	9.4608963E-003	-3.4617281E+000	0
6.019779847927566E+001	9.3654450E-003	-3.4068730E+000	0
6.019899847924535E+001	9.4227158E-003	-3.3519545E+000	0
6.020019847921503E+001	9.3272654E-003	-3.2995181E+000	0
6.020139847918472E+001	9.3654450E-003	-3.2491176E+000	0
6.020279847914935E+001	9.4036255E-003	-3.1926084E+000	0
6.020419847911398E+001	9.3845353E-003	-3.1370533E+000	0
6.020559847907862E+001	9.3654450E-003	-3.0837896E+000	0
6.020699847904325E+001	9.3654450E-003	-3.0323708E+000	0
6.020859847900283E+001	9.3654450E-003	-2.9759886E+000	0
6.021019847896241E+001	9.3845353E-003	-2.9227881E+000	0
6.021179847892199E+001	9.3463548E-003	-2.8712425E+000	0
6.021339847888157E+001	9.3654450E-003	-2.8210967E+000	0
6.021519847883610E+001	9.4608963E-003	-2.7656054E+000	0
6.021699847879063E+001	9.4418060E-003	-2.7138686E+000	0
6.021899847874010E+001	9.4036255E-003	-2.6592681E+000	0
6.022099847868958E+001	9.3272654E-003	-2.6063225E+000	0
6.022299847863906E+001	9.3845353E-003	-2.5554769E+000	0
6.022519847858348E+001	9.4227158E-003	-2.5027857E+000	0
6.022739847852790E+001	9.4227158E-003	-2.4514945E+000	0
6.022979847846727E+001	9.3654450E-003	-2.3989940E+000	0
6.023219847840664E+001	9.3463548E-003	-2.3477027E+000	0
6.023479847834096E+001	9.4036255E-003	-2.2973022E+000	0
6.023739847827528E+001	9.4036255E-003	-2.2467749E+000	0
6.024019847820455E+001	9.4227158E-003	-2.1958017E+000	0
6.024319847812876E+001	9.3654450E-003	-2.1440651E+000	0
6.024639847804792E+001	9.3463548E-003	-2.0913739E+000	0
6.024979847796203E+001	9.2509044E-003	-2.0391281E+000	0
6.025319847787614E+001	9.4036255E-003	-1.9889821E+000	0
6.025699847778014E+001	9.4036255E-003	-1.9366090E+000	0
6.026079847768415E+001	9.2890849E-003	-1.8862087E+000	0
6.026499847757805E+001	9.3654450E-003	-1.8338355E+000	0
6.026939847746689E+001	9.3463548E-003	-1.7821627E+000	0
6.027399847735069E+001	9.3845353E-003	-1.7310622E+000	0
6.027899847722438E+001	9.3463548E-003	-1.6791983E+000	0
6.028419847709301E+001	9.4227158E-003	-1.6280980E+000	0
6.028979847695155E+001	9.3654450E-003	-1.5762340E+000	0
6.029579847679997E+001	9.2890849E-003	-1.5254518E+000	0
6.030219847663830E+001	9.4036255E-003	-1.4732697E+000	0
6.030899847646651E+001	9.4227158E-003	-1.4223602E+000	0
6.031619847628463E+001	9.4227158E-003	-1.3717690E+000	0
6.032399847608758E+001	9.4036255E-003	-1.3195869E+000	0
6.033259847587033E+001	9.4227158E-003	-1.2689956E+000	0
6.034159847564297E+001	9.4418060E-003	-1.2182134E+000	0
6.035139847539540E+001	9.4036255E-003	-1.1673040E+000	0
6.036199847512762E+001	9.2890849E-003	-1.1170946E+000	0
6.037359847483458E+001	9.3463548E-003	-1.0665669E+000	0
6.038639847451122E+001	9.2699947E-003	-1.0164212E+000	0
6.040019847416261E+001	9.4036255E-003	-9.6595716E-001	0
6.041579847376852E+001	9.3463548E-003	-9.1587496E-001	0
6.043319847332896E+001	9.4036255E-003	-8.6464745E-001	0
6.045319847282371E+001	9.4799856E-003	-8.1456530E-001	0
6.047499847227300E+001	9.4036255E-003	-7.6422864E-001	0
6.050019847163640E+001	9.4227158E-003	-7.1414649E-001	0
6.052959847089369E+001	9.4608963E-003	-6.6412795E-001	0
6.056379847002972E+001	9.3845353E-003	-6.1379129E-001	0
6.060459846899903E+001	9.3845353E-003	-5.6364548E-001	0
6.065439846774098E+001	9.4227158E-003	-5.1311785E-001	0
6.071539846619999E+001	9.3654450E-003	-4.6290842E-001	0
6.079299846423964E+001	9.3845353E-003	-4.1278389E-001	0
6.089259846172354E+001	9.4990758E-003	-3.6260659E-001	0
6.102619845834852E+001	9.4418060E-003	-3.1254381E-001	0
6.121339845361945E+001	9.4418060E-003	-2.6249376E-001	0
6.149239844657131E+001	9.4227158E-003	-2.1246918E-001	0
6.195079843499116E+001	9.3654450E-003	-1.6241276E-001	0
6.283279841270996E+001	9.4036255E-003	-1.1240726E-001	0
6.522799835220212E+001	9.3845353E-003	-6.2389027E-002	0
7.522799809958087E+001	9.3463548E-003	-2.3550777E-002	0
8.522799784695962E+001	9.4227158E-003	-1.4746886E-002	0
9.522799759433838E+001	9.3654450E-003	-1.0664954E-002	0
1.052279973417171E+002	9.3845353E-003	-8.4471218E-003	0
1.152279970890959E+002	9.2890849E-003	-6.9882893E-003	0
1.252279968364746E+002	9.3081752E-003	-5.9143649E-003	0
1.352279965838534E+002	9.4418060E-003	-5.1197368E-003	0
1.452279963312321E+002	9.3463548E-003	-4.5566899E-003	0
1.552279960786109E+002	9.3654450E-003	-4.0323678E-003	0
1.652279958259896E+002	9.3845353E-003	-3.6903385E-003	0
1.752279955733684E+002	9.2890849E-003	-3.3950335E-003	0
1.852279953207471E+002	9.3081752E-003	-3.1381138E-003	0
1.952279950681259E+002	9.3654450E-003	-2.9274090E-003	0
2.052279948155046E+002	9.3845353E-003	-2.7209059E-003	0
2.152279945628834E+002	9.3081752E-003	-2.5472494E-003	0
2.252279943102621E+002	9.3845353E-003	-2.4690789E-003	0
2.352279940576409E+002	9.3463548E-003	-2.3574242E-003	0
2.452279938050197E+002	9.2699947E-003	-2.1599603E-003	0
2.552279935523984E+002	9.3845353E-003	-2.0665119E-003	0
2.652279932997772E+002	9.3654450E-003	-2.0159681E-003	0
2.752279930471559E+002	9.3272654E-003	-1.9131621E-003	0
2.852279927945347E+002	9.3463548E-003	-1.8261429E-003	0
2.952279925419134E+002	9.4418060E-003	-1.7719708E-003	0
3.052279922892922E+002	9.3463548E-003	-1.6928451E-003	0
3.152279920366709E+002	9.3845353E-003	-1.6177936E-003	0
3.252279917840497E+002	9.4227158E-003	-1.5677592E-003	0
3.352279915314284E+002	9.3463548E-003	-1.5032111E-003	0
3.452279912788072E+002	9.2890849E-003	-1.4822679E-003	0
3.552279910261859E+002	9.3463548E-003	-1.4487843E-003	0
3.652279907735647E+002	9.3845353E-003	-1.3994501E-003	0
