time/s	Ewe/V	I/mA	error	
1.202057969633461E+002	1.2763057E-002	-1.9477133E-001	0
1.202059969633410E+002	7.6309070E-003	-1.9597961E-001	0
1.202061969633360E+002	5.3987531E-003	-1.9597834E-001	0
1.202063969633309E+002	4.1386881E-003	-1.9598790E-001	0
1.202067969633208E+002	2.4013254E-003	-1.9598152E-001	0
1.202071969633107E+002	7.9760596E-004	-1.9598469E-001	0
1.202075969633006E+002	-4.2427541E-004	-1.9598088E-001	0
1.202079969632905E+002	-1.8370757E-003	-1.9597897E-001	0
1.202083969632804E+002	-3.0780488E-003	-1.9597961E-001	0
1.202087969632703E+002	-4.2617465E-003	-1.9598342E-001	0
1.202091969632602E+002	-5.3118006E-003	-1.9598408E-001	0
1.202095969632501E+002	-6.4382227E-003	-1.9598278E-001	0
1.202099969632400E+002	-7.6028281E-003	-1.9598217E-001	0
1.202105969632248E+002	-9.1301799E-003	-1.9598152E-001	0
1.202109969632147E+002	-1.0142050E-002	-1.9598724E-001	0
1.202115969631996E+002	-1.1669402E-002	-1.9598469E-001	0
1.202121969631844E+002	-1.3234938E-002	-1.9597961E-001	0
1.202127969631692E+002	-1.4609554E-002	-1.9598469E-001	0
1.202133969631541E+002	-1.5984170E-002	-1.9598533E-001	0
1.202139969631389E+002	-1.7320603E-002	-1.9598408E-001	0
1.202143969631288E+002	-1.8332474E-002	-1.9598152E-001	0
1.202149969631137E+002	-1.9764366E-002	-1.9598152E-001	0
1.202155969630985E+002	-2.0776236E-002	-1.9597706E-001	0
1.202161969630833E+002	-2.2131762E-002	-1.9598408E-001	0
1.202167969630682E+002	-2.3468193E-002	-1.9598790E-001	0
1.202173969630530E+002	-2.4670983E-002	-1.9597897E-001	0
1.202179969630379E+002	-2.5873773E-002	-1.9597580E-001	0
1.202185969630227E+002	-2.7133837E-002	-1.9598342E-001	0
1.202191969630076E+002	-2.8260259E-002	-1.9598278E-001	0
1.202197969629924E+002	-2.9310314E-002	-1.9598278E-001	0
1.202203969629772E+002	-3.0608563E-002	-1.9598599E-001	0
1.202209969629621E+002	-3.1773169E-002	-1.9598152E-001	0
1.202217969629419E+002	-3.3128694E-002	-1.9598027E-001	0
1.202223969629267E+002	-3.4312390E-002	-1.9598408E-001	0
1.202231969629065E+002	-3.5763375E-002	-1.9597770E-001	0
1.202239969628863E+002	-3.7080716E-002	-1.9598088E-001	0
1.202245969628711E+002	-3.8245320E-002	-1.9598533E-001	0
1.202251969628560E+002	-3.9390832E-002	-1.9597897E-001	0
1.202259969628358E+002	-4.0555440E-002	-1.9598217E-001	0
1.202265969628206E+002	-4.1758228E-002	-1.9597706E-001	0
1.202273969628004E+002	-4.2922836E-002	-1.9598088E-001	0
1.202279969627853E+002	-4.3972891E-002	-1.9598217E-001	0
1.202287969627650E+002	-4.5213863E-002	-1.9597834E-001	0
1.202295969627448E+002	-4.6512112E-002	-1.9598533E-001	0
1.202303969627246E+002	-4.7791269E-002	-1.9598533E-001	0
1.202311969627044E+002	-4.8994057E-002	-1.9598088E-001	0
1.202319969626842E+002	-5.0330490E-002	-1.9598278E-001	0
1.202327969626640E+002	-5.1590554E-002	-1.9598916E-001	0
1.202335969626438E+002	-5.2716978E-002	-1.9597897E-001	0
1.202343969626236E+002	-5.3786125E-002	-1.9597453E-001	0
1.202351969626034E+002	-5.4950729E-002	-1.9597961E-001	0
1.202359969625832E+002	-5.6134429E-002	-1.9598027E-001	0
1.202367969625629E+002	-5.7260849E-002	-1.9598088E-001	0
1.202375969625427E+002	-5.8349088E-002	-1.9598278E-001	0
1.202385969625175E+002	-5.9609152E-002	-1.9598408E-001	0
1.202393969624973E+002	-6.0792848E-002	-1.9598661E-001	0
1.202403969624720E+002	-6.2091097E-002	-1.9598408E-001	0
1.202413969624467E+002	-6.3198425E-002	-1.9598469E-001	0
1.202421969624265E+002	-6.4248480E-002	-1.9598217E-001	0
1.202429969624063E+002	-6.5298535E-002	-1.9598152E-001	0
1.202437969623861E+002	-6.6310406E-002	-1.9598278E-001	0
1.202445969623659E+002	-6.7398645E-002	-1.9597897E-001	0
1.202455969623406E+002	-6.8525068E-002	-1.9598278E-001	0
1.202465969623154E+002	-6.9766037E-002	-1.9598217E-001	0
1.202475969622901E+002	-7.0816092E-002	-1.9597770E-001	0
1.202485969622649E+002	-7.1942516E-002	-1.9597834E-001	0
1.202495969622396E+002	-7.3202580E-002	-1.9598408E-001	0
1.202505969622143E+002	-7.4233539E-002	-1.9598408E-001	0
1.202515969621891E+002	-7.5340874E-002	-1.9598027E-001	0
1.202525969621638E+002	-7.6352745E-002	-1.9598027E-001	0
1.202535969621385E+002	-7.7555530E-002	-1.9597834E-001	0
1.202547969621082E+002	-7.8605585E-002	-1.9598088E-001	0
1.202557969620830E+002	-7.9693824E-002	-1.9598278E-001	0
1.202569969620527E+002	-8.0839336E-002	-1.9597834E-001	0
1.202581969620223E+002	-8.2080312E-002	-1.9597770E-001	0
1.202593969619920E+002	-8.3168551E-002	-1.9597515E-001	0
1.202605969619617E+002	-8.4371343E-002	-1.9597644E-001	0
1.202619969619263E+002	-8.5650496E-002	-1.9598278E-001	0
1.202633969618910E+002	-8.6757824E-002	-1.9597897E-001	0
1.202645969618607E+002	-8.7960616E-002	-1.9598088E-001	0
1.202659969618253E+002	-8.9201592E-002	-1.9598278E-001	0
1.202673969617899E+002	-9.0270735E-002	-1.9597897E-001	0
1.202687969617546E+002	-9.1416247E-002	-1.9598217E-001	0
