time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9067152E+000	-2.5007974E-002	0
6.017319847989711E+001	8.4905988E-003	-6.1384959E+000	0
6.017379847988195E+001	8.3379038E-003	-6.0793676E+000	0
6.017439847986680E+001	8.4524257E-003	-6.0240531E+000	0
6.017499847985164E+001	8.4142517E-003	-5.9617457E+000	0
6.017559847983648E+001	8.4142517E-003	-5.9070673E+000	0
6.017619847982132E+001	8.4905988E-003	-5.8492103E+000	0
6.017699847980111E+001	8.4715122E-003	-5.7837238E+000	0
6.017759847978596E+001	8.4524257E-003	-5.7258663E+000	0
6.017839847976575E+001	8.3379038E-003	-5.6597443E+000	0
6.017919847974554E+001	8.3951643E-003	-5.5948935E+000	0
6.017979847973038E+001	8.4142517E-003	-5.5383077E+000	0
6.018059847971017E+001	8.4333383E-003	-5.4709139E+000	0
6.018139847968996E+001	8.3760777E-003	-5.4187784E+000	0
6.018219847966975E+001	8.4524257E-003	-5.3571067E+000	0
6.018279847965459E+001	8.4142517E-003	-5.3068795E+000	0
6.018359847963438E+001	8.4142517E-003	-5.2502937E+000	0
6.018439847961417E+001	8.3760777E-003	-5.1905293E+000	0
6.018539847958891E+001	8.4524257E-003	-5.1224995E+000	0
6.018619847956870E+001	8.3951643E-003	-5.0684566E+000	0
6.018699847954849E+001	8.4333383E-003	-5.0131426E+000	0
6.018779847952828E+001	8.3569912E-003	-4.9603724E+000	0
6.018879847950302E+001	8.4333383E-003	-4.8961573E+000	0
6.018979847947776E+001	8.4715122E-003	-4.8332133E+000	0
6.019079847945250E+001	8.4333383E-003	-4.7715421E+000	0
6.019179847942723E+001	8.4142517E-003	-4.7174993E+000	0
6.019279847940197E+001	8.4715122E-003	-4.6615496E+000	0
6.019379847937671E+001	8.4142517E-003	-4.6005135E+000	0
6.019479847935145E+001	8.4905988E-003	-4.5471067E+000	0
6.019579847932619E+001	8.5096862E-003	-4.4886136E+000	0
6.019699847929587E+001	8.3760777E-003	-4.4301214E+000	0
6.019799847927061E+001	8.3760777E-003	-4.3779860E+000	0
6.019919847924029E+001	8.3188172E-003	-4.3201294E+000	0
6.020059847920493E+001	8.4142517E-003	-4.2578216E+000	0
6.020179847917461E+001	8.4142517E-003	-4.2025070E+000	0
6.020279847914935E+001	8.5096862E-003	-4.1510081E+000	0
6.020419847911398E+001	8.4333383E-003	-4.1007805E+000	0
6.020539847908367E+001	8.4142517E-003	-4.0492811E+000	0
6.020659847905335E+001	8.4715122E-003	-3.9958749E+000	0
6.020799847901799E+001	8.4715122E-003	-3.9373817E+000	0
6.020939847898262E+001	8.3760777E-003	-3.8839750E+000	0
6.021079847894725E+001	8.4333383E-003	-3.8292971E+000	0
6.021239847890683E+001	8.4905988E-003	-3.7771618E+000	0
6.021399847886642E+001	8.4333383E-003	-3.7167618E+000	0
6.021559847882600E+001	8.4142517E-003	-3.6639912E+000	0
6.021739847878052E+001	8.5096862E-003	-3.6112204E+000	0
6.021899847874010E+001	8.4333383E-003	-3.5603569E+000	0
6.022039847870474E+001	8.4905988E-003	-3.5101295E+000	0
6.022199847866432E+001	8.4142517E-003	-3.4586298E+000	0
6.022419847860874E+001	8.3951643E-003	-3.3950512E+000	0
6.022599847856327E+001	8.3569912E-003	-3.3435516E+000	0
6.022819847850769E+001	8.4333383E-003	-3.2907810E+000	0
6.023019847845717E+001	8.5096862E-003	-3.2367384E+000	0
6.023239847840159E+001	8.4524257E-003	-3.1839676E+000	0
6.023459847834602E+001	8.5287727E-003	-3.1324685E+000	0
6.023679847829044E+001	8.5096862E-003	-3.0765188E+000	0
6.023919847822981E+001	8.4524257E-003	-3.0250199E+000	0
6.024159847816918E+001	8.4524257E-003	-2.9716132E+000	0
6.024419847810350E+001	8.4333383E-003	-2.9213855E+000	0
6.024679847803782E+001	8.3569912E-003	-2.8698864E+000	0
6.024979847796203E+001	8.4715122E-003	-2.8171155E+000	0
6.025239847789635E+001	8.4142517E-003	-2.7643447E+000	0
6.025559847781551E+001	8.5287727E-003	-2.7090309E+000	0
6.025899847772962E+001	8.3951643E-003	-2.6537168E+000	0
6.026239847764373E+001	8.4142517E-003	-2.6028533E+000	0
6.026559847756289E+001	8.4524257E-003	-2.5507183E+000	0
6.026959847746184E+001	8.3951643E-003	-2.4979477E+000	0
6.030319847661303E+001	8.5287727E-003	-2.1622710E+000	0
6.030879847647157E+001	8.4905988E-003	-2.1105216E+000	0
6.031459847632505E+001	8.4715122E-003	-2.0601709E+000	0
6.032099847616337E+001	8.3569912E-003	-2.0089304E+000	0
6.032759847599664E+001	8.4333383E-003	-1.9585797E+000	0
6.033459847581980E+001	8.4715122E-003	-1.9081656E+000	0
6.034219847562781E+001	8.4142517E-003	-1.8574970E+000	0
6.035019847542571E+001	8.3379038E-003	-1.8073372E+000	0
6.035899847520341E+001	8.3379038E-003	-1.7559694E+000	0
6.036859847496089E+001	8.3760777E-003	-1.7046018E+000	0
6.037879847470322E+001	8.4333383E-003	-1.6545688E+000	0
6.038979847442533E+001	8.4715122E-003	-1.6031376E+000	0
6.040179847412219E+001	8.3188172E-003	-1.5520241E+000	0
6.041479847379378E+001	8.5096862E-003	-1.5018005E+000	0
6.042919847343001E+001	8.4142517E-003	-1.4506235E+000	0
6.044499847303086E+001	8.4142517E-003	-1.3996372E+000	0
6.046219847259636E+001	8.4715122E-003	-1.3492229E+000	0
6.048159847210627E+001	8.3569912E-003	-1.2984909E+000	0
6.050299847156566E+001	8.3569912E-003	-1.2476318E+000	0
6.052699847095937E+001	8.3951643E-003	-1.1975354E+000	0
6.055379847028235E+001	8.5096862E-003	-1.1473756E+000	0
6.058419846951438E+001	8.4333383E-003	-1.0970249E+000	0
6.061899846863525E+001	8.3951643E-003	-1.0466743E+000	0
6.065899846762477E+001	8.3760777E-003	-9.9664152E-001	0
6.070599846643745E+001	8.4142517E-003	-9.4641805E-001	0
6.076059846505814E+001	8.3951643E-003	-8.9625812E-001	0
6.082479846343631E+001	8.3379038E-003	-8.4603465E-001	0
6.090399846143555E+001	8.3951643E-003	-7.9581124E-001	0
6.099899845903565E+001	8.2806433E-003	-7.4577850E-001	0
6.111939845599409E+001	8.4333383E-003	-6.9549149E-001	0
6.126979845219466E+001	8.4715122E-003	-6.4526802E-001	0
6.146859844717255E+001	8.3188172E-003	-5.9510815E-001	0
6.173219844051346E+001	8.4905988E-003	-5.4501182E-001	0
6.209359843138373E+001	8.4524257E-003	-4.9459758E-001	0
6.267519841669127E+001	8.4142517E-003	-4.4456747E-001	0
6.346799839666346E+001	8.4715122E-003	-3.9456090E-001	0
6.470939836530306E+001	8.3951643E-003	-3.4456062E-001	0
6.674119831397547E+001	8.4333383E-003	-2.9452220E-001	0
7.022999822584097E+001	8.3379038E-003	-2.4444558E-001	0
7.648559806781122E+001	8.4524257E-003	-1.9438805E-001	0
8.648559781518998E+001	8.3569912E-003	-1.5207428E-001	0
9.648559756256873E+001	8.3760777E-003	-1.2767227E-001	0
1.064855973099475E+002	8.3951643E-003	-1.1138306E-001	0
1.164855970573262E+002	8.4715122E-003	-9.9299766E-002	0
1.264855968047050E+002	8.3951643E-003	-9.0067089E-002	0
1.364855965520837E+002	8.4333383E-003	-8.2170635E-002	0
1.464855962994625E+002	8.3951643E-003	-7.5845845E-002	0
1.564855960468412E+002	8.3951643E-003	-7.0360959E-002	0
1.664855957942200E+002	8.4905988E-003	-6.5830521E-002	0
1.764855955415987E+002	8.3760777E-003	-6.1732762E-002	0
1.864855952889775E+002	8.5669467E-003	-5.7800446E-002	0
1.964855950363562E+002	8.3379038E-003	-5.5038918E-002	0
2.064855947837350E+002	8.4333383E-003	-5.1959231E-002	0
2.164855945311137E+002	8.4524257E-003	-4.9598571E-002	0
2.264855942784925E+002	8.4142517E-003	-4.7396980E-002	0
2.364855940258713E+002	8.4142517E-003	-4.4819977E-002	0
2.464855937732500E+002	8.4524257E-003	-4.3603651E-002	0
2.564855935206288E+002	8.4524257E-003	-4.1779537E-002	0
2.664855932680075E+002	8.4333383E-003	-4.0063586E-002	0
2.764855930153863E+002	8.4905988E-003	-3.8509242E-002	0
2.864855927627650E+002	8.4905988E-003	-3.6942810E-002	0
2.964855925101438E+002	8.4333383E-003	-3.5620689E-002	0
3.064855922575225E+002	8.4333383E-003	-3.4279488E-002	0
3.164855920049013E+002	8.4333383E-003	-3.3020996E-002	0
3.264855917522800E+002	8.4905988E-003	-3.1823587E-002	0
3.364855914996588E+002	8.3569912E-003	-3.0705703E-002	0
3.464855912470375E+002	8.5096862E-003	-2.9677536E-002	0
3.564855909944163E+002	8.4142517E-003	-2.8761977E-002	0
3.664855907417950E+002	8.3569912E-003	-2.7770709E-002	0
3.764855904891738E+002	8.4142517E-003	-2.6885059E-002	0
3.864855902365525E+002	8.5096862E-003	-2.6075756E-002	0
3.964855899839313E+002	8.4524257E-003	-2.5256271E-002	0
4.064855897313100E+002	8.4905988E-003	-2.4377620E-002	0
4.164855894786888E+002	8.3379038E-003	-2.3697475E-002	0
4.264855892260675E+002	8.3379038E-003	-2.3087952E-002	0
