time/s	Ewe/V	I/mA	error	
1.860205753007249E+003	2.2508821E-003	-1.9465123E-001	0
1.860205953007244E+003	-2.5590539E-003	-1.9597907E-001	0
1.860206153007239E+003	-5.4312181E-003	-1.9598353E-001	0
1.860206353007234E+003	-6.5382556E-003	-1.9597526E-001	0
1.860206753007224E+003	-8.0270302E-003	-1.9598162E-001	0
1.860207153007213E+003	-9.5730657E-003	-1.9598544E-001	0
1.860207553007203E+003	-1.0966406E-002	-1.9598353E-001	0
1.860207953007193E+003	-1.2417007E-002	-1.9598162E-001	0
1.860208353007183E+003	-1.3676739E-002	-1.9598481E-001	0
1.860208753007173E+003	-1.4936472E-002	-1.9598290E-001	0
1.860209153007163E+003	-1.6005335E-002	-1.9597781E-001	0
1.860209553007153E+003	-1.7207807E-002	-1.9598608E-001	0
1.860209953007143E+003	-1.8257584E-002	-1.9598417E-001	0
1.860210353007133E+003	-1.9440969E-002	-1.9597845E-001	0
1.860210753007123E+003	-2.0586181E-002	-1.9597907E-001	0
1.860211353007107E+003	-2.2227651E-002	-1.9598481E-001	0
1.860211753007097E+003	-2.3239253E-002	-1.9598162E-001	0
1.860212353007082E+003	-2.4651682E-002	-1.9597971E-001	0
1.860212953007067E+003	-2.6140455E-002	-1.9598226E-001	0
1.860213353007057E+003	-2.7285667E-002	-1.9598417E-001	0
1.860213953007042E+003	-2.8583573E-002	-1.9598544E-001	0
1.860214353007032E+003	-2.9595178E-002	-1.9598481E-001	0
1.860214953007016E+003	-3.1045778E-002	-1.9598290E-001	0
1.860215553007001E+003	-3.2267336E-002	-1.9598798E-001	0
1.860215953006991E+003	-3.3298027E-002	-1.9598734E-001	0
1.860216553006976E+003	-3.4538671E-002	-1.9598290E-001	0
1.860217153006961E+003	-3.6065619E-002	-1.9598290E-001	0
1.860217753006946E+003	-3.7306264E-002	-1.9597845E-001	0
1.860218353006931E+003	-3.8489651E-002	-1.9598353E-001	0
1.860218953006915E+003	-3.9730296E-002	-1.9598226E-001	0
1.860219553006900E+003	-4.1047290E-002	-1.9598162E-001	0
1.860220153006885E+003	-4.2211588E-002	-1.9598544E-001	0
1.860220753006870E+003	-4.3471321E-002	-1.9598036E-001	0
1.860221353006855E+003	-4.4597443E-002	-1.9597971E-001	0
1.860221953006840E+003	-4.5838092E-002	-1.9598417E-001	0
1.860222553006824E+003	-4.7002390E-002	-1.9597845E-001	0
1.860223153006809E+003	-4.8147600E-002	-1.9598162E-001	0
1.860223753006794E+003	-4.9197376E-002	-1.9598544E-001	0
1.860224353006779E+003	-5.0380763E-002	-1.9598544E-001	0
1.860225153006759E+003	-5.1697753E-002	-1.9597845E-001	0
1.860225753006744E+003	-5.2900229E-002	-1.9598162E-001	0
1.860226353006728E+003	-5.4045439E-002	-1.9598608E-001	0
1.860227153006708E+003	-5.5419691E-002	-1.9598353E-001	0
1.860227753006693E+003	-5.6469470E-002	-1.9598734E-001	0
1.860228353006678E+003	-5.7595592E-002	-1.9598036E-001	0
1.860228953006663E+003	-5.8645371E-002	-1.9598417E-001	0
1.860229753006643E+003	-5.9962362E-002	-1.9598162E-001	0
1.860230353006627E+003	-6.1069403E-002	-1.9598672E-001	0
1.860231153006607E+003	-6.2386394E-002	-1.9598734E-001	0
1.860231753006592E+003	-6.3397996E-002	-1.9598353E-001	0
1.860232553006572E+003	-6.4638644E-002	-1.9598162E-001	0
1.860233353006552E+003	-6.5993808E-002	-1.9597845E-001	0
1.860234153006531E+003	-6.7387149E-002	-1.9598417E-001	0
1.860234953006511E+003	-6.8475097E-002	-1.9598481E-001	0
1.860235753006491E+003	-6.9639400E-002	-1.9598481E-001	0
1.860236553006471E+003	-7.0899129E-002	-1.9598544E-001	0
1.860237353006451E+003	-7.2197035E-002	-1.9598353E-001	0
1.860238153006430E+003	-7.3475853E-002	-1.9598226E-001	0
1.860238953006410E+003	-7.4544720E-002	-1.9598798E-001	0
1.860239753006390E+003	-7.5823538E-002	-1.9598353E-001	0
1.860240553006370E+003	-7.6968752E-002	-1.9598544E-001	0
1.860241353006350E+003	-7.8113958E-002	-1.9598608E-001	0
1.860242153006329E+003	-7.9125568E-002	-1.9597717E-001	0
1.860242953006309E+003	-8.0308951E-002	-1.9598162E-001	0
1.860243753006289E+003	-8.1473246E-002	-1.9597907E-001	0
1.860244553006269E+003	-8.2580283E-002	-1.9597971E-001	0
1.860245353006248E+003	-8.3649151E-002	-1.9598162E-001	0
1.860246153006228E+003	-8.4698930E-002	-1.9597971E-001	0
1.860246953006208E+003	-8.5882314E-002	-1.9598162E-001	0
1.860247953006183E+003	-8.7218389E-002	-1.9598098E-001	0
1.860248953006158E+003	-8.8401780E-002	-1.9598290E-001	0
1.860249753006137E+003	-8.9432471E-002	-1.9598036E-001	0
1.860250553006117E+003	-9.0501331E-002	-1.9598290E-001	0
1.860251553006092E+003	-9.1894671E-002	-1.9598608E-001	0
1.860252553006067E+003	-9.3097143E-002	-1.9597845E-001	0
1.860253553006041E+003	-9.4223268E-002	-1.9598417E-001	0
1.860254353006021E+003	-9.5273048E-002	-1.9598036E-001	0
1.860255153006001E+003	-9.6303739E-002	-1.9598353E-001	0
1.860256153005976E+003	-9.7468033E-002	-1.9598036E-001	0
1.860257153005950E+003	-9.8689593E-002	-1.9598162E-001	0
1.860258153005925E+003	-9.9777542E-002	-1.9598608E-001	0
1.860259153005900E+003	-1.0092276E-001	-1.9598290E-001	0
1.860260153005875E+003	-1.0216340E-001	-1.9598036E-001	0
1.860261153005849E+003	-1.0327044E-001	-1.9597971E-001	0
1.860262353005819E+003	-1.0458743E-001	-1.9598672E-001	0
1.860263553005789E+003	-1.0577082E-001	-1.9598290E-001	0
1.860264553005763E+003	-1.0691603E-001	-1.9598036E-001	0
1.860265553005738E+003	-1.0794672E-001	-1.9597971E-001	0
1.860266553005713E+003	-1.0905375E-001	-1.9598353E-001	0
1.860267553005688E+003	-1.1016079E-001	-1.9598734E-001	0
1.860268753005657E+003	-1.1130600E-001	-1.9598290E-001	0
