time/s	Ewe/V	I/mA	error	
8.020579797383107E+001	3.1466905E-002	-1.9473360E-001	0
8.020599797382602E+001	2.4571380E-002	-1.9597104E-001	0
8.020619797382096E+001	2.1415258E-002	-1.9598058E-001	0
8.020639797381591E+001	1.9868959E-002	-1.9598375E-001	0
8.020659797381086E+001	1.8704461E-002	-1.9597802E-001	0
8.020699797380075E+001	1.7158160E-002	-1.9597486E-001	0
8.020739797379065E+001	1.5745491E-002	-1.9598058E-001	0
8.020779797378054E+001	1.4485543E-002	-1.9598249E-001	0
8.020819797377044E+001	1.3378315E-002	-1.9597550E-001	0
8.020859797376033E+001	1.2022916E-002	-1.9597867E-001	0
8.020919797374518E+001	1.0591157E-002	-1.9597676E-001	0
8.020959797373507E+001	9.5221093E-003	-1.9597994E-001	0
8.021019797371991E+001	7.9758093E-003	-1.9597802E-001	0
8.021079797370476E+001	6.6776802E-003	-1.9598185E-001	0
8.021119797369465E+001	5.6659034E-003	-1.9598503E-001	0
8.021179797367950E+001	4.4250456E-003	-1.9598313E-001	0
8.021239797366434E+001	2.8978351E-003	-1.9598185E-001	0
8.021299797364918E+001	1.6569769E-003	-1.9598122E-001	0
8.021359797363402E+001	4.7338897E-004	-1.9598313E-001	0
8.021419797361887E+001	-8.4382971E-004	-1.9598122E-001	0
8.021479797360371E+001	-2.0274175E-003	-1.9597994E-001	0
8.021539797358855E+001	-3.2110054E-003	-1.9598185E-001	0
8.021599797357339E+001	-4.4709537E-003	-1.9598439E-001	0
8.021659797355824E+001	-5.5972710E-003	-1.9598185E-001	0
8.021719797354308E+001	-6.6854083E-003	-1.9598439E-001	0
8.021779797352792E+001	-7.9835365E-003	-1.9597802E-001	0
8.021839797351277E+001	-9.0907635E-003	-1.9598058E-001	0
8.021919797349256E+001	-1.0427073E-002	-1.9598375E-001	0
8.021979797347740E+001	-1.1534300E-002	-1.9598439E-001	0
8.022059797345719E+001	-1.2946970E-002	-1.9597867E-001	0
8.022119797344203E+001	-1.3977836E-002	-1.9597611E-001	0
8.022179797342687E+001	-1.5123243E-002	-1.9598122E-001	0
8.022259797340666E+001	-1.6440462E-002	-1.9598249E-001	0
8.022339797338645E+001	-1.7681321E-002	-1.9598313E-001	0
8.022419797336624E+001	-1.9132171E-002	-1.9598185E-001	0
8.022499797334604E+001	-2.0392118E-002	-1.9597867E-001	0
8.022579797332583E+001	-2.1537526E-002	-1.9598757E-001	0
8.022639797331067E+001	-2.2568393E-002	-1.9598185E-001	0
