time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	1.3220881E-002	-1.9473992E-001	0	-1.4749893E-003
1.860205953007244E+003	7.3677683E-003	-1.9599333E-001	0	-1.3146345E-003
1.860206153007239E+003	3.8774915E-003	-1.9599590E-001	0	-4.3856053E-006
1.860206353007234E+003	2.4647564E-003	-1.9600162E-001	0	-6.1657120E-005
1.860206553007229E+003	1.2238404E-003	-1.9600226E-001	0	1.1015742E-004
1.860206753007224E+003	1.3565252E-004	-1.9599524E-001	0	1.6742894E-004
1.860207153007213E+003	-1.7734489E-003	-1.9600096E-001	0	7.1976414E-005
1.860207553007203E+003	-3.3580030E-003	-1.9600989E-001	0	-4.3856053E-006
1.860207953007193E+003	-5.1334673E-003	-1.9600096E-001	0	5.2885909E-005
1.860208353007183E+003	-6.4889290E-003	-1.9599590E-001	0	1.2924793E-004
1.860208753007173E+003	-7.9971189E-003	-1.9599971E-001	0	7.1976414E-005
1.860209153007163E+003	-9.4671268E-003	-1.9599780E-001	0	7.1976414E-005
1.860209553007153E+003	-1.0803498E-002	-1.9600353E-001	0	9.1066919E-005
1.860209953007143E+003	-1.2120778E-002	-1.9599906E-001	0	5.2885909E-005
1.860210353007133E+003	-1.3399876E-002	-1.9599843E-001	0	1.2924793E-004
1.860210753007123E+003	-1.4717156E-002	-1.9600035E-001	0	9.1066919E-005
1.860211153007112E+003	-1.5786253E-002	-1.9600607E-001	0	1.8651944E-004
1.860211553007102E+003	-1.7141715E-002	-1.9600417E-001	0	7.1976414E-005
1.860211953007092E+003	-1.8268084E-002	-1.9599906E-001	0	-4.3856053E-006
1.860212353007082E+003	-1.9318091E-002	-1.9599971E-001	0	-4.2566615E-005
1.860212753007072E+003	-2.0463550E-002	-1.9600096E-001	0	1.1015742E-004
1.860213153007062E+003	-2.1570830E-002	-1.9599780E-001	0	7.1976414E-005
1.860213753007047E+003	-2.3098111E-002	-1.9600096E-001	0	5.2885909E-005
1.860214153007037E+003	-2.4205390E-002	-1.9600478E-001	0	5.2885909E-005
1.860214553007027E+003	-2.5236305E-002	-1.9600734E-001	0	3.3795404E-005
1.860215153007011E+003	-2.6649039E-002	-1.9600417E-001	0	7.1976414E-005
1.860215553007001E+003	-2.7660863E-002	-1.9600417E-001	0	3.3795404E-005
1.860216153006986E+003	-2.9073598E-002	-1.9600096E-001	0	-2.3476110E-005
1.860216753006971E+003	-3.0619970E-002	-1.9599780E-001	0	5.2885909E-005
1.860217353006956E+003	-3.1822704E-002	-1.9599780E-001	0	1.1015742E-004
1.860217753006946E+003	-3.2853618E-002	-1.9600162E-001	0	1.1015742E-004
1.860218353006931E+003	-3.4209080E-002	-1.9600096E-001	0	1.2924793E-004
1.860218953006915E+003	-3.5449997E-002	-1.9600478E-001	0	3.3795404E-005
1.860219553006900E+003	-3.6900911E-002	-1.9600035E-001	0	9.1066919E-005
1.860220153006885E+003	-3.8065463E-002	-1.9600543E-001	0	-4.3856053E-006
1.860220753006870E+003	-3.9363652E-002	-1.9600417E-001	0	7.1976414E-005
1.860221353006855E+003	-4.0623661E-002	-1.9599397E-001	0	9.1066919E-005
1.860221953006840E+003	-4.1826393E-002	-1.9600096E-001	0	1.4704900E-005
1.860222553006824E+003	-4.2952765E-002	-1.9600543E-001	0	5.2885909E-005
1.860223153006809E+003	-4.4270046E-002	-1.9600417E-001	0	5.2885909E-005
1.860223753006794E+003	-4.5472778E-002	-1.9599906E-001	0	9.1066919E-005
1.860224353006779E+003	-4.6580058E-002	-1.9600226E-001	0	3.3795404E-005
1.860224953006764E+003	-4.7820974E-002	-1.9599780E-001	0	1.4833843E-004
1.860225753006744E+003	-4.9119163E-002	-1.9600669E-001	0	7.1976414E-005
1.860226353006728E+003	-5.0417352E-002	-1.9600543E-001	0	-4.3856053E-006
1.860226953006713E+003	-5.1467355E-002	-1.9600162E-001	0	3.3795404E-005
1.860227553006698E+003	-5.2612819E-002	-1.9600096E-001	0	1.1015742E-004
1.860228153006683E+003	-5.3643733E-002	-1.9600162E-001	0	-2.3476110E-005
1.860228753006668E+003	-5.4674648E-002	-1.9600417E-001	0	-2.3476110E-005
1.860229353006653E+003	-5.5686470E-002	-1.9600543E-001	0	9.1066919E-005
1.860229953006638E+003	-5.6812841E-002	-1.9600543E-001	0	3.3795404E-005
1.860230553006622E+003	-5.7901029E-002	-1.9599906E-001	0	5.2885909E-005
1.860231353006602E+003	-5.9161037E-002	-1.9599971E-001	0	-4.3856053E-006
1.860232153006582E+003	-6.0611952E-002	-1.9599906E-001	0	1.4704900E-005
1.860232953006562E+003	-6.1891049E-002	-1.9599652E-001	0	1.4704900E-005
1.860233553006547E+003	-6.2941052E-002	-1.9599780E-001	0	3.3795404E-005
1.860234353006526E+003	-6.4143792E-002	-1.9600925E-001	0	1.1015742E-004
1.860234953006511E+003	-6.5231979E-002	-1.9600226E-001	0	5.2885909E-005
