time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.8767633E+000	-2.5007974E-002	0	-1.6680200E-003
6.014319848065497E+001	8.4860558E-003	-4.6794839E+000	0	2.4483139E-005
6.014399848063476E+001	8.4669692E-003	-4.6293874E+000	0	5.3978438E-006
6.014499848060950E+001	8.3906213E-003	-4.5684199E+000	0	2.4483139E-005
6.014599848058424E+001	8.3333608E-003	-4.5101862E+000	0	-5.1858042E-005
6.014699848055898E+001	8.3906213E-003	-4.4544954E+000	0	5.3978438E-006
6.014799848053372E+001	8.4097078E-003	-4.4011564E+000	0	8.1739025E-005
6.014899848050845E+001	8.3715348E-003	-4.3497891E+000	0	5.3978438E-006
6.015019848047814E+001	8.4287953E-003	-4.2906017E+000	0	1.0082432E-004
6.015139848044782E+001	8.4287953E-003	-4.2328763E+000	0	1.1990962E-004
6.015259848041751E+001	8.4287953E-003	-4.1793470E+000	0	-1.3687451E-005
6.015379848038720E+001	8.4287953E-003	-4.1265807E+000	0	1.3899490E-004
6.015499848035688E+001	8.4287953E-003	-4.0764208E+000	0	8.1739025E-005
6.015639848032151E+001	8.4287953E-003	-4.0201578E+000	0	5.3978438E-006
6.015779848028615E+001	8.3524473E-003	-3.9657381E+000	0	8.1739025E-005
6.015919848025078E+001	8.3524473E-003	-3.9132895E+000	0	1.3899490E-004
6.016079848021036E+001	8.3715348E-003	-3.8576624E+000	0	-1.3687451E-005
6.016239848016994E+001	8.4287953E-003	-3.8026707E+000	0	1.0082432E-004
6.016399848012952E+001	8.3524473E-003	-3.7497139E+000	0	4.3568434E-005
6.016559848008910E+001	8.4860558E-003	-3.6992996E+000	0	4.3568434E-005
6.016739848004363E+001	8.4860558E-003	-3.6444986E+000	0	4.3568434E-005
6.016919847999816E+001	8.3333608E-003	-3.5914779E+000	0	4.3568434E-005
6.017099847995269E+001	8.2951868E-003	-3.5401103E+000	0	6.2653729E-005
6.017299847990216E+001	8.4478818E-003	-3.4858816E+000	0	4.3568434E-005
6.017499847985164E+001	8.2951868E-003	-3.4332421E+000	0	2.4483139E-005
6.017699847980111E+001	8.3524473E-003	-3.3810482E+000	0	5.3978438E-006
6.017919847974554E+001	8.4287953E-003	-3.3272009E+000	0	5.3978438E-006
6.018139847968996E+001	8.3142743E-003	-3.2750700E+000	0	5.3978438E-006
6.018379847962933E+001	8.4097078E-003	-3.2196972E+000	0	2.4483139E-005
6.018619847956870E+001	8.4287953E-003	-3.1667397E+000	0	-1.3687451E-005
6.018859847950807E+001	8.3715348E-003	-3.1146727E+000	0	4.3568434E-005
6.019119847944239E+001	8.3524473E-003	-3.0610800E+000	0	8.1739025E-005
6.019379847937671E+001	8.4097078E-003	-3.0086315E+000	0	-3.2772747E-005
6.019639847931103E+001	8.4478818E-003	-2.9577725E+000	0	1.1990962E-004
6.019919847924029E+001	8.3333608E-003	-2.9050696E+000	0	5.3978438E-006
6.020199847916956E+001	8.4287953E-003	-2.8537018E+000	0	-5.1858042E-005
6.020499847909377E+001	8.3906213E-003	-2.8002360E+000	0	1.0082432E-004
6.020799847901799E+001	8.3142743E-003	-2.7489953E+000	0	-1.3687451E-005
6.021119847893715E+001	8.4860558E-003	-2.6969917E+000	0	-1.3687451E-005
6.021439847885631E+001	8.3524473E-003	-2.6456242E+000	0	-7.0943337E-005
6.021759847877547E+001	8.3333608E-003	-2.5955276E+000	0	6.2653729E-005
6.022099847868958E+001	8.4097078E-003	-2.5454314E+000	0	-1.3687451E-005
6.022459847859864E+001	8.5242298E-003	-2.4936187E+000	0	-5.1858042E-005
6.022819847850769E+001	8.4478818E-003	-2.4432681E+000	0	1.1990962E-004
6.023199847841170E+001	8.3906213E-003	-2.3925359E+000	0	-3.2772747E-005
6.023599847831065E+001	8.4287953E-003	-2.3419311E+000	0	1.0082432E-004
6.024019847820455E+001	8.3333608E-003	-2.2898641E+000	0	-1.3687451E-005
6.024459847809339E+001	8.4287953E-003	-2.2376060E+000	0	-7.0943337E-005
6.024919847797719E+001	8.2761003E-003	-2.1857932E+000	0	-1.3687451E-005
