time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8648753E+000	-2.5023418E-002	0
6.014319848065497E+001	9.3703605E-003	-6.7760139E+000	0
6.014359848064487E+001	9.2367167E-003	-6.7067604E+000	0
6.014399848063476E+001	9.2749009E-003	-6.6393533E+000	0
6.014439848062466E+001	9.3512684E-003	-6.5737281E+000	0
6.014479848061455E+001	9.3321763E-003	-6.5091219E+000	0
6.014519848060445E+001	9.3512684E-003	-6.4458523E+000	0
6.014559848059434E+001	9.2749009E-003	-6.3846822E+000	0
6.014599848058424E+001	9.3130842E-003	-6.3248501E+000	0
6.014639848057413E+001	9.3703605E-003	-6.2660995E+000	0
6.014679848056403E+001	9.3703605E-003	-6.2088771E+000	0
6.014719848055393E+001	9.3512684E-003	-6.1534362E+000	0
6.014759848054382E+001	9.2939930E-003	-6.0986962E+000	0
6.014799848053372E+001	9.3130842E-003	-6.0454197E+000	0
6.014839848052361E+001	9.3703605E-003	-5.9928432E+000	0
6.014879848051351E+001	9.3512684E-003	-5.9416037E+000	0
6.014939848049835E+001	9.3321763E-003	-5.8678951E+000	0
6.014999848048319E+001	9.4276359E-003	-5.7950778E+000	0
6.015059848046803E+001	9.4085438E-003	-5.7250605E+000	0
6.015119848045288E+001	9.2939930E-003	-5.6573987E+000	0
6.015179848043772E+001	9.3130842E-003	-5.5917101E+000	0
6.015239848042256E+001	9.4467280E-003	-5.5272946E+000	0
6.015299848040740E+001	9.3130842E-003	-5.4658704E+000	0
6.015359848039225E+001	9.2939930E-003	-5.4055285E+000	0
6.015419848037709E+001	9.4467280E-003	-5.3477964E+000	0
6.015479848036193E+001	9.2749009E-003	-5.2914648E+000	0
6.015539848034678E+001	9.3703605E-003	-5.2358336E+000	0
6.015599848033162E+001	9.2939930E-003	-5.1824932E+000	0
6.015659848031646E+001	9.4467280E-003	-5.1299806E+000	0
6.015719848030130E+001	9.3130842E-003	-5.0792499E+000	0
6.015799848028109E+001	9.4085438E-003	-5.0136886E+000	0
6.015879848026088E+001	9.3512684E-003	-4.9505467E+000	0
6.015959848024067E+001	9.4658202E-003	-4.8889952E+000	0
6.016039848022047E+001	9.4085438E-003	-4.8291626E+000	0
6.016119848020026E+001	9.4085438E-003	-4.7713032E+000	0
6.016199848018005E+001	9.4085438E-003	-4.7156720E+000	0
6.016279848015984E+001	9.3321763E-003	-4.6616950E+000	0
6.016359848013963E+001	9.3321763E-003	-4.6094370E+000	0
6.016439848011942E+001	9.3130842E-003	-4.5583248E+000	0
6.016539848009415E+001	9.3130842E-003	-4.4965191E+000	0
6.016639848006889E+001	9.3130842E-003	-4.4376411E+000	0
6.016739848004363E+001	9.3512684E-003	-4.3794632E+000	0
6.016839848001837E+001	9.3321763E-003	-4.3230681E+000	0
6.016939847999311E+001	9.3512684E-003	-4.2691550E+000	0
6.017039847996784E+001	9.2939930E-003	-4.2179151E+000	0
6.017139847994258E+001	9.3512684E-003	-4.1657844E+000	0
6.017259847991227E+001	9.3512684E-003	-4.1078615E+000	0
6.017379847988195E+001	9.4085438E-003	-4.0508933E+000	0
6.017499847985164E+001	9.3321763E-003	-3.9959617E+000	0
6.017619847982132E+001	9.4276359E-003	-3.9425578E+000	0
6.017739847979101E+001	9.4467280E-003	-3.8905544E+000	0
6.017859847976069E+001	9.3321763E-003	-3.8405240E+000	0
6.017999847972533E+001	9.3894526E-003	-3.7846379E+000	0
6.018139847968996E+001	9.3321763E-003	-3.7296429E+000	0
6.018279847965459E+001	9.5040035E-003	-3.6769392E+000	0
6.018419847961923E+001	9.2939930E-003	-3.6263363E+000	0
6.018559847958386E+001	9.3130842E-003	-3.5758603E+000	0
6.018719847954344E+001	9.4085438E-003	-3.5209930E+000	0
6.018879847950302E+001	9.4276359E-003	-3.4670157E+000	0
6.019059847945755E+001	9.3703605E-003	-3.4106841E+000	0
6.019239847941208E+001	9.3894526E-003	-3.3545432E+000	0
6.019419847936661E+001	9.3512684E-003	-3.3010759E+000	0
