time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.8055494E+000	-2.5021279E-002	0	-7.1714557E-004
6.017319847989711E+001	9.2435181E-003	-6.0581627E+000	0	1.1416267E-005
6.017359847988700E+001	9.1671571E-003	-6.0008655E+000	0	-1.6037263E-004
6.017419847987185E+001	9.3007879E-003	-5.9346552E+000	0	-8.4022009E-005
6.017479847985669E+001	9.3771489E-003	-5.8760843E+000	0	-6.4934356E-005
6.017539847984153E+001	9.3771489E-003	-5.8028712E+000	0	-8.4022009E-005
6.017599847982638E+001	9.3389684E-003	-5.7341142E+000	0	1.1416267E-005
6.017659847981122E+001	9.3771489E-003	-5.6729970E+000	0	-6.4934356E-005
6.017719847979606E+001	9.2435181E-003	-5.6144261E+000	0	3.0503921E-005
6.017779847978090E+001	9.2816977E-003	-5.5431228E+000	0	1.1416267E-005
6.017859847976069E+001	9.3198782E-003	-5.4775496E+000	0	-6.4934356E-005
6.017919847974554E+001	9.2816977E-003	-5.4196153E+000	0	-6.4934356E-005
6.017979847973038E+001	9.3198782E-003	-5.3629546E+000	0	-6.4934356E-005
6.018039847971522E+001	9.3389684E-003	-5.3075676E+000	0	-4.5846697E-005
6.018099847970007E+001	9.3007879E-003	-5.2534528E+000	0	1.1416267E-005
6.018179847967986E+001	9.1862474E-003	-5.1859694E+000	0	-2.6759042E-005
6.018239847966470E+001	9.3962392E-003	-5.1356750E+000	0	6.8679226E-005
6.018299847964954E+001	9.3580587E-003	-5.0828342E+000	0	3.0503921E-005
6.018379847962933E+001	9.2435181E-003	-5.0236273E+000	0	-7.6713877E-006
6.018459847960912E+001	9.2244279E-003	-4.9586897E+000	0	6.8679226E-005
6.018539847958891E+001	9.3007879E-003	-4.9007559E+000	0	-1.0310966E-004
6.018619847956870E+001	9.2244279E-003	-4.8453679E+000	0	-7.6713877E-006
6.018699847954849E+001	9.2816977E-003	-4.7753382E+000	0	-1.2219732E-004
6.018799847952323E+001	9.3771489E-003	-4.7161312E+000	0	3.0503921E-005
6.018879847950302E+001	9.2626074E-003	-4.6645632E+000	0	-4.5846697E-005
6.018959847948281E+001	9.2816977E-003	-4.6091762E+000	0	-7.6713877E-006
6.019039847946260E+001	9.3007879E-003	-4.5531516E+000	0	-8.4022009E-005
6.019139847943734E+001	9.3580587E-003	-4.4971280E+000	0	1.1416267E-005
6.019239847941208E+001	9.3007879E-003	-4.4328270E+000	0	-4.5846697E-005
6.019339847938681E+001	9.2053376E-003	-4.3780766E+000	0	3.0503921E-005
6.019439847936155E+001	9.3007879E-003	-4.3207793E+000	0	6.8679226E-005
6.019539847933629E+001	9.3962392E-003	-4.2673020E+000	0	-6.4934356E-005
6.019639847931103E+001	9.4153285E-003	-4.2119141E+000	0	-6.4934356E-005
6.019759847928071E+001	9.3580587E-003	-4.1527071E+000	0	-7.6713877E-006
6.019859847925545E+001	9.3198782E-003	-4.0973196E+000	0	-2.6759042E-005
6.019959847923019E+001	9.3198782E-003	-4.0444784E+000	0	-1.6037263E-004
6.020099847919482E+001	9.2244279E-003	-3.9846346E+000	0	-1.2219732E-004
6.020199847916956E+001	9.3007879E-003	-3.9298840E+000	0	-8.4022009E-005
6.020319847913925E+001	9.2435181E-003	-3.8789525E+000	0	-6.4934356E-005
6.020459847910388E+001	9.3389684E-003	-3.8165624E+000	0	-8.4022009E-005
6.020579847907356E+001	9.3007879E-003	-3.7637215E+000	0	-1.2219732E-004
6.020719847903820E+001	9.3580587E-003	-3.7064245E+000	0	-1.2219732E-004
6.020899847899273E+001	9.2626074E-003	-3.6453073E+000	0	-8.4022009E-005
6.021039847895736E+001	9.2816977E-003	-3.5873730E+000	0	3.0503921E-005
6.021199847891694E+001	9.3962392E-003	-3.5256188E+000	0	-4.5846697E-005
6.021379847887147E+001	9.3007879E-003	-3.4619553E+000	0	3.0503921E-005
6.021559847882600E+001	9.3580587E-003	-3.4040215E+000	0	3.0503921E-005
6.021739847878052E+001	9.3389684E-003	-3.3454509E+000	0	-2.6759042E-005
6.021919847873505E+001	9.1862474E-003	-3.2900634E+000	0	-1.2219732E-004
6.022099847868958E+001	9.4153285E-003	-3.2359490E+000	0	1.1416267E-005
6.022259847864916E+001	9.2626074E-003	-3.1856546E+000	0	-1.4128498E-004
6.022439847860369E+001	9.2816977E-003	-3.1347239E+000	0	1.1416267E-005
6.022619847855822E+001	9.3007879E-003	-3.0825195E+000	0	-1.4128498E-004
6.022819847850769E+001	9.2626074E-003	-3.0194924E+000	0	-7.6713877E-006
6.023059847844706E+001	9.2626074E-003	-2.9685616E+000	0	-7.6713877E-006
6.023259847839654E+001	9.3389684E-003	-2.9125373E+000	0	-1.0310966E-004
6.023499847833591E+001	9.3389684E-003	-2.8603332E+000	0	-7.6713877E-006
6.023699847828539E+001	9.2626074E-003	-2.8094022E+000	0	-6.4934356E-005
6.023939847822476E+001	9.3389684E-003	-2.7565613E+000	0	-1.6037263E-004
6.024179847816413E+001	9.3198782E-003	-2.7062669E+000	0	-7.6713877E-006
6.024419847810350E+001	9.2435181E-003	-2.6559725E+000	0	1.1416267E-005
6.024679847803782E+001	9.2816977E-003	-2.6024952E+000	0	-2.6759042E-005
6.024939847797214E+001	9.2435181E-003	-2.5515640E+000	0	-6.4934356E-005
6.025199847790645E+001	9.3198782E-003	-2.5006330E+000	0	-6.4934356E-005
