time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	2.6021809E-003	-1.9468355E-001	0	-7.9731789E-004
1.860205953007244E+003	-2.0421398E-004	-1.9597718E-001	0	-2.3611185E-004
1.860206153007239E+003	-1.6238550E-003	-1.9598226E-001	0	-7.6713877E-006
1.860206553007229E+003	-3.0365251E-003	-1.9598226E-001	0	-1.0310966E-004
1.860206953007219E+003	-4.5637358E-003	-1.9598417E-001	0	-2.6759042E-005
1.860207353007208E+003	-5.8045951E-003	-1.9598353E-001	0	3.0503921E-005
1.860207753007198E+003	-7.0836339E-003	-1.9598417E-001	0	-7.6713877E-006
1.860208153007188E+003	-8.1908619E-003	-1.9597971E-001	0	3.0503921E-005
1.860208553007178E+003	-9.2599094E-003	-1.9597971E-001	0	6.8679226E-005
1.860208953007168E+003	-1.0519858E-002	-1.9598226E-001	0	-4.5846697E-005
1.860209353007158E+003	-1.1588906E-002	-1.9597654E-001	0	-4.5846697E-005
1.860209753007148E+003	-1.2600684E-002	-1.9598292E-001	0	1.0685454E-004
1.860210353007133E+003	-1.4108804E-002	-1.9597845E-001	0	-2.6759042E-005
1.860210753007123E+003	-1.5120582E-002	-1.9598036E-001	0	-7.6713877E-006
1.860211153007112E+003	-1.6227810E-002	-1.9598483E-001	0	3.0503921E-005
1.860211753007097E+003	-1.7621389E-002	-1.9598101E-001	0	4.9591574E-005
1.860212353007082E+003	-1.9053150E-002	-1.9598292E-001	0	6.8679226E-005
1.860212753007072E+003	-2.0064928E-002	-1.9598673E-001	0	6.8679226E-005
1.860213353007057E+003	-2.1477597E-002	-1.9598101E-001	0	-2.6759042E-005
1.860213953007042E+003	-2.2871178E-002	-1.9597845E-001	0	4.9591574E-005
1.860214553007027E+003	-2.4283847E-002	-1.9598101E-001	0	-4.5846697E-005
1.860215153007011E+003	-2.5505615E-002	-1.9598226E-001	0	6.8679226E-005
1.860215753006996E+003	-2.6880106E-002	-1.9598353E-001	0	-6.4934356E-005
1.860216353006981E+003	-2.8082784E-002	-1.9597463E-001	0	-4.5846697E-005
1.860216753006971E+003	-2.9151833E-002	-1.9598353E-001	0	-1.2219732E-004
1.860217353006956E+003	-3.0297240E-002	-1.9598544E-001	0	-8.4022009E-005
1.860217953006941E+003	-3.1576280E-002	-1.9598927E-001	0	1.0685454E-004
1.860218553006926E+003	-3.2874409E-002	-1.9598608E-001	0	1.4502984E-004
1.860219153006910E+003	-3.4134358E-002	-1.9598162E-001	0	-7.6713877E-006
1.860219753006895E+003	-3.5356127E-002	-1.9598226E-001	0	6.8679226E-005
1.860220353006880E+003	-3.6520623E-002	-1.9598673E-001	0	-2.6759042E-005
1.860220953006865E+003	-3.7742391E-002	-1.9598864E-001	0	-1.0310966E-004
