time/s	Ewe/V	I/mA	error	
1.860255353005996E+003	-1.0532881E-004	-1.9457467E-001	0
1.860255553005991E+003	-6.1191116E-003	-1.9596444E-001	0
1.860255753005986E+003	-8.6701978E-003	-1.9596380E-001	0
1.860255953005981E+003	-1.0063644E-002	-1.9597462E-001	0
1.860256153005976E+003	-1.1361649E-002	-1.9597080E-001	0
1.860256353005971E+003	-1.2392418E-002	-1.9597271E-001	0
1.860256553005966E+003	-1.3594981E-002	-1.9596635E-001	0
1.860256953005955E+003	-1.5217488E-002	-1.9596761E-001	0
1.860257153005950E+003	-1.6420051E-002	-1.9597080E-001	0
1.860257553005940E+003	-1.8328881E-002	-1.9596952E-001	0
1.860257953005930E+003	-2.0046830E-002	-1.9597207E-001	0
1.860258353005920E+003	-2.1592982E-002	-1.9596890E-001	0
1.860258753005910E+003	-2.3349106E-002	-1.9596952E-001	0
1.860259153005900E+003	-2.4895260E-002	-1.9597207E-001	0
1.860259553005890E+003	-2.6422326E-002	-1.9596252E-001	0
1.860259953005880E+003	-2.7987566E-002	-1.9596952E-001	0
1.860260353005870E+003	-2.9457366E-002	-1.9596761E-001	0
1.860260753005859E+003	-3.1098960E-002	-1.9597144E-001	0
1.860261153005849E+003	-3.2454230E-002	-1.9596761E-001	0
1.860261553005839E+003	-3.4000382E-002	-1.9596571E-001	0
1.860261953005829E+003	-3.5393830E-002	-1.9596952E-001	0
1.860262353005819E+003	-3.6749098E-002	-1.9596890E-001	0
1.860262753005809E+003	-3.8257077E-002	-1.9596571E-001	0
1.860263153005799E+003	-3.9535992E-002	-1.9596890E-001	0
1.860263553005789E+003	-4.0891264E-002	-1.9597016E-001	0
1.860263953005779E+003	-4.2227443E-002	-1.9596697E-001	0
1.860264353005769E+003	-4.3506362E-002	-1.9597144E-001	0
1.860264753005758E+003	-4.4880718E-002	-1.9596890E-001	0
1.860265153005748E+003	-4.6140548E-002	-1.9596571E-001	0
1.860265553005738E+003	-4.7343113E-002	-1.9597588E-001	0
1.860265953005728E+003	-4.8564762E-002	-1.9596444E-001	0
1.860266353005718E+003	-4.9824592E-002	-1.9596952E-001	0
1.860266753005708E+003	-5.1084418E-002	-1.9597016E-001	0
1.860267153005698E+003	-5.2229717E-002	-1.9596952E-001	0
1.860267553005688E+003	-5.3527724E-002	-1.9597080E-001	0
1.860267953005678E+003	-5.4692108E-002	-1.9596635E-001	0
1.860268353005667E+003	-5.6028292E-002	-1.9597526E-001	0
1.860268953005652E+003	-5.7574444E-002	-1.9596952E-001	0
1.860269353005642E+003	-5.8853362E-002	-1.9597398E-001	0
1.860269753005632E+003	-5.9922308E-002	-1.9596761E-001	0
1.860270153005622E+003	-6.1143957E-002	-1.9597335E-001	0
1.860270553005612E+003	-6.2308345E-002	-1.9596761E-001	0
1.860270953005602E+003	-6.3339114E-002	-1.9596697E-001	0
1.860271353005592E+003	-6.4465322E-002	-1.9597080E-001	0
1.860271953005577E+003	-6.6068739E-002	-1.9596952E-001	0
1.860272553005561E+003	-6.7557625E-002	-1.9596571E-001	0
1.860272953005551E+003	-6.8741105E-002	-1.9596890E-001	0
1.860273353005541E+003	-6.9867313E-002	-1.9597207E-001	0
1.860273953005526E+003	-7.1260758E-002	-1.9596890E-001	0
1.860274553005511E+003	-7.2768740E-002	-1.9597207E-001	0
1.860274953005501E+003	-7.3818594E-002	-1.9596697E-001	0
1.860275553005486E+003	-7.5307481E-002	-1.9596571E-001	0
1.860275953005475E+003	-7.6414607E-002	-1.9596890E-001	0
1.860276553005460E+003	-7.7788964E-002	-1.9596444E-001	0
