time/s	Ewe/V	I/mA	error	
6.005239848294877E+001	-2.9644895E-001	-6.1944872E-001	0
6.005259848294372E+001	-3.2684091E-001	-7.6529485E-001	0
6.005279848293867E+001	-3.5179153E-001	-7.7497506E-001	0
6.005299848293362E+001	-3.7414813E-001	-7.7757174E-001	0
6.005319848292856E+001	-3.9429009E-001	-7.7869827E-001	0
6.005339848292351E+001	-4.1286650E-001	-7.7937925E-001	0
6.005359848291846E+001	-4.2997283E-001	-7.7988839E-001	0
6.005379848291341E+001	-4.4574276E-001	-7.8034019E-001	0
6.005399848290836E+001	-4.6050078E-001	-7.8064573E-001	0
6.005419848290330E+001	-4.7428513E-001	-7.8093213E-001	0
6.005439848289825E+001	-4.8701942E-001	-7.8125042E-001	0
6.005459848289320E+001	-4.9910459E-001	-7.8148586E-001	0
6.005479848288815E+001	-5.1013970E-001	-7.8163224E-001	0
6.005499848288309E+001	-5.2054477E-001	-7.8183579E-001	0
6.005519848287804E+001	-5.3052986E-001	-7.8194410E-001	0
6.005539848287299E+001	-5.3975123E-001	-7.8217953E-001	0
6.005559848286794E+001	-5.4853350E-001	-7.8232592E-001	0
6.005579848286288E+001	-5.5685759E-001	-7.8245318E-001	0
6.005599848285783E+001	-5.6483799E-001	-7.8255504E-001	0
6.005619848285278E+001	-5.7211196E-001	-7.8260601E-001	0
6.005639848284773E+001	-5.7932872E-001	-7.8275871E-001	0
6.005659848284267E+001	-5.8620179E-001	-7.8289872E-001	0
6.005679848283762E+001	-5.9273124E-001	-7.8293687E-001	0
6.005699848283257E+001	-5.9906977E-001	-7.8306419E-001	0
6.005719848282752E+001	-6.0504550E-001	-7.8314054E-001	0
6.005739848282246E+001	-6.1073488E-001	-7.8323609E-001	0
6.005759848281741E+001	-6.1602336E-001	-7.8328061E-001	0
6.005779848281236E+001	-6.2133092E-001	-7.8335696E-001	0
6.005799848280731E+001	-6.2650478E-001	-7.8339517E-001	0
6.005819848280225E+001	-6.3125867E-001	-7.8345877E-001	0
6.005839848279720E+001	-6.3597441E-001	-7.8349692E-001	0
6.005859848279215E+001	-6.4042282E-001	-7.8359240E-001	0
6.005879848278710E+001	-6.4492846E-001	-7.8357971E-001	0
6.005899848278204E+001	-6.4907140E-001	-7.8369427E-001	0
6.005919848277699E+001	-6.5321434E-001	-7.8372604E-001	0
6.005939848277194E+001	-6.5707093E-001	-7.8380239E-001	0
6.005959848276689E+001	-6.6092747E-001	-7.8382158E-001	0
6.005979848276183E+001	-6.6466951E-001	-7.8384703E-001	0
6.005999848275678E+001	-6.6825879E-001	-7.8390431E-001	0
6.006019848275173E+001	-6.7159986E-001	-7.8391069E-001	0
6.006039848274668E+001	-6.7482638E-001	-7.8392345E-001	0
6.006059848274163E+001	-6.7824382E-001	-7.8397429E-001	0
6.006079848273657E+001	-6.8158489E-001	-7.8402525E-001	0
6.006099848273152E+001	-6.8446779E-001	-7.8404433E-001	0
6.006119848272647E+001	-6.8756068E-001	-7.8408247E-001	0
6.006139848272142E+001	-6.9050086E-001	-7.8405708E-001	0
6.006159848271636E+001	-6.9323099E-001	-7.8409523E-001	0
6.006179848271131E+001	-6.9607568E-001	-7.8404433E-001	0
6.006199848270626E+001	-6.9876760E-001	-7.8419071E-001	0
6.006219848270121E+001	-7.0134503E-001	-7.8417164E-001	0
6.006239848269615E+001	-7.0397973E-001	-7.8417796E-001	0
6.006259848269110E+001	-7.0640439E-001	-7.8426063E-001	0
6.006279848268605E+001	-7.0888633E-001	-7.8412068E-001	0
6.006299848268100E+001	-7.1133012E-001	-7.8418428E-001	0
6.006319848267594E+001	-7.1352565E-001	-7.8419703E-001	0
6.006339848267089E+001	-7.1587396E-001	-7.8426063E-001	0
6.006359848266584E+001	-7.1808863E-001	-7.8426063E-001	0
6.006379848266079E+001	-7.2037965E-001	-7.8432435E-001	0
6.006399848265573E+001	-7.2238433E-001	-7.8428614E-001	0
6.006419848265068E+001	-7.2448438E-001	-7.8438163E-001	0
6.006439848264563E+001	-7.2650814E-001	-7.8433067E-001	0
6.006459848264058E+001	-7.2860825E-001	-7.8435612E-001	0
6.006479848263552E+001	-7.3061293E-001	-7.8435612E-001	0
6.006499848263047E+001	-7.3246485E-001	-7.8436255E-001	0
6.006519848262542E+001	-7.3443127E-001	-7.8436887E-001	0
