time/s	Ewe/V	I/mA	error	
6.004839848304982E+001	2.8174641E+000	-3.8971982E-004	0
6.005039848299930E+001	2.8113551E+000	-2.5020937E-002	0
6.017059847996279E+001	4.8744138E-002	-4.2827625E+001	0
6.017079847995774E+001	4.8648681E-002	-4.2802155E+001	0
6.017099847995269E+001	4.8648681E-002	-4.2767139E+001	0
6.017119847994763E+001	4.8725046E-002	-4.2741032E+001	0
6.017139847994258E+001	4.8667774E-002	-4.2720020E+001	0
6.017159847993753E+001	4.8686866E-002	-4.2688824E+001	0
6.017179847993248E+001	4.8591409E-002	-4.2671635E+001	0
6.017199847992742E+001	4.8725046E-002	-4.2641071E+001	0
6.017219847992237E+001	4.8705954E-002	-4.2611145E+001	0
6.017239847991732E+001	4.8610501E-002	-4.2592045E+001	0
6.017259847991227E+001	4.8667774E-002	-4.2557026E+001	0
6.017279847990721E+001	4.8648681E-002	-4.2535378E+001	0
6.017299847990216E+001	4.8705954E-002	-4.2506088E+001	0
6.017319847989711E+001	4.8705954E-002	-4.2494625E+001	0
6.017339847989206E+001	4.8801407E-002	-4.2453243E+001	0
6.017359847988700E+001	4.8801407E-002	-4.2439873E+001	0
6.017379847988195E+001	4.8705954E-002	-4.2401669E+001	0
6.017399847987690E+001	4.8667774E-002	-4.2376835E+001	0
6.017419847987185E+001	4.8705954E-002	-4.2351368E+001	0
6.017439847986680E+001	4.8648681E-002	-4.2328445E+001	0
6.017459847986174E+001	4.8763227E-002	-4.2299793E+001	0
6.017479847985669E+001	4.8572320E-002	-4.2278782E+001	0
6.017499847985164E+001	4.8686866E-002	-4.2252041E+001	0
6.017519847984659E+001	4.8686866E-002	-4.2225937E+001	0
6.017539847984153E+001	4.8610501E-002	-4.2204288E+001	0
6.017559847983648E+001	4.8610501E-002	-4.2174366E+001	0
6.017579847983143E+001	4.8667774E-002	-4.2146984E+001	0
6.017599847982638E+001	4.8667774E-002	-4.2120880E+001	0
6.017619847982132E+001	4.8667774E-002	-4.2103054E+001	0
6.017639847981627E+001	4.8686866E-002	-4.2071857E+001	0
6.017659847981122E+001	4.8629593E-002	-4.2045750E+001	0
6.017679847980617E+001	4.8686866E-002	-4.2023464E+001	0
6.017699847980111E+001	4.8744138E-002	-4.1992264E+001	0
6.017719847979606E+001	4.8667774E-002	-4.1966160E+001	0
6.017739847979101E+001	4.8705954E-002	-4.1946423E+001	0
6.017759847978596E+001	4.8553228E-002	-4.1920319E+001	0
6.017779847978090E+001	4.8686866E-002	-4.1888481E+001	0
6.017799847977585E+001	4.8782319E-002	-4.1874474E+001	0
6.017819847977080E+001	4.8667774E-002	-4.1843914E+001	0
6.017839847976575E+001	4.8648681E-002	-4.1824810E+001	0
