time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.9903512E+000	-2.5031064E-002	0	-5.8147113E-004
6.017319847989711E+001	9.4795581E-003	-2.3897228E+001	0	9.6267060E-005
6.017359847988700E+001	9.4032055E-003	-2.3838045E+001	0	-3.7334015E-005
6.017399847987690E+001	9.3650287E-003	-2.3781408E+001	0	5.8095327E-005
6.017439847986680E+001	9.4604697E-003	-2.3722860E+001	0	1.9923591E-005
6.017479847985669E+001	9.4032055E-003	-2.3659859E+001	0	5.8095327E-005
6.017539847984153E+001	9.4032055E-003	-2.3581585E+001	0	1.5352466E-004
6.017579847983143E+001	9.3077635E-003	-2.3522400E+001	0	-1.8248145E-005
6.017619847982132E+001	9.3650287E-003	-2.3472126E+001	0	8.3772284E-007
6.017659847981122E+001	9.4604697E-003	-2.3414215E+001	0	-1.8248145E-005
6.017699847980111E+001	9.4986465E-003	-2.3362032E+001	0	7.7181190E-005
6.017739847979101E+001	9.4413813E-003	-2.3310486E+001	0	8.3772284E-007
6.017779847978090E+001	9.3268519E-003	-2.3250666E+001	0	8.3772284E-007
6.017819847977080E+001	9.4222939E-003	-2.3199120E+001	0	-1.8248145E-005
6.017879847975564E+001	9.3841171E-003	-2.3121479E+001	0	-1.8248145E-005
6.017919847974554E+001	9.4032055E-003	-2.3067389E+001	0	5.8095327E-005
6.017979847973038E+001	9.4795581E-003	-2.2995476E+001	0	-7.5505755E-005
6.018039847971522E+001	9.4222939E-003	-2.2920383E+001	0	9.6267060E-005
6.018099847970007E+001	9.4413813E-003	-2.2841471E+001	0	-5.6419882E-005
6.018159847968491E+001	9.2695868E-003	-2.2771471E+001	0	3.9009457E-005
6.018219847966975E+001	9.4222939E-003	-2.2698284E+001	0	-3.7334015E-005
6.018279847965459E+001	9.3841171E-003	-2.2627012E+001	0	8.3772284E-007
6.018339847963944E+001	9.3459403E-003	-2.2557009E+001	0	5.8095327E-005
6.018399847962428E+001	9.3841171E-003	-2.2485735E+001	0	-1.8248145E-005
6.018459847960912E+001	9.3650287E-003	-2.2417641E+001	0	-5.6419882E-005
6.018519847959396E+001	9.2886752E-003	-2.2350185E+001	0	-1.8248145E-005
6.018579847957881E+001	9.3841171E-003	-2.2283365E+001	0	-1.3276337E-004
6.018639847956365E+001	9.3459403E-003	-2.2217180E+001	0	-1.8248145E-005
6.018699847954849E+001	9.4604697E-003	-2.2161816E+001	0	-3.7334015E-005
6.018759847953334E+001	9.3459403E-003	-2.2087997E+001	0	3.9009457E-005
6.018819847951818E+001	9.4032055E-003	-2.2023722E+001	0	-3.7334015E-005
6.018879847950302E+001	9.4032055E-003	-2.1961992E+001	0	-7.5505755E-005
6.018939847948786E+001	9.5177349E-003	-2.1905991E+001	0	3.9009457E-005
6.018999847947271E+001	9.4222939E-003	-2.1844896E+001	0	-3.7334015E-005
6.019059847945755E+001	9.3268519E-003	-2.1783806E+001	0	-3.7334015E-005
6.019119847944239E+001	9.3459403E-003	-2.1722076E+001	0	3.9009457E-005
6.019199847942218E+001	9.3459403E-003	-2.1644438E+001	0	8.3772284E-007
6.019259847940702E+001	9.3841171E-003	-2.1585892E+001	0	2.1078227E-004
6.019319847939187E+001	9.3650287E-003	-2.1529890E+001	0	-7.5505755E-005
6.019379847937671E+001	9.3459403E-003	-2.1469435E+001	0	-1.8248145E-005
6.019439847936155E+001	9.4032055E-003	-2.1415977E+001	0	-1.8248145E-005
6.019499847934640E+001	9.3459403E-003	-2.1363792E+001	0	1.7261053E-004
6.019579847932619E+001	9.4032055E-003	-2.1285519E+001	0	-3.7334015E-005
6.019639847931103E+001	9.4795581E-003	-2.1229517E+001	0	-5.6419882E-005
6.019699847929587E+001	9.3459403E-003	-2.1176697E+001	0	8.3772284E-007
6.019759847928071E+001	9.5177349E-003	-2.1126423E+001	0	-3.7334015E-005
6.019819847926556E+001	9.4032055E-003	-2.1074242E+001	0	-1.8248145E-005
6.019879847925040E+001	9.2886752E-003	-2.1016968E+001	0	8.3772284E-007
6.019959847923019E+001	9.3459403E-003	-2.0959055E+001	0	1.9923591E-005
6.020019847921503E+001	9.4222939E-003	-2.0894144E+001	0	3.9009457E-005
6.020099847919482E+001	9.3459403E-003	-2.0831779E+001	0	8.3772284E-007
6.020159847917967E+001	9.3841171E-003	-2.0775778E+001	0	8.3772284E-007
6.020239847915946E+001	9.5368233E-003	-2.0716593E+001	0	-5.6419882E-005
6.020319847913925E+001	9.4222939E-003	-2.0651684E+001	0	9.6267060E-005
6.020399847911904E+001	9.4032055E-003	-2.0588045E+001	0	5.8095327E-005
6.020479847909883E+001	9.4413813E-003	-2.0525679E+001	0	8.3772284E-007
6.020559847907862E+001	9.4222939E-003	-2.0467131E+001	0	3.9009457E-005
6.020619847906346E+001	9.2886752E-003	-2.0416222E+001	0	3.9009457E-005
6.020699847904325E+001	9.4222939E-003	-2.0364676E+001	0	3.9009457E-005
6.020759847902809E+001	9.3077635E-003	-2.0308035E+001	0	-1.8248145E-005
6.020839847900788E+001	9.4795581E-003	-2.0250126E+001	0	1.3443880E-004
6.020919847898767E+001	9.4795581E-003	-2.0185215E+001	0	-1.8248145E-005
6.021019847896241E+001	9.4032055E-003	-2.0115849E+001	0	-1.8248145E-005
6.021099847894220E+001	9.4032055E-003	-2.0065575E+001	0	9.6267060E-005
6.021159847892704E+001	9.3841171E-003	-2.0015301E+001	0	-7.5505755E-005
6.021239847890683E+001	9.3077635E-003	-1.9963755E+001	0	3.9009457E-005
6.021319847888662E+001	9.4604697E-003	-1.9903934E+001	0	-1.8248145E-005
6.021399847886642E+001	9.4222939E-003	-1.9843479E+001	0	-3.7334015E-005
6.021499847884115E+001	9.3268519E-003	-1.9776020E+001	0	1.3443880E-004
6.021599847881589E+001	9.4032055E-003	-1.9713655E+001	0	5.8095327E-005
6.021679847879568E+001	9.3268519E-003	-1.9661472E+001	0	-3.7334015E-005
6.021759847877547E+001	9.4222939E-003	-1.9606106E+001	0	-1.8248145E-005
6.021839847875526E+001	9.3268519E-003	-1.9555199E+001	0	9.6267060E-005
6.021919847873505E+001	9.4986465E-003	-1.9499832E+001	0	7.7181190E-005
6.022019847870979E+001	9.3650287E-003	-1.9437466E+001	0	-3.7334015E-005
6.022099847868958E+001	9.4413813E-003	-1.9382738E+001	0	-7.5505755E-005
6.022179847866937E+001	9.5177349E-003	-1.9331827E+001	0	8.3772284E-007
6.022259847864916E+001	9.4222939E-003	-1.9280281E+001	0	-3.7334015E-005
6.022379847861885E+001	9.3841171E-003	-1.9208370E+001	0	1.1535293E-004
6.022459847859864E+001	9.3841171E-003	-1.9156185E+001	0	5.8095327E-005
