time/s	Ewe/V	I/mA	error	Ece/V	
1.860205753007249E+003	-2.7044546E-002	-1.1227094E+000	0	-4.2112410E-004
1.860205953007244E+003	-4.5005713E-002	-1.1306856E+000	0	5.9916987E-005
1.860206153007239E+003	-5.1081888E-002	-1.1307747E+000	0	1.5352466E-004
1.860206353007234E+003	-5.3983312E-002	-1.1307812E+000	0	7.7181190E-005
1.860206553007229E+003	-5.5758525E-002	-1.1307938E+000	0	9.6267060E-005
1.860206753007224E+003	-5.7151973E-002	-1.1308256E+000	0	3.9009457E-005
1.860206953007219E+003	-5.8449976E-002	-1.1308256E+000	0	1.1535293E-004
1.860207353007208E+003	-6.0320631E-002	-1.1307747E+000	0	1.9923591E-005
1.860207753007198E+003	-6.1981313E-002	-1.1308066E+000	0	1.7261053E-004
1.860208153007188E+003	-6.3508376E-002	-1.1307747E+000	0	1.9923591E-005
1.860208553007178E+003	-6.4882733E-002	-1.1308002E+000	0	2.4895399E-004
1.860208953007168E+003	-6.6295274E-002	-1.1308384E+000	0	7.7181190E-005
1.860209353007158E+003	-6.7402393E-002	-1.1307557E+000	0	8.3772284E-007
1.860209753007148E+003	-6.8853103E-002	-1.1307493E+000	0	-7.5505755E-005
1.860210153007138E+003	-6.9883876E-002	-1.1308129E+000	0	-1.8248145E-005
1.860210553007128E+003	-7.1124613E-002	-1.1307938E+000	0	1.7261053E-004
1.860210953007118E+003	-7.2441705E-002	-1.1307366E+000	0	2.1078227E-004
1.860211353007107E+003	-7.3453389E-002	-1.1308129E+000	0	1.9169640E-004
1.860211753007097E+003	-7.4560508E-002	-1.1307366E+000	0	1.1535293E-004
1.860212153007087E+003	-7.5648539E-002	-1.1308384E+000	0	9.6267060E-005
1.860212553007077E+003	-7.6698400E-002	-1.1308575E+000	0	1.9923591E-005
1.860212953007067E+003	-7.7767342E-002	-1.1308384E+000	0	1.3443880E-004
1.860213553007052E+003	-7.9294406E-002	-1.1308129E+000	0	1.5352466E-004
1.860213953007042E+003	-8.0420621E-002	-1.1308193E+000	0	1.3443880E-004
1.860214353007032E+003	-8.1432298E-002	-1.1308129E+000	0	2.1078227E-004
1.860214953007016E+003	-8.2806662E-002	-1.1308575E+000	0	3.9009457E-005
1.860215353007006E+003	-8.3856516E-002	-1.1307493E+000	0	5.8095327E-005
1.860215953006991E+003	-8.5269049E-002	-1.1307938E+000	0	2.4895399E-004
1.860216553006976E+003	-8.6719759E-002	-1.1308702E+000	0	5.8095327E-005
1.860217153006961E+003	-8.8189565E-002	-1.1307621E+000	0	1.3443880E-004
1.860217553006951E+003	-8.9220330E-002	-1.1307621E+000	0	8.3772284E-007
1.860218153006936E+003	-9.0518333E-002	-1.1308256E+000	0	2.2986814E-004
1.860218753006920E+003	-9.1759078E-002	-1.1308448E+000	0	7.7181190E-005
1.860219353006905E+003	-9.2961639E-002	-1.1308193E+000	0	1.1535293E-004
1.860219953006890E+003	-9.4450526E-002	-1.1308129E+000	0	7.7181190E-005
1.860220553006875E+003	-9.5767617E-002	-1.1308129E+000	0	1.9923591E-005
1.860221153006860E+003	-9.6951097E-002	-1.1308321E+000	0	8.3772284E-007
1.860221753006845E+003	-9.8210923E-002	-1.1308066E+000	0	9.6267060E-005
1.860222353006830E+003	-9.9432573E-002	-1.1307812E+000	0	3.9009457E-005
1.860222953006814E+003	-1.0067332E-001	-1.1307812E+000	0	-1.8248145E-005
1.860223553006799E+003	-1.0206676E-001	-1.1307812E+000	0	9.6267060E-005
1.860224153006784E+003	-1.0326932E-001	-1.1308384E+000	0	3.9009457E-005
1.860224753006769E+003	-1.0430010E-001	-1.1308448E+000	0	1.3443880E-004
1.860225353006754E+003	-1.0548357E-001	-1.1308256E+000	0	1.3443880E-004
1.860225953006739E+003	-1.0672431E-001	-1.1308002E+000	0	1.9169640E-004
1.860226553006723E+003	-1.0783143E-001	-1.1307938E+000	0	9.6267060E-005
1.860227153006708E+003	-1.0897673E-001	-1.1307747E+000	0	3.9009457E-005
1.860227753006693E+003	-1.1016021E-001	-1.1307812E+000	0	3.9009457E-005
1.860228353006678E+003	-1.1126733E-001	-1.1308002E+000	0	1.9923591E-005
1.860228953006663E+003	-1.1239354E-001	-1.1307493E+000	0	-5.6419882E-005
1.860229553006648E+003	-1.1348157E-001	-1.1307430E+000	0	7.7181190E-005
1.860230153006632E+003	-1.1455052E-001	-1.1308256E+000	0	5.8095327E-005
1.860230753006617E+003	-1.1561946E-001	-1.1307557E+000	0	5.8095327E-005
1.860231353006602E+003	-1.1666932E-001	-1.1308384E+000	0	1.5352466E-004
1.860231953006587E+003	-1.1773826E-001	-1.1308575E+000	0	2.1078227E-004
1.860232553006572E+003	-1.1888357E-001	-1.1307812E+000	0	1.9169640E-004
1.860233153006557E+003	-1.1999068E-001	-1.1307621E+000	0	8.3772284E-007
1.860233953006536E+003	-1.2119325E-001	-1.1308066E+000	0	7.7181190E-005
1.860234553006521E+003	-1.2228128E-001	-1.1307747E+000	0	1.1535293E-004
1.860235153006506E+003	-1.2335023E-001	-1.1307430E+000	0	9.6267060E-005
1.860235953006486E+003	-1.2462915E-001	-1.1308511E+000	0	2.1078227E-004
1.860236553006471E+003	-1.2571718E-001	-1.1308702E+000	0	3.9009457E-005
1.860237353006451E+003	-1.2688155E-001	-1.1308256E+000	0	3.9009457E-005
1.860238153006430E+003	-1.2827501E-001	-1.1308384E+000	0	9.6267060E-005
1.860238953006410E+003	-1.2961119E-001	-1.1308002E+000	0	2.4895399E-004
1.860239753006390E+003	-1.3075648E-001	-1.1308575E+000	0	-7.5505755E-005
1.860240353006375E+003	-1.3180634E-001	-1.1308321E+000	0	7.7181190E-005
1.860241153006355E+003	-1.3302800E-001	-1.1308321E+000	0	7.7181190E-005
1.860241953006334E+003	-1.3426873E-001	-1.1308575E+000	0	-3.7334015E-005
