time/s	Ewe/V	I/mA	error	Ece/V	
6.005299848293362E+001	2.9440050E+000	-2.5023418E-002	0	-7.1791554E-004
6.017319847989711E+001	9.2939930E-003	-3.6779312E+001	0	-3.2594202E-005
6.017339847989206E+001	9.3512684E-003	-3.6721386E+001	0	4.3764623E-005
6.017359847988700E+001	9.2558088E-003	-3.6652630E+001	0	5.5852106E-006
6.017399847987690E+001	9.2558088E-003	-3.6537403E+001	0	5.5852106E-006
6.017419847987185E+001	9.3321763E-003	-3.6479473E+001	0	-3.2594202E-005
6.017439847986680E+001	9.3894526E-003	-3.6427910E+001	0	-7.0773618E-005
6.017459847986174E+001	9.3130842E-003	-3.6366161E+001	0	-5.1683910E-005
6.017479847985669E+001	9.3130842E-003	-3.6315868E+001	0	-1.4713245E-004
6.017499847985164E+001	9.3130842E-003	-3.6252846E+001	0	-3.2594202E-005
6.017519847984659E+001	9.3512684E-003	-3.6196823E+001	0	2.4674917E-005
6.017539847984153E+001	9.3130842E-003	-3.6138260E+001	0	6.2854328E-005
6.017559847983648E+001	9.2749009E-003	-3.6085423E+001	0	-1.0895303E-004
6.017579847983143E+001	9.2176255E-003	-3.6027489E+001	0	1.7739256E-004
6.017599847982638E+001	9.3703605E-003	-3.5977196E+001	0	-1.4713245E-004
6.017619847982132E+001	9.3321763E-003	-3.5917358E+001	0	-7.0773618E-005
6.017639847981627E+001	9.3321763E-003	-3.5861336E+001	0	-5.1683910E-005
6.017659847981122E+001	9.3321763E-003	-3.5800220E+001	0	-8.9863323E-005
6.017679847980617E+001	9.3894526E-003	-3.5749931E+001	0	-1.0895303E-004
6.017699847980111E+001	9.3321763E-003	-3.5695183E+001	0	4.3764623E-005
6.017719847979606E+001	9.3130842E-003	-3.5643620E+001	0	-7.0773618E-005
6.017739847979101E+001	9.2939930E-003	-3.5588234E+001	0	-5.1683910E-005
6.017759847978596E+001	9.2749009E-003	-3.5532848E+001	0	-1.0895303E-004
6.017779847978090E+001	9.2176255E-003	-3.5478737E+001	0	6.2854328E-005
6.017799847977585E+001	9.3321763E-003	-3.5428448E+001	0	1.2012345E-004
6.017819847977080E+001	9.2176255E-003	-3.5371792E+001	0	2.4674917E-005
6.017859847976069E+001	9.3130842E-003	-3.5269936E+001	0	-5.1683910E-005
6.017899847975059E+001	9.3130842E-003	-3.5162346E+001	0	-1.3504496E-005
6.017939847974048E+001	9.3321763E-003	-3.5055401E+001	0	6.2854328E-005
6.017959847973543E+001	9.2558088E-003	-3.5002563E+001	0	-7.0773618E-005
6.017999847972533E+001	9.3512684E-003	-3.4910255E+001	0	-1.0895303E-004
6.018019847972027E+001	9.2749009E-003	-3.4858051E+001	0	6.2854328E-005
6.018039847971522E+001	9.3321763E-003	-3.4800125E+001	0	-1.0895303E-004
6.018079847970512E+001	9.3703605E-003	-3.4700813E+001	0	-5.1683910E-005
6.018119847969501E+001	9.2367167E-003	-3.4609142E+001	0	-3.2594202E-005
6.018139847968996E+001	9.2749009E-003	-3.4553123E+001	0	-1.8531186E-004
6.018179847967986E+001	9.4276359E-003	-3.4456360E+001	0	-1.0895303E-004
