time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.4887722E+000	-2.5024857E-002	0
6.014319848065497E+001	9.3081752E-003	-1.0262782E+001	0
6.014419848062971E+001	9.3654450E-003	-1.0206145E+001	0
6.014519848060445E+001	9.4608963E-003	-1.0150590E+001	0
6.014619848057919E+001	9.3463548E-003	-1.0096754E+001	0
6.014719848055393E+001	9.4227158E-003	-1.0042344E+001	0
6.014819848052866E+001	9.4036255E-003	-9.9887629E+000	0
6.014919848050340E+001	9.4608963E-003	-9.9366446E+000	0
6.015019848047814E+001	9.3081752E-003	-9.8836975E+000	0
6.015119848045288E+001	9.3463548E-003	-9.8327894E+000	0
6.015219848042761E+001	9.3654450E-003	-9.7812433E+000	0
6.015339848039730E+001	9.4227158E-003	-9.7211065E+000	0
6.015439848037204E+001	9.4036255E-003	-9.6708326E+000	0
6.015559848034172E+001	9.3845353E-003	-9.6110144E+000	0
6.015679848031141E+001	9.3845353E-003	-9.5520229E+000	0
6.015799848028109E+001	9.3845353E-003	-9.4945593E+000	0
6.015919848025078E+001	9.3081752E-003	-9.4377317E+000	0
6.016039848022047E+001	9.4418060E-003	-9.3804579E+000	0
6.016159848019015E+001	9.4418060E-003	-9.3248396E+000	0
6.016279848015984E+001	9.3654450E-003	-9.2696037E+000	0
6.016399848012952E+001	9.3081752E-003	-9.2137299E+000	0
6.016519848009921E+001	9.4418060E-003	-9.1596394E+000	0
6.016639848006889E+001	9.5181661E-003	-9.1062479E+000	0
6.016759848003858E+001	9.4036255E-003	-9.0529203E+000	0
6.016879848000826E+001	9.4608963E-003	-9.0004835E+000	0
6.016999847997795E+001	9.4990758E-003	-8.9489374E+000	0
6.017119847994763E+001	9.4799856E-003	-8.8978367E+000	0
6.017239847991732E+001	9.4036255E-003	-8.8469276E+000	0
6.017359847988700E+001	9.3845353E-003	-8.7966547E+000	0
6.017479847985669E+001	9.4036255E-003	-8.7465725E+000	0
6.017619847982132E+001	9.4036255E-003	-8.6890450E+000	0
6.017759847978596E+001	9.3081752E-003	-8.6327896E+000	0
6.017899847975059E+001	9.3081752E-003	-8.5772343E+000	0
6.018039847971522E+001	9.4036255E-003	-8.5215521E+000	0
6.018179847967986E+001	9.3654450E-003	-8.4671431E+000	0
6.018319847964449E+001	9.4036255E-003	-8.4134340E+000	0
6.018459847960912E+001	9.2318142E-003	-8.3596601E+000	0
6.018599847957375E+001	9.4418060E-003	-8.3064604E+000	0
6.018739847953839E+001	9.4227158E-003	-8.2551050E+000	0
6.018879847950302E+001	9.3654450E-003	-8.2038145E+000	0
6.019019847946765E+001	9.3272654E-003	-8.1523952E+000	0
6.019159847943229E+001	9.2509044E-003	-8.1021223E+000	0
6.019319847939187E+001	9.4036255E-003	-8.0454226E+000	0
6.019479847935145E+001	9.5372563E-003	-7.9888492E+000	0
6.019639847931103E+001	9.3654450E-003	-7.9334211E+000	0
6.019799847927061E+001	9.3845353E-003	-7.8784385E+000	0
6.019959847923019E+001	9.3654450E-003	-7.8241568E+000	0
6.020119847918977E+001	9.4036255E-003	-7.7708926E+000	0
6.020279847914935E+001	9.4036255E-003	-7.7182646E+000	0
6.020439847910893E+001	9.4036255E-003	-7.6659555E+000	0
6.020599847906851E+001	9.3463548E-003	-7.6133919E+000	0
6.020759847902809E+001	9.3081752E-003	-7.5630550E+000	0
6.020919847898767E+001	9.4418060E-003	-7.5123367E+000	0
6.021099847894220E+001	9.4036255E-003	-7.4555721E+000	0
6.021279847889673E+001	9.3463548E-003	-7.4009085E+000	0
6.021459847885126E+001	9.4036255E-003	-7.3463717E+000	0
6.021639847880579E+001	9.4227158E-003	-7.2917709E+000	0
6.021819847876031E+001	9.4036255E-003	-7.2377439E+000	0
6.021999847871484E+001	9.3463548E-003	-7.1849885E+000	0
6.022179847866937E+001	9.3272654E-003	-7.1331248E+000	0
6.022359847862390E+001	9.4227158E-003	-7.0817695E+000	0
6.022539847857843E+001	9.2890849E-003	-7.0304151E+000	0
6.022719847853296E+001	9.3654450E-003	-6.9799509E+000	0
6.022919847848243E+001	9.3463548E-003	-6.9247780E+000	0
6.023119847843191E+001	9.3081752E-003	-6.8697958E+000	0
6.023319847838138E+001	9.2509044E-003	-6.8152585E+000	0
6.023519847833086E+001	9.3845353E-003	-6.7618680E+000	0
6.023719847828033E+001	9.3845353E-003	-6.7093039E+000	0
6.023919847822981E+001	9.3845353E-003	-6.6564856E+000	0
6.024119847817929E+001	9.4418060E-003	-6.6043673E+000	0
6.024319847812876E+001	9.3654450E-003	-6.5532036E+000	0
6.024519847807824E+001	9.3463548E-003	-6.5022936E+000	0
6.024739847802266E+001	9.4227158E-003	-6.4476933E+000	0
6.024959847796708E+001	9.4036255E-003	-6.3932199E+000	0
6.025179847791151E+001	9.4227158E-003	-6.3397651E+000	0
6.025399847785593E+001	9.3463548E-003	-6.2865014E+000	0
6.025619847780035E+001	9.4227158E-003	-6.2338104E+000	0
6.025839847774478E+001	9.3654450E-003	-6.1808639E+000	0
6.026059847768920E+001	9.3463548E-003	-6.1304007E+000	0
6.026279847763362E+001	9.4036255E-003	-6.0791092E+000	0
6.026499847757805E+001	9.3654450E-003	-6.0281997E+000	0
6.026719847752247E+001	9.3463548E-003	-5.9780545E+000	0
6.026959847746184E+001	9.4418060E-003	-5.9240894E+000	0
6.027199847740121E+001	9.3654450E-003	-5.8703170E+000	0
6.027439847734058E+001	9.4036255E-003	-5.8183255E+000	0
6.027679847727995E+001	9.2890849E-003	-5.7652521E+000	0
6.027919847721932E+001	9.4418060E-003	-5.7140250E+000	0
6.028159847715870E+001	9.4036255E-003	-5.6633062E+000	0
6.028399847709807E+001	9.4608963E-003	-5.6116967E+000	0
6.028659847703238E+001	9.3463548E-003	-5.5583057E+000	0
6.028919847696670E+001	9.3081752E-003	-5.5044684E+000	0
6.029179847690102E+001	9.3081752E-003	-5.4522872E+000	0
6.029439847683534E+001	9.4418060E-003	-5.3999138E+000	0
6.029699847676966E+001	9.3463548E-003	-5.3476043E+000	0
6.029959847670398E+001	9.4036255E-003	-5.2970128E+000	0
6.030219847663830E+001	9.3081752E-003	-5.2467399E+000	0
6.030499847656756E+001	9.2509044E-003	-5.1934757E+000	0
6.030779847649683E+001	9.4990758E-003	-5.1399574E+000	0
6.031059847642609E+001	9.4418060E-003	-5.0882845E+000	0
6.031339847635536E+001	9.3845353E-003	-5.0372477E+000	0
6.031619847628463E+001	9.3654450E-003	-4.9867840E+000	0
6.031899847621389E+001	9.3654450E-003	-4.9365745E+000	0
6.032199847613811E+001	9.3654450E-003	-4.8850284E+000	0
6.032499847606232E+001	9.3463548E-003	-4.8328466E+000	0
6.032799847598653E+001	9.3845353E-003	-4.7814918E+000	0
